granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,tag_outcome,n
total,nation,norge,2020,0-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,0
total,nation,norge,2020,0-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,1
total,nation,norge,2020,0-39,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,1
total,nation,norge,2020,40-49,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,2
total,nation,norge,2020,40-49,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,3
total,nation,norge,2020,40-49,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,5
total,nation,norge,2020,50-59,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,1
total,nation,norge,2020,50-59,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,7
total,nation,norge,2020,50-59,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,8
total,nation,norge,2020,60-69,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,5
total,nation,norge,2020,60-69,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,20
total,nation,norge,2020,60-69,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,25
total,nation,norge,2020,70-79,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,22
total,nation,norge,2020,70-79,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,41
total,nation,norge,2020,70-79,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,63
total,nation,norge,2020,80-89,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,50
total,nation,norge,2020,80-89,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,50
total,nation,norge,2020,80-89,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,100
total,nation,norge,2020,90+,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,54
total,nation,norge,2020,90+,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,25
total,nation,norge,2020,90+,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,79
total,nation,norge,2020,total,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,134
total,nation,norge,2020,total,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,147
total,nation,norge,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,281
