granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,525135,450384,75.3,64.6,697010,Oslo,2021-09-22
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,347680,305184,72,63.2,482645,Rogaland,2021-09-22
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,201766,177406,76,66.8,265544,Møre og Romsdal,2021-09-22
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,182742,159158,76,66.2,240345,Nordland,2021-09-22
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,953054,829221,76.1,66.2,1252384,Viken,2021-09-22
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,289765,259085,78.2,69.9,370603,Innlandet,2021-09-22
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,325252,287896,77.1,68.2,421882,Vestfold og Telemark,2021-09-22
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,230450,207064,74.6,67,308843,Agder,2021-09-22
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,478651,415577,74.9,65.1,638821,Vestland,2021-09-22
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,361473,312793,76.7,66.4,471124,Trøndelag,2021-09-22
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,181091,156746,74.8,64.7,242168,Troms og Finnmark,2021-09-22
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,525126,450378,75.3,64.6,697010,Oslo,2021-09-22
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11032,9884,74.6,66.8,14787,Eigersund,2021-09-22
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,105213,93746,73,65,144147,Stavanger,2021-09-22
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26982,22494,72.3,60.3,37323,Haugesund,2021-09-22
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,57601,50919,71.6,63.3,80450,Sandnes,2021-09-22
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2298,2140,70.6,65.7,3257,Sokndal,2021-09-22
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2257,2093,71.1,65.9,3174,Lund,2021-09-22
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2106,1811,75.5,64.9,2791,Bjerkreim,2021-09-22
