This .csv file has been created as a one-off extraction on 2020-08-20.

Some users have been differencing the data_covid19_msis_by_location_YYYY-MM-DD
data series to create "municipality-level time-series". These users have requested
that we provide historical data to bridge the gap between 2020-02-28 and data_covid19_msis_by_location_2020-06-04

This dataset fulfills that request.

An example of interpreting the data correctly follows below.

When we look at Oslo (municip0301) we find the following values:
data_covid19_msis_by_location_2020-06-19.csv (i.e. a snapshot of MSIS at 2020-06-19 00:00)
n = 2802

data_covid19_msis_by_location_2020-06-18.csv (i.e. a snapshot of MSIS at 2020-06-18 00:00)
n = 2797

We can therefore conclude that 5 people from Oslo were registered in MSIS on 2020-06-18.

This is confirmed in this dataset below: 2020-06-18,municip0301,5

It is important to note that differencing the data_covid19_msis_by_location_YYYY-MM-DD
data series (and by using this historical dataset) will create a time-series where
the data corresponds to "number of people registered in MSIS on this date".

This is not the same as the time-series provided in the data_covid19_msis_by_time_location_YYYY-MM-DD
time series, where "date" represents "proevetakingsdato" (i.e. the date when the test was taken, which is
a better epidemiological proxy for tracking the progress of an outbreak).

registration_date,location_code,n_registered_on_this_date_in_msis
2020-04-13,municip1103,0
2020-04-14,municip1103,0
2020-04-15,municip1103,0
2020-04-16,municip1103,1
2020-04-17,municip1103,3
2020-04-18,municip1103,0
2020-04-19,municip1103,0
2020-04-20,municip1103,1
2020-04-21,municip1103,1
2020-04-22,municip1103,1
2020-04-23,municip1103,0
2020-04-24,municip1103,0
2020-04-25,municip1103,0
2020-04-26,municip1103,0
2020-04-27,municip1103,0
2020-04-28,municip1103,1
2020-04-29,municip1103,0
2020-04-30,municip1103,0
2020-05-01,municip1103,0
2020-05-02,municip1103,0
2020-05-03,municip1103,0
2020-05-04,municip1103,0
2020-05-05,municip1103,0
2020-05-06,municip1103,0
2020-05-07,municip1103,0
2020-05-08,municip1103,0
2020-05-09,municip1103,0
2020-05-10,municip1103,0
2020-05-11,municip1103,1
2020-05-12,municip1103,0
2020-05-13,municip1103,1
2020-05-14,municip1103,0
2020-05-15,municip1103,0
2020-05-16,municip1103,0
2020-05-17,municip1103,0
2020-05-18,municip1103,0
2020-05-19,municip1103,0
2020-05-20,municip1103,0
2020-05-21,municip1103,0
2020-05-22,municip1103,0
2020-05-23,municip1103,0
2020-05-24,municip1103,0
