location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name
county03,1900-01-01,12271,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,693494,1769.44573420967,Oslo
county11,1900-01-01,1679,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,479892,349.870387503855,Rogaland
county15,1900-01-01,748,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265238,282.010873253455,Møre og Romsdal
county18,1900-01-01,609,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,241235,252.450929591477,Nordland
county30,1900-01-01,13425,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1241165,1081.64506733593,Viken
county34,1900-01-01,2234,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,371385,601.532102804368,Innlandet
county38,1900-01-01,1571,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,419396,374.58630983605,Vestfold og Telemark
county42,1900-01-01,1128,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,307231,367.150450312631,Agder
county46,1900-01-01,5337,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,636531,838.450915980526,Vestland
county50,1900-01-01,1484,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,468702,316.619088461325,Trøndelag
county54,1900-01-01,911,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,243311,374.417926028827,Troms og Finnmark
municip0301,1900-01-01,12269,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,693494,1769.15733950113,Oslo
municip1101,1900-01-01,69,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14811,465.86996151509,Eigersund
municip1103,1900-01-01,548,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,143574,381.684706144567,Stavanger
municip1106,1900-01-01,189,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37357,505.929276976203,Haugesund
municip1108,1900-01-01,237,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,79537,297.97452757836,Sandnes
