granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name
total,municip,municip1531,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,117,0,1.25671321160043,0,9310,Sula
total,municip,municip1532,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,105,4,1.24084140865044,0.047270148900969,8462,Giske
total,municip,municip1535,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,94,0,1.43906919779547,0,6532,Vestnes
total,municip,municip1539,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,105,0,1.40599892876272,0,7468,Rauma
total,municip,municip1547,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,55,0,1.56739811912226,0,3509,Aukra
total,municip,municip1554,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,83,0,1.43400138217001,0,5788,Averøy
total,municip,municip1557,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,41,0,1.55952833777102,0,2629,Gjemnes
total,municip,municip1560,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,56,0,1.85123966942149,0,3025,Tingvoll
total,municip,municip1563,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,107,0,1.52075042637862,0,7036,Sunndal
total,municip,municip1566,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,88,0,1.48648648648649,0,5920,Surnadal
total,municip,municip1573,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,28,0,1.30232558139535,0,2150,Smøla
total,municip,municip1576,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,59,0,1.6823495865412,0,3507,Aure
total,municip,municip1577,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,200,0,1.90967249116777,0,10473,Volda
total,municip,municip1578,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,45,0,1.76539819537073,0,2549,Fjord
total,municip,municip1579,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,177,0,1.33293169666391,0,13279,Hustadvika
total,municip,municip1804,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1011,0,1.93097389078824,0,52357,Bodø
total,municip,municip1806,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,357,0,1.63424124513619,0,21845,Narvik
total,municip,municip1811,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,30,0,2.10378681626928,0,1426,Bindal
total,municip,municip1812,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,30,0,1.51898734177215,0,1975,Sømna
total,municip,municip1813,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,119,0,1.50309460654288,0,7917,Brønnøy
total,municip,municip1815,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,26,0,2.16666666666667,0,1200,Vega
total,municip,municip1816,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,12,0,2.5974025974026,0,462,Vevelstad
total,municip,municip1818,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,27,0,1.51941474395048,0,1777,Herøy
total,municip,municip1820,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,162,0,2.17537263327514,0,7447,Alstahaug
total,municip,municip1822,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,50,0,2.1795989537925,0,2294,Leirfjord
total,municip,municip1824,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,232,0,1.74725109203193,0,13278,Vefsn
total,municip,municip1825,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,33,0,2.22672064777328,0,1482,Grane
total,municip,municip1826,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,30,0,2.3130300693909,0,1297,Hattfjelldal
total,municip,municip1827,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,29,0,2.11524434719183,0,1371,Dønna
total,municip,municip1828,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,31,0,1.76036342986939,0,1761,Nesna
total,municip,municip1832,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,76,0,1.70633138751684,0,4454,Hemnes
total,municip,municip1833,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,456,21,1.74152153987168,0.0802016498625115,26184,Rana
total,municip,municip1834,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,42,0,2.22222222222222,0,1890,Lurøy
total,municip,municip1835,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,18,0,4.13793103448276,0,435,Træna
total,municip,municip1836,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,17,0,1.40148392415499,0,1213,Rødøy
total,municip,municip1837,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,96,0,1.52671755725191,0,6288,Meløy
total,municip,municip1838,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,55,12,2.82051282051282,0.615384615384615,1950,Gildeskål
total,municip,municip1839,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,31,6,3.04818092428712,0.589970501474926,1017,Beiarn
total,municip,municip1840,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,93,0,1.99100834938985,0,4671,Saltdal
total,municip,municip1841,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,151,0,1.55046719375706,0,9739,Fauske
total,municip,municip1845,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,39,0,2.02492211838006,0,1926,Sørfold
total,municip,municip1848,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,51,0,1.95552147239264,0,2608,Steigen
total,municip,municip1851,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,20,0,0.983284169124877,0,2034,Lødingen
total,municip,municip1853,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,42,12,3.11572700296736,0.890207715133531,1348,Evenes
total,municip,municip1856,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,22,3,4.41767068273092,0.602409638554217,498,Røst
total,municip,municip1857,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,19,0,2.60989010989011,0,728,Værøy
total,municip,municip1859,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,32,0,2.51572327044025,0,1272,Flakstad
total,municip,municip1860,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,245,0,2.14291961864777,0,11433,Vestvågøy
total,municip,municip1865,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,157,0,1.63405495420483,0,9608,Vågan
total,municip,municip1866,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,162,0,2.00967621883141,0,8061,Hadsel
total,municip,municip1867,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,52,0,2.0241339042429,0,2569,Bø
total,municip,municip1868,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,67,0,1.51927437641723,0,4410,Øksnes
total,municip,municip1870,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,154,0,1.45750520537573,0,10566,Sortland
total,municip,municip1871,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,77,0,1.65129744799485,0,4663,Andøy
total,municip,municip1874,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,18,0,1.77339901477833,0,1015,Moskenes
total,municip,municip1875,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,50,0,1.80766449746927,0,2766,Hamarøy
total,municip,municip3001,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,424,0,1.35148057246677,0,31373,Halden
total,municip,municip3002,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,662,78,1.34353499888377,0.158301706817121,49273,Moss
total,municip,municip3003,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1255,328,2.21215539730663,0.578156948459423,56732,Sarpsborg
total,municip,municip3004,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1846,526,2.24069915639983,0.638465740122595,82385,Fredrikstad
total,municip,municip3005,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1296,1,1.27828299765254,0.000986329473497327,101386,Drammen
total,municip,municip3006,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,295,0,1.06409840204884,0,27723,Kongsberg
total,municip,municip3007,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,406,0,1.32502202930714,0,30641,Ringerike
total,municip,municip3011,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,115,22,2.46358183376178,0.471293916023993,4668,Hvaler
total,municip,municip3012,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,15,0,1.13207547169811,0,1325,Aremark
total,municip,municip3013,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,53,0,1.47426981919332,0,3595,Marker
total,municip,municip3014,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,375,3,0.837203071977139,0.00669762457581711,44792,Indre Østfold
total,municip,municip3015,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,34,0,0.893561103810775,0,3805,Skiptvet
total,municip,municip3016,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,90,2,1.09024833434282,0.0242277407631738,8255,Rakkestad
total,municip,municip3017,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,116,1,1.54501864677677,0.013319126265317,7508,Råde
total,municip,municip3018,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,66,0,1.15062761506276,0,5736,Våler
total,municip,municip3019,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,223,0,1.23600487750804,0,18042,Vestby
total,municip,municip3020,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,691,127,1.16549723384159,0.21420860882472,59288,Nordre Follo
total,municip,municip3021,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,189,31,0.924702774108322,0.151670825382847,20439,Ås
total,municip,municip3022,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,195,1,1.22819172387731,0.0062984190968067,15877,Frogn
total,municip,municip3023,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,256,1,1.30505709624796,0.0050978792822186,19616,Nesodden
total,municip,municip3024,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1585,1,1.24088905590655,0.000782895303411075,127731,Bærum
total,municip,municip3025,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1072,1,1.13510022130219,0.00105886214673712,94441,Asker
total,municip,municip3026,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,223,0,1.2823461759632,0,17390,Aurskog-Høland
total,municip,municip3027,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,236,0,1.27361036157582,0,18530,Rælingen
total,municip,municip3028,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,126,0,1.13411341134113,0,11110,Enebakk
total,municip,municip3029,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,679,0,1.63772310660878,0,41460,Lørenskog
total,municip,municip3030,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,997,1,1.15953153530349,0.00116302059709477,85983,Lillestrøm
total,municip,municip3031,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,290,0,1.1959256051796,0,24249,Nittedal
total,municip,municip3032,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,121,0,1.75616835994194,0,6890,Gjerdrum
total,municip,municip3033,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,379,0,0.956466876971609,0,39625,Ullensaker
total,municip,municip3034,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,252,0,1.0912870258098,0,23092,Nes
total,municip,municip3035,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,266,0,1.04576191225035,0,25436,Eidsvoll
total,municip,municip3036,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,123,0,0.869934224485466,0,14139,Nannestad
total,municip,municip3037,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,41,0,1.43658023826209,0,2854,Hurdal
total,municip,municip3038,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,92,0,1.35314016767172,0,6799,Hole
total,municip,municip3039,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,16,0,1.52380952380952,0,1050,Flå
total,municip,municip3040,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,68,13,2.07760464405744,0.397189123128628,3273,Nesbyen
total,municip,municip3041,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,45,0,0.9765625,0,4608,Gol
total,municip,municip3042,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,30,0,1.20675784392599,0,2486,Hemsedal
total,municip,municip3043,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,58,0,1.24090714591356,0,4674,Ål
total,municip,municip3044,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,67,0,1.50866921864445,0,4441,Hol
total,municip,municip3045,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,49,0,1.41332564176522,0,3467,Sigdal
total,municip,municip3046,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,23,0,1.03978300180832,0,2212,Krødsherad
total,municip,municip3047,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,151,0,1.06978391781792,0,14115,Modum
total,municip,municip3048,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,201,0,1.03485558358647,0,19423,Øvre Eiker
total,municip,municip3049,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,311,38,1.15997165342583,0.141732870836597,26811,Lier
total,municip,municip3050,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,41,7,1.52529761904762,0.260416666666667,2688,Flesberg
total,municip,municip3051,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,20,0,1.43884892086331,0,1390,Rollag
total,municip,municip3052,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,37,0,1.5170151701517,0,2439,Nore og Uvdal
total,municip,municip3053,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,68,0,0.99241097489784,0,6852,Jevnaker
total,municip,municip3054,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,131,0,1.44783377541998,0,9048,Lunner
total,municip,municip3401,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,351,0,1.96870267541646,0,17829,Kongsvinger
total,municip,municip3403,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1017,252,3.24205425738787,0.803340877936817,31369,Hamar
total,municip,municip3405,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,557,21,1.96507320515082,0.0740871405891692,28345,Lillehammer
total,municip,municip3407,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,546,0,1.78664921465969,0,30560,Gjøvik
total,municip,municip3411,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,868,264,2.49654855039116,0.759318913943856,34768,Ringsaker
total,municip,municip3412,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,112,1,1.45947354704196,0.0130310138128746,7674,Løten
total,municip,municip3413,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,457,103,2.16957842764907,0.488985947588302,21064,Stange
total,municip,municip3414,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,83,0,1.65470494417863,0,5016,Nord-Odal
total,municip,municip3415,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,117,0,1.48007590132827,0,7905,Sør-Odal
total,municip,municip3416,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,105,0,1.71962004585653,0,6106,Eidskog
total,municip,municip3417,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,80,0,1.73460537727667,0,4612,Grue
total,municip,municip3418,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,113,0,1.56879078161877,0,7203,Åsnes
total,municip,municip3419,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,67,0,1.82960131075915,0,3662,Våler
total,municip,municip3420,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,415,0,1.95257363319846,0,21254,Elverum
total,municip,municip3421,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,83,0,1.25245208993511,0,6627,Trysil
total,municip,municip3422,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,66,0,1.51515151515152,0,4356,Åmot
total,municip,municip3423,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,65,11,2.68706076891277,0.454733360892931,2419,Stor-Elvdal
total,municip,municip3424,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,41,0,2.30337078651685,0,1780,Rendalen
total,municip,municip3425,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,29,0,2.28706624605678,0,1268,Engerdal
total,municip,municip3426,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,21,0,1.34443021766965,0,1562,Tolga
total,municip,municip3427,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,108,0,1.93617784152026,0,5578,Tynset
total,municip,municip3428,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,36,0,1.48026315789474,0,2432,Alvdal
total,municip,municip3429,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,26,0,1.68284789644013,0,1545,Folldal
total,municip,municip3430,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,32,0,1.69222633527234,0,1891,Os
total,municip,municip3431,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,46,0,1.8018018018018,0,2553,Dovre
