granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,14604,3309,8.84051478867271,2.00309938617625,165194,Oslo,2021-04-12
total,county,county03,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,6389,1510,3.85844128393272,0.911918350092098,165585,Oslo,2021-04-12
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,5691,1100,13.3786261695425,2.58592317457332,42538,Oslo,2021-04-12
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,3306,636,7.16887848035389,1.37913088732761,46116,Oslo,2021-04-12
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,10280,1079,30.2816071638977,3.17839047955697,33948,Oslo,2021-04-12
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,8484,491,24.4714298076091,1.41625082927111,34669,Oslo,2021-04-12
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,16609,1252,63.8856835141165,4.81575505808139,25998,Oslo,2021-04-12
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,14730,904,60.9332340531149,3.73955489368743,24174,Oslo,2021-04-12
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,13863,8055,90.4600326264274,52.5611745513866,15325,Oslo,2021-04-12
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,11301,6107,92.3510664378524,49.9060227179864,12237,Oslo,2021-04-12
total,county,county03,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,6800,6491,87.957573405769,83.9606777907127,7731,Oslo,2021-04-12
total,county,county03,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,3214,3082,88.7355052457206,85.091109884042,3622,Oslo,2021-04-12
total,county,county11,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,9124,1866,10.0235097664404,2.04996374662184,91026,Rogaland,2021-04-12
total,county,county11,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,2294,614,2.36078665445452,0.631875765403258,97171,Rogaland,2021-04-12
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,4176,930,13.1465449393987,2.92775066897529,31765,Rogaland,2021-04-12
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,1253,302,3.69170030346778,0.889779322942754,33941,Rogaland,2021-04-12
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,4118,880,15.415715194849,3.294276195111,26713,Rogaland,2021-04-12
total,county,county11,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,1530,284,5.44038687195534,1.00984958930413,28123,Rogaland,2021-04-12
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,8458,494,40.2302130898021,2.34969558599696,21024,Rogaland,2021-04-12
total,county,county11,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,8120,418,38.278414179984,1.97048979399425,21213,Rogaland,2021-04-12
