granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550642,513754,359037,31242,78.7,73.4,51.3,4.5,699827,Oslo,2022-09-05
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372409,346007,253451,37657,76.7,71.2,52.2,7.8,485797,Rogaland,2022-09-05
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214449,201431,155210,21556,80.7,75.8,58.4,8.1,265848,Møre og Romsdal,2022-09-05
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195193,183230,134712,15581,81.3,76.3,56.1,6.5,240190,Nordland,2022-09-05
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001123,931073,695666,103051,78.9,73.4,54.8,8.1,1269230,Viken,2022-09-05
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306260,288211,220350,26895,82.5,77.6,59.4,7.2,371253,Innlandet,2022-09-05
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342112,320201,240851,33413,80.5,75.4,56.7,7.9,424832,Vestfold og Telemark,2022-09-05
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245831,228719,169017,21977,79,73.5,54.3,7.1,311134,Agder,2022-09-05
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506152,470572,352290,49093,78.9,73.4,54.9,7.7,641292,Vestland,2022-09-05
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385174,361032,271463,30939,81.2,76.1,57.3,6.5,474131,Trøndelag,2022-09-05
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192111,180001,127839,14048,79.5,74.5,52.9,5.8,241736,Troms og Finnmark,2022-09-05
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550634,513747,359033,31242,78.7,73.4,51.3,4.5,699827,Oslo,2022-09-05
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11879,11170,9244,1876,79.9,75.2,62.2,12.6,14860,Eigersund,2022-09-05
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113005,105075,76150,9681,78.1,72.6,52.6,6.7,144699,Stavanger,2022-09-05
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28721,26716,19172,1890,76.7,71.3,51.2,5,37444,Haugesund,2022-09-05
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60607,56463,42711,7361,74.5,69.4,52.5,9.1,81305,Sandnes,2022-09-05
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2504,2356,1803,393,76.3,71.8,55,12,3281,Sokndal,2022-09-05
