granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,538057,477291,52403,77.2,68.5,7.5,697010,Oslo,2021-11-24
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,361959,325642,25674,75,67.5,5.3,482645,Rogaland,2021-11-24
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,209481,191980,18496,78.9,72.3,7,265544,Møre og Romsdal,2021-11-24
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191271,172678,17956,79.6,71.8,7.5,240345,Nordland,2021-11-24
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,978174,870990,99899,78.1,69.5,8,1252384,Viken,2021-11-24
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,300621,274236,32399,81.1,74,8.7,370603,Innlandet,2021-11-24
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,335389,302351,36578,79.5,71.7,8.7,421882,Vestfold og Telemark,2021-11-24
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,240587,216762,18314,77.9,70.2,5.9,308843,Agder,2021-11-24
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,494474,443271,45366,77.4,69.4,7.1,638821,Vestland,2021-11-24
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,378096,343152,34143,80.3,72.8,7.2,471124,Trøndelag,2021-11-24
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,188714,171531,20029,77.9,70.8,8.3,242168,Troms og Finnmark,2021-11-24
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,538047,477284,52403,77.2,68.5,7.5,697010,Oslo,2021-11-24
