granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,537167,475534,77.1,68.2,697010,Oslo,2021-11-18
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,361369,324381,74.9,67.2,482645,Rogaland,2021-11-18
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,209160,190575,78.8,71.8,265544,Møre og Romsdal,2021-11-18
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191052,172379,79.5,71.7,240345,Nordland,2021-11-18
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,976890,866416,78,69.2,1252384,Viken,2021-11-18
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,300294,273506,81,73.8,370603,Innlandet,2021-11-18
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,335057,301571,79.4,71.5,421882,Vestfold og Telemark,2021-11-18
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,240293,215307,77.8,69.7,308843,Agder,2021-11-18
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,493969,442104,77.3,69.2,638821,Vestland,2021-11-18
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,377732,342332,80.2,72.7,471124,Trøndelag,2021-11-18
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,188216,170827,77.7,70.5,242168,Troms og Finnmark,2021-11-18
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,285263,115692,40.9,16.6,697010,Oslo,2021-11-18
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4172,1763,28.2,11.9,14787,Eigersund,2021-11-18
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,33162,29508,23,20.5,144147,Stavanger,2021-11-18
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10706,5143,28.7,13.8,37323,Haugesund,2021-11-18
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22058,16223,27.4,20.2,80450,Sandnes,2021-11-18
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,668,346,20.5,10.6,3257,Sokndal,2021-11-18
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,605,751,19.1,23.7,3174,Lund,2021-11-18
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1070,297,38.3,10.6,2791,Bjerkreim,2021-11-18
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3878,1477,20.3,7.7,19120,Hå,2021-11-18
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4471,5250,22.5,26.5,19848,Klepp,2021-11-18
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5083,3502,26.6,18.3,19106,Time,2021-11-18
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2611,945,21.6,7.8,12064,Gjesdal,2021-11-18
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3798,3271,13.8,11.9,27457,Sola,2021-11-18
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1774,1513,15.7,13.4,11315,Randaberg,2021-11-18
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2909,716,22.3,5.5,13070,Strand,2021-11-18
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,637,456,24.7,17.7,2580,Hjelmeland,2021-11-18
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1030,612,27,16.1,3809,Suldal,2021-11-18
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,991,511,21.7,11.2,4561,Sauda,2021-11-18
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,210,101,41.4,19.9,507,Kvitsøy,2021-11-18
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,263,115,30.6,13.4,859,Bokn,2021-11-18
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1732,2019,15.5,18.1,11178,Tysvær,2021-11-18
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14900,10766,35.2,25.4,42345,Karmøy,2021-11-18
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,61,58,31.8,30.2,192,Utsira,2021-11-18
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2321,1838,26.7,21.1,8705,Vindafjord,2021-11-18
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5095,5415,21.1,22.5,24099,Kristiansund,2021-11-18
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8147,6460,25.6,20.3,31870,Molde,2021-11-18
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22945,15224,34.4,22.8,66670,Ålesund,2021-11-18
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,687,763,22.3,24.7,3083,Vanylven,2021-11-18
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,680,343,27.8,14,2445,Sande,2021-11-18
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2564,1668,28.9,18.8,8858,Herøy,2021-11-18
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1473,1533,17.2,17.9,8575,Ulstein,2021-11-18
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,827,1089,16.1,21.2,5140,Hareid,2021-11-18
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1868,1954,17.2,18,10830,Ørsta,2021-11-18
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1174,1586,26.2,35.4,4482,Stranda,2021-11-18
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1122,1565,14.8,20.6,7596,Sykkylven,2021-11-18
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1930,2812,20.5,29.9,9409,Sula,2021-11-18
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2013,1381,23.7,16.2,8506,Giske,2021-11-18
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2012,2222,28.9,31.9,6958,Vestnes,2021-11-18
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1431,387,20.4,5.5,7026,Rauma,2021-11-18
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,729,1112,20.7,31.6,3522,Aukra,2021-11-18
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1438,878,24.8,15.1,5808,Averøy,2021-11-18
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,850,296,32,11.1,2658,Gjemnes,2021-11-18
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,623,909,20.9,30.5,2985,Tingvoll,2021-11-18
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1638,1890,23.5,27.2,6956,Sunndal,2021-11-18
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,788,1909,13.4,32.5,5872,Surnadal,2021-11-18
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,665,279,31.2,13.1,2128,Smøla,2021-11-18
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,654,933,18.9,26.9,3468,Aure,2021-11-18
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1616,1141,15,10.6,10781,Volda,2021-11-18
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,849,649,33.9,25.9,2502,Fjord,2021-11-18
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2452,4000,18.4,30,13317,Hustadvika,2021-11-18
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21472,17762,40.9,33.8,52560,Bodø,2021-11-18
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6126,4807,28.3,22.2,21661,Narvik,2021-11-18
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,480,175,34.4,12.5,1397,Bindal,2021-11-18
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,370,153,18.6,7.7,1990,Sømna,2021-11-18
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,943,1663,12.1,21.3,7803,Brønnøy,2021-11-18
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,469,438,39.7,37.1,1182,Vega,2021-11-18
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,143,115,30.8,24.7,465,Vevelstad,2021-11-18
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,376,343,21,19.1,1793,Herøy,2021-11-18
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1265,737,17.1,10,7394,Alstahaug,2021-11-18
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,493,52,21.6,2.3,2278,Leirfjord,2021-11-18
total,municip,municip1824,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4331,3701,32.6,27.9,13268,Vefsn,2021-11-18
total,municip,municip1825,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,435,443,29.9,30.5,1453,Grane,2021-11-18
total,municip,municip1826,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,533,301,42.1,23.8,1267,Hattfjelldal,2021-11-18
total,municip,municip1827,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,301,114,22,8.3,1371,Dønna,2021-11-18
total,municip,municip1828,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,521,281,30.6,16.5,1701,Nesna,2021-11-18
total,municip,municip1832,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1044,532,23.6,12,4428,Hemnes,2021-11-18
total,municip,municip1833,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8398,5521,32.2,21.2,26083,Rana,2021-11-18
total,municip,municip1834,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,544,242,29,12.9,1876,Lurøy,2021-11-18
total,municip,municip1835,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,121,101,27.4,22.9,442,Træna,2021-11-18
total,municip,municip1836,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,266,202,22.1,16.7,1206,Rødøy,2021-11-18
total,municip,municip1837,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1399,962,22.4,15.4,6247,Meløy,2021-11-18
total,municip,municip1838,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,483,414,25.2,21.6,1920,Gildeskål,2021-11-18
total,municip,municip1839,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,414,229,41.4,22.9,999,Beiarn,2021-11-18
total,municip,municip1840,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1708,763,36.9,16.5,4632,Saltdal,2021-11-18
