location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,34579,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,693494,4986.20031319665,Oslo,2021-05-13
county11,1900-01-01,6296,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,479892,1311.96185808474,Rogaland,2021-05-13
county15,1900-01-01,1911,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265238,720.484998378815,Møre og Romsdal,2021-05-13
county18,1900-01-01,1517,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,241235,628.847389474993,Nordland,2021-05-13
county30,1900-01-01,40900,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1241165,3295.29111761933,Viken,2021-05-13
county34,1900-01-01,4855,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,371385,1307.26873729418,Innlandet,2021-05-13
county38,1900-01-01,7116,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,419396,1696.72576753236,Vestfold og Telemark,2021-05-13
county42,1900-01-01,3615,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,307231,1176.6390761349,Agder,2021-05-13
county46,1900-01-01,9403,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,636531,1477.22577533537,Vestland,2021-05-13
county50,1900-01-01,4049,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,468702,863.875127479721,Trøndelag,2021-05-13
county54,1900-01-01,1582,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,243311,650.196661885406,Troms og Finnmark,2021-05-13
municip0301,1900-01-01,34573,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,693494,4985.33512907105,Oslo,2021-05-13
municip1101,1900-01-01,131,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14811,884.477753021403,Eigersund,2021-05-13
municip1103,1900-01-01,2394,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,143574,1667.43282209871,Stavanger,2021-05-13
municip1106,1900-01-01,811,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37357,2170.94520437937,Haugesund,2021-05-13
municip1108,1900-01-01,851,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,79537,1069.94229100922,Sandnes,2021-05-13
municip1111,1900-01-01,13,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3280,396.341463414634,Sokndal,2021-05-13
municip1112,1900-01-01,12,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3202,374.765771392879,Lund,2021-05-13
municip1114,1900-01-01,17,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2787,609.974883387155,Bjerkreim,2021-05-13
municip1119,1900-01-01,140,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,18991,737.191301142646,Hå,2021-05-13
municip1120,1900-01-01,229,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19588,1169.08311210945,Klepp,2021-05-13
municip1121,1900-01-01,153,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,18916,808.839078029182,Time,2021-05-13
municip1122,1900-01-01,122,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12002,1016.49725045826,Gjesdal,2021-05-13
municip1124,1900-01-01,379,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27153,1395.7942032188,Sola,2021-05-13
municip1127,1900-01-01,149,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11221,1327.86739149808,Randaberg,2021-05-13
municip1130,1900-01-01,84,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12968,647.748303516348,Strand,2021-05-13
municip1133,1900-01-01,23,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2574,893.550893550894,Hjelmeland,2021-05-13
municip1134,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3804,289.169295478444,Suldal,2021-05-13
municip1135,1900-01-01,13,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4595,282.916213275299,Sauda,2021-05-13
municip1144,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,517,0,Kvitsøy,2021-05-13
municip1145,1900-01-01,3,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,852,352.112676056338,Bokn,2021-05-13
