granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550702,514014,360954,65295,78.7,73.4,51.6,9.3,699827,Oslo,2022-11-08
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372167,345821,254378,57643,76.6,71.2,52.4,11.9,485797,Rogaland,2022-11-08
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214363,201342,155709,40321,80.6,75.7,58.6,15.2,265848,Møre og Romsdal,2022-11-08
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194810,182895,135294,33247,81.1,76.1,56.3,13.8,240190,Nordland,2022-11-08
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001942,932018,699460,178573,78.9,73.4,55.1,14.1,1269230,Viken,2022-11-08
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306293,288251,221462,61560,82.5,77.6,59.7,16.6,371253,Innlandet,2022-11-08
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342240,320365,241977,66411,80.6,75.4,57,15.6,424832,Vestfold og Telemark,2022-11-08
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245972,228893,169841,42222,79.1,73.6,54.6,13.6,311134,Agder,2022-11-08
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506047,470558,353798,84109,78.9,73.4,55.2,13.1,641292,Vestland,2022-11-08
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,384995,360888,272661,62187,81.2,76.1,57.5,13.1,474131,Trøndelag,2022-11-08
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191786,179705,128289,27596,79.3,74.3,53.1,11.4,241736,Troms og Finnmark,2022-11-08
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550694,514007,360950,65294,78.7,73.4,51.6,9.3,699827,Oslo,2022-11-08
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11852,11148,9234,2243,79.8,75,62.1,15.1,14860,Eigersund,2022-11-08
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112802,104930,76437,16957,78,72.5,52.8,11.7,144699,Stavanger,2022-11-08
