granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,536104,473990,76.9,68,697010,Oslo,2021-11-11
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,360686,323098,74.7,66.9,482645,Rogaland,2021-11-11
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,208757,189369,78.6,71.3,265544,Møre og Romsdal,2021-11-11
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,190535,171125,79.3,71.2,240345,Nordland,2021-11-11
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,974894,862264,77.8,68.8,1252384,Viken,2021-11-11
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,299783,271399,80.9,73.2,370603,Innlandet,2021-11-11
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,334461,300576,79.3,71.2,421882,Vestfold og Telemark,2021-11-11
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,239973,214233,77.7,69.4,308843,Agder,2021-11-11
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,493048,438910,77.2,68.7,638821,Vestland,2021-11-11
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,376980,340849,80,72.3,471124,Trøndelag,2021-11-11
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,187697,170078,77.5,70.2,242168,Troms og Finnmark,2021-11-11
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,536094,473983,76.9,68,697010,Oslo,2021-11-11
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11531,10437,78,70.6,14787,Eigersund,2021-11-11
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,109605,97686,76,67.8,144147,Stavanger,2021-11-11
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,27773,25056,74.4,67.1,37323,Haugesund,2021-11-11
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,58742,52719,73,65.5,80450,Sandnes,2021-11-11
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2413,2190,74.1,67.2,3257,Sokndal,2021-11-11
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2351,2187,74.1,68.9,3174,Lund,2021-11-11
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2136,1902,76.5,68.1,2791,Bjerkreim,2021-11-11
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13542,12141,70.8,63.5,19120,Hå,2021-11-11
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14482,12992,73,65.5,19848,Klepp,2021-11-11
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14127,12791,73.9,66.9,19106,Time,2021-11-11
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8602,7699,71.3,63.8,12064,Gjesdal,2021-11-11
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20602,18525,75,67.5,27457,Sola,2021-11-11
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8749,7803,77.3,69,11315,Randaberg,2021-11-11
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9977,8810,76.3,67.4,13070,Strand,2021-11-11
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1952,1759,75.7,68.2,2580,Hjelmeland,2021-11-11
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2953,2637,77.5,69.2,3809,Suldal,2021-11-11
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3613,3216,79.2,70.5,4561,Sauda,2021-11-11
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,420,392,82.8,77.3,507,Kvitsøy,2021-11-11
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,694,641,80.8,74.6,859,Bokn,2021-11-11
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8341,7223,74.6,64.6,11178,Tysvær,2021-11-11
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,31352,28264,74,66.7,42345,Karmøy,2021-11-11
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,164,159,85.4,82.8,192,Utsira,2021-11-11
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6558,5863,75.3,67.4,8705,Vindafjord,2021-11-11
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19342,17746,80.3,73.6,24099,Kristiansund,2021-11-11
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,25901,23736,81.3,74.5,31870,Molde,2021-11-11
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,51259,46770,76.9,70.2,66670,Ålesund,2021-11-11
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2522,2326,81.8,75.4,3083,Vanylven,2021-11-11
