location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,262622,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,699827,37526.7030280341,Oslo,2022-11-09
county11,1900-01-01,124306,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,485797,25588.0542695817,Rogaland,2022-11-09
county15,1900-01-01,55779,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265848,20981.5383226505,Møre og Romsdal,2022-11-09
county18,1900-01-01,40902,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,240190,17029.0186935343,Nordland,2022-11-09
county30,1900-01-01,392676,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1269230,30938.1278412896,Viken,2022-11-09
county34,1900-01-01,80967,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,371253,21809.1166940065,Innlandet,2022-11-09
county38,1900-01-01,104871,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,424832,24685.2873606508,Vestfold og Telemark,2022-11-09
county42,1900-01-01,81132,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,311134,26076.2243920626,Agder,2022-11-09
county46,1900-01-01,148377,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,641292,23137.198031474,Vestland,2022-11-09
county50,1900-01-01,102705,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,474131,21661.7348369965,Trøndelag,2022-11-09
county54,1900-01-01,49460,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,241736,20460.336896449,Troms og Finnmark,2022-11-09
municip0301,1900-01-01,262600,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,699827,37523.5593939645,Oslo,2022-11-09
municip1101,1900-01-01,2698,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14860,18156.1238223419,Eigersund,2022-11-09
municip1103,1900-01-01,40338,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,144699,27877.179524392,Stavanger,2022-11-09
municip1106,1900-01-01,9786,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37444,26135.0283089414,Haugesund,2022-11-09
municip1108,1900-01-01,20989,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,81305,25815.1405202632,Sandnes,2022-11-09
