granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549732,512771,357662,13956,78.6,73.3,51.1,2,699827,Oslo,2022-08-02
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372896,346436,252638,11233,76.8,71.3,52,2.3,485797,Rogaland,2022-08-02
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214568,201525,154775,7115,80.7,75.8,58.2,2.7,265848,Møre og Romsdal,2022-08-02
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195537,183523,134364,5711,81.4,76.4,55.9,2.4,240190,Nordland,2022-08-02
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001086,930931,693281,32471,78.9,73.3,54.6,2.6,1269230,Viken,2022-08-02
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306416,288341,219811,8886,82.5,77.7,59.2,2.4,371253,Innlandet,2022-08-02
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342322,320364,240165,13067,80.6,75.4,56.5,3.1,424832,Vestfold og Telemark,2022-08-02
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245464,228314,168236,8255,78.9,73.4,54.1,2.7,311134,Agder,2022-08-02
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506179,470502,351006,18982,78.9,73.4,54.7,3,641292,Vestland,2022-08-02
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385124,360912,270572,14080,81.2,76.1,57.1,3,474131,Trøndelag,2022-08-02
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192446,180273,127531,4484,79.6,74.6,52.8,1.9,241736,Troms og Finnmark,2022-08-02
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549724,512764,357658,13956,78.6,73.3,51.1,2,699827,Oslo,2022-08-02
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11892,11186,9241,841,80,75.3,62.2,5.7,14860,Eigersund,2022-08-02
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113077,105125,75902,2806,78.1,72.7,52.5,1.9,144699,Stavanger,2022-08-02
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28723,26715,19111,756,76.7,71.3,51,2,37444,Haugesund,2022-08-02
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60690,56539,42454,1434,74.6,69.5,52.2,1.8,81305,Sandnes,2022-08-02
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2505,2356,1795,146,76.3,71.8,54.7,4.4,3281,Sokndal,2022-08-02
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2428,2294,1795,81,76.4,72.2,56.5,2.5,3178,Lund,2022-08-02
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2197,2061,1533,167,78.8,73.9,55,6,2789,Bjerkreim,2022-08-02
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14084,12969,9103,294,73,67.2,47.2,1.5,19296,Hå,2022-08-02
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15132,13937,9270,204,75,69.1,46,1,20163,Klepp,2022-08-02
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14731,13661,9152,631,76.1,70.6,47.3,3.3,19353,Time,2022-08-02
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8862,8211,6321,247,73.1,67.7,52.1,2,12131,Gjesdal,2022-08-02
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21238,19699,13905,227,77,71.5,50.4,0.8,27568,Sola,2022-08-02
