granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,504723,417955,72.4,60,697010,Oslo,2021-09-06
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,331524,274323,68.7,56.8,482645,Rogaland,2021-09-06
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192224,158670,72.4,59.8,265544,Møre og Romsdal,2021-09-06
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,174557,144614,72.6,60.2,240345,Nordland,2021-09-06
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,905051,779950,72.3,62.3,1252384,Viken,2021-09-06
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,279278,236226,75.4,63.7,370603,Innlandet,2021-09-06
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,311540,272340,73.8,64.6,421882,Vestfold og Telemark,2021-09-06
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,222527,191220,72.1,61.9,308843,Agder,2021-09-06
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,457244,390446,71.6,61.1,638821,Vestland,2021-09-06
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,348792,279636,74,59.4,471124,Trøndelag,2021-09-06
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,172735,141506,71.3,58.4,242168,Troms og Finnmark,2021-09-06
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,504716,417949,72.4,60,697010,Oslo,2021-09-06
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10642,8769,72,59.3,14787,Eigersund,2021-09-06
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,100066,81366,69.4,56.4,144147,Stavanger,2021-09-06
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,25462,20025,68.2,53.7,37323,Haugesund,2021-09-06
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,53851,46766,66.9,58.1,80450,Sandnes,2021-09-06
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2259,2076,69.4,63.7,3257,Sokndal,2021-09-06
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2226,1983,70.1,62.5,3174,Lund,2021-09-06
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1965,1749,70.4,62.7,2791,Bjerkreim,2021-09-06
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12474,10860,65.2,56.8,19120,Hå,2021-09-06
