granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,16594,3082,2.39281089670567,0.444416245850721,693494,Oslo
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7560,1361,1.57535445475232,0.283605477899194,479892,Rogaland
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5295,1152,1.99632028593188,0.434326906401044,265238,Møre og Romsdal
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5888,1280,2.44077351959707,0.530602939042842,241235,Nordland
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,23313,5036,1.87831593704302,0.405747825631564,1241165,Viken
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,9969,2479,2.68427642473444,0.667501379969573,371385,Innlandet
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,9854,1894,2.34956938072848,0.451601827389865,419396,Vestfold og Telemark
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5901,1179,1.92070461639613,0.383750337693787,307231,Agder
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,13348,2671,2.09699134841822,0.419618211838858,636531,Vestland
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,9467,1868,2.01983349761682,0.398547477928407,468702,Trøndelag
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4791,879,1.96908483381351,0.361266034005861,243311,Troms og Finnmark
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,16490,3066,2.37781437186191,0.44210908818245,693494,Oslo
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,207,54,1.39760988454527,0.364593882924853,14811,Eigersund
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2422,405,1.68693496036887,0.282084499979105,143574,Stavanger
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,775,74,2.07457772305057,0.198088711620312,37357,Haugesund
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1052,237,1.32265486503137,0.29797452757836,79537,Sandnes
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,46,16,1.40243902439024,0.487804878048781,3280,Sokndal
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,49,13,1.53029356652092,0.405996252342286,3202,Lund
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,50,18,1.7940437746681,0.645855758880517,2787,Bjerkreim
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,221,59,1.16370912537518,0.310673476910115,18991,Hå
