granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2301,1368,74.6,44.4,3083,Vanylven,2021-08-11
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1623,1126,66.4,46.1,2445,Sande,2021-08-11
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5727,3155,64.7,35.6,8858,Herøy,2021-08-11
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5552,2839,64.7,33.1,8575,Ulstein,2021-08-11
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3282,1696,63.9,33,5140,Hareid,2021-08-11
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7397,3898,68.3,36,10830,Ørsta,2021-08-11
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3137,1628,70,36.3,4482,Stranda,2021-08-11
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5371,3598,70.7,47.4,7596,Sykkylven,2021-08-11
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6383,4381,67.8,46.6,9409,Sula,2021-08-11
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5471,2748,64.3,32.3,8506,Giske,2021-08-11
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4819,2461,69.3,35.4,6958,Vestnes,2021-08-11
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4648,2519,66.2,35.9,7026,Rauma,2021-08-11
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2422,1387,68.8,39.4,3522,Aukra,2021-08-11
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3997,1976,68.8,34,5808,Averøy,2021-08-11
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1805,1124,67.9,42.3,2658,Gjemnes,2021-08-11
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2194,1332,73.5,44.6,2985,Tingvoll,2021-08-11
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4964,2466,71.4,35.5,6956,Sunndal,2021-08-11
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4271,2288,72.7,39,5872,Surnadal,2021-08-11
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1343,821,63.1,38.6,2128,Smøla,2021-08-11
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2400,1332,69.2,38.4,3468,Aure,2021-08-11
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7383,3767,68.5,34.9,10781,Volda,2021-08-11
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1889,1192,75.5,47.6,2502,Fjord,2021-08-11
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8852,4864,66.5,36.5,13317,Hustadvika,2021-08-11
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,36474,19179,69.4,36.5,52560,Bodø,2021-08-11
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14563,8422,67.2,38.9,21661,Narvik,2021-08-11
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,897,481,64.2,34.4,1397,Bindal,2021-08-11
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1382,661,69.4,33.2,1990,Sømna,2021-08-11
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5432,2622,69.6,33.6,7803,Brønnøy,2021-08-11
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,829,478,70.1,40.4,1182,Vega,2021-08-11
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,314,184,67.5,39.6,465,Vevelstad,2021-08-11
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1134,642,63.2,35.8,1793,Herøy,2021-08-11
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5077,3231,68.7,43.7,7394,Alstahaug,2021-08-11
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1428,806,62.7,35.4,2278,Leirfjord,2021-08-11
total,municip,municip1824,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8878,5167,66.9,38.9,13268,Vefsn,2021-08-11
total,municip,municip1825,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,998,560,68.7,38.5,1453,Grane,2021-08-11
total,municip,municip1826,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,948,461,74.8,36.4,1267,Hattfjelldal,2021-08-11
total,municip,municip1827,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,968,660,70.6,48.1,1371,Dønna,2021-08-11
total,municip,municip1828,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1101,638,64.7,37.5,1701,Nesna,2021-08-11
total,municip,municip1832,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2903,1692,65.6,38.2,4428,Hemnes,2021-08-11
total,municip,municip1833,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17354,8779,66.5,33.7,26083,Rana,2021-08-11
total,municip,municip1834,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1048,635,55.9,33.8,1876,Lurøy,2021-08-11
total,municip,municip1835,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,299,181,67.6,41,442,Træna,2021-08-11
total,municip,municip1836,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,731,385,60.6,31.9,1206,Rødøy,2021-08-11
