granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550838,513999,359421,36282,78.7,73.4,51.4,5.2,699827,Oslo,2022-09-16
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372365,345960,253767,45280,76.7,71.2,52.2,9.3,485797,Rogaland,2022-09-16
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214418,201393,155338,27230,80.7,75.8,58.4,10.2,265848,Møre og Romsdal,2022-09-16
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195108,183161,134877,20379,81.2,76.3,56.2,8.5,240190,Nordland,2022-09-16
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001307,931283,696461,122602,78.9,73.4,54.9,9.7,1269230,Viken,2022-09-16
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306261,288213,220671,39876,82.5,77.6,59.4,10.7,371253,Innlandet,2022-09-16
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342115,320209,241052,41637,80.5,75.4,56.7,9.8,424832,Vestfold og Telemark,2022-09-16
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245905,228814,169274,27615,79,73.5,54.4,8.9,311134,Agder,2022-09-16
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506116,470548,352639,59901,78.9,73.4,55,9.3,641292,Vestland,2022-09-16
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385116,360987,271750,39701,81.2,76.1,57.3,8.4,474131,Trøndelag,2022-09-16
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191993,179880,127910,16882,79.4,74.4,52.9,7,241736,Troms og Finnmark,2022-09-16
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550830,513992,359417,36281,78.7,73.4,51.4,5.2,699827,Oslo,2022-09-16
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11869,11164,9241,1917,79.9,75.1,62.2,12.9,14860,Eigersund,2022-09-16
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112949,105026,76252,12716,78.1,72.6,52.7,8.8,144699,Stavanger,2022-09-16
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28725,26716,19208,2576,76.7,71.3,51.3,6.9,37444,Haugesund,2022-09-16
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60633,56475,42807,8007,74.6,69.5,52.6,9.8,81305,Sandnes,2022-09-16
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2504,2356,1803,406,76.3,71.8,55,12.4,3281,Sokndal,2022-09-16
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2421,2287,1792,331,76.2,72,56.4,10.4,3178,Lund,2022-09-16
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2192,2055,1530,301,78.6,73.7,54.9,10.8,2789,Bjerkreim,2022-09-16
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14055,12944,9157,1998,72.8,67.1,47.5,10.4,19296,Hå,2022-09-16
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15101,13908,9307,1926,74.9,69,46.2,9.6,20163,Klepp,2022-09-16
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14725,13659,9205,2023,76.1,70.6,47.6,10.5,19353,Time,2022-09-16
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8813,8165,6294,901,72.6,67.3,51.9,7.4,12131,Gjesdal,2022-09-16
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21197,19662,13935,1758,76.9,71.3,50.5,6.4,27568,Sola,2022-09-16
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9068,8372,6041,837,79.2,73.1,52.7,7.3,11454,Randaberg,2022-09-16
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10307,9516,7152,1102,77.7,71.7,53.9,8.3,13268,Strand,2022-09-16
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2027,1895,1386,340,80,74.8,54.7,13.4,2534,Hjelmeland,2022-09-16
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3030,2821,2389,455,80.1,74.6,63.1,12,3784,Suldal,2022-09-16
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3667,3410,2691,626,81,75.4,59.5,13.8,4525,Sauda,2022-09-16
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,432,406,346,75,82.6,77.6,66.2,14.3,523,Kvitsøy,2022-09-16
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,710,685,515,159,83,80.1,60.2,18.6,855,Bokn,2022-09-16
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8577,7837,5570,1119,76,69.5,49.4,9.9,11283,Tysvær,2022-09-16
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32298,30018,22144,4991,75.9,70.6,52.1,11.7,42541,Karmøy,2022-09-16
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,174,170,156,35,92.6,90.4,83,18.6,188,Utsira,2022-09-16
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6742,6273,4795,679,76.8,71.5,54.6,7.7,8775,Vindafjord,2022-09-16
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19804,18906,14930,3286,82.5,78.7,62.2,13.7,24013,Kristiansund,2022-09-16
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26460,24870,19120,3384,82.7,77.7,59.7,10.6,32002,Molde,2022-09-16
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52937,49417,35845,4788,78.9,73.6,53.4,7.1,67114,Ålesund,2022-09-16
