granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550764,514064,360862,63496,78.7,73.5,51.6,9.1,699827,Oslo,2022-11-02
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372192,345838,254334,56861,76.6,71.2,52.4,11.7,485797,Rogaland,2022-11-02
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214373,201353,155669,39346,80.6,75.7,58.6,14.8,265848,Møre og Romsdal,2022-11-02
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194829,182909,135251,32564,81.1,76.2,56.3,13.6,240190,Nordland,2022-11-02
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001882,931926,699178,174871,78.9,73.4,55.1,13.8,1269230,Viken,2022-11-02
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306251,288211,221376,60553,82.5,77.6,59.6,16.3,371253,Innlandet,2022-11-02
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342203,320334,241892,65131,80.6,75.4,56.9,15.3,424832,Vestfold og Telemark,2022-11-02
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245940,228864,169807,41393,79,73.6,54.6,13.3,311134,Agder,2022-11-02
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506061,470568,353709,83102,78.9,73.4,55.2,13,641292,Vestland,2022-11-02
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385029,360912,272615,60817,81.2,76.1,57.5,12.8,474131,Trøndelag,2022-11-02
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191782,179703,128261,27008,79.3,74.3,53.1,11.2,241736,Troms og Finnmark,2022-11-02
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550756,514057,360858,63495,78.7,73.5,51.6,9.1,699827,Oslo,2022-11-02
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11851,11146,9234,2231,79.8,75,62.1,15,14860,Eigersund,2022-11-02
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112808,104936,76428,16757,78,72.5,52.8,11.6,144699,Stavanger,2022-11-02
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28696,26696,19276,4087,76.6,71.3,51.5,10.9,37444,Haugesund,2022-11-02
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60621,56465,42854,8655,74.6,69.4,52.7,10.6,81305,Sandnes,2022-11-02
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2506,2357,1805,498,76.4,71.8,55,15.2,3281,Sokndal,2022-11-02
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2416,2281,1792,402,76,71.8,56.4,12.6,3178,Lund,2022-11-02
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2193,2051,1534,529,78.6,73.5,55,19,2789,Bjerkreim,2022-11-02
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14044,12936,9169,2233,72.8,67,47.5,11.6,19296,Hå,2022-11-02
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15124,13928,9328,2172,75,69.1,46.3,10.8,20163,Klepp,2022-11-02
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14736,13660,9244,2264,76.1,70.6,47.8,11.7,19353,Time,2022-11-02
