granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-05,0,1
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-06,0,0
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-07,1,0
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-08,0,1
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-09,0,0
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-10,0,0
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-11,0,1
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-12,0,0
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-13,0,2
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-14,0,0
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-15,0,1
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-16,0,2
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-17,1,1
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-18,0,2
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-19,0,0
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-20,0,0
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-21,0,0
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-22,0,0
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-23,0,0
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-24,1,2
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-25,0,0
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-26,0,1
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-27,0,1
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-28,0,0
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-29,0,0
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-30,0,2
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-31,1,5
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-08-01,0,1
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-08-02,0,1
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-03,0,2
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-04,0,1
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-05,0,5
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-06,0,1
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-07,1,1
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-08,0,3
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-09,0,2
