granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549715,512779,357768,15480,78.6,73.3,51.1,2.2,699827,Oslo,2022-08-05
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372777,346317,252677,12534,76.7,71.3,52,2.6,485797,Rogaland,2022-08-05
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214565,201517,154844,7872,80.7,75.8,58.2,3,265848,Møre og Romsdal,2022-08-05
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195436,183429,134391,6062,81.4,76.4,56,2.5,240190,Nordland,2022-08-05
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001599,931417,693824,38343,78.9,73.4,54.7,3,1269230,Viken,2022-08-05
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306372,288299,219861,10094,82.5,77.7,59.2,2.7,371253,Innlandet,2022-08-05
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342325,320385,240302,15375,80.6,75.4,56.6,3.6,424832,Vestfold og Telemark,2022-08-05
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245426,228281,168285,9624,78.9,73.4,54.1,3.1,311134,Agder,2022-08-05
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506053,470398,351076,21284,78.9,73.4,54.7,3.3,641292,Vestland,2022-08-05
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,384957,360770,270593,15315,81.2,76.1,57.1,3.2,474131,Trøndelag,2022-08-05
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192252,180108,127495,4847,79.5,74.5,52.7,2,241736,Troms og Finnmark,2022-08-05
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549707,512772,357764,15480,78.5,73.3,51.1,2.2,699827,Oslo,2022-08-05
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11887,11179,9232,844,80,75.2,62.1,5.7,14860,Eigersund,2022-08-05
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113059,105123,75931,3082,78.1,72.6,52.5,2.1,144699,Stavanger,2022-08-05
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28716,26705,19109,808,76.7,71.3,51,2.2,37444,Haugesund,2022-08-05
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60673,56520,42461,1528,74.6,69.5,52.2,1.9,81305,Sandnes,2022-08-05
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2509,2360,1799,233,76.5,71.9,54.8,7.1,3281,Sokndal,2022-08-05
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2432,2297,1799,90,76.5,72.3,56.6,2.8,3178,Lund,2022-08-05
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2200,2065,1536,169,78.9,74,55.1,6.1,2789,Bjerkreim,2022-08-05
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14085,12966,9107,316,73,67.2,47.2,1.6,19296,Hå,2022-08-05
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15133,13939,9293,244,75.1,69.1,46.1,1.2,20163,Klepp,2022-08-05
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14708,13639,9145,900,76,70.5,47.3,4.7,19353,Time,2022-08-05
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8832,8184,6307,275,72.8,67.5,52,2.3,12131,Gjesdal,2022-08-05
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21235,19697,13901,267,77,71.4,50.4,1,27568,Sola,2022-08-05
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9072,8368,6011,328,79.2,73.1,52.5,2.9,11454,Randaberg,2022-08-05
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10319,9530,7139,257,77.8,71.8,53.8,1.9,13268,Strand,2022-08-05
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2032,1895,1382,137,80.2,74.8,54.5,5.4,2534,Hjelmeland,2022-08-05
