granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550855,514025,359596,38835,78.7,73.5,51.4,5.5,699827,Oslo,2022-09-22
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372314,345916,253848,47795,76.6,71.2,52.3,9.8,485797,Rogaland,2022-09-22
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214425,201409,155400,29193,80.7,75.8,58.5,11,265848,Møre og Romsdal,2022-09-22
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195054,183118,134925,21882,81.2,76.2,56.2,9.1,240190,Nordland,2022-09-22
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001315,931297,696777,129566,78.9,73.4,54.9,10.2,1269230,Viken,2022-09-22
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306246,288204,220752,43837,82.5,77.6,59.5,11.8,371253,Innlandet,2022-09-22
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342088,320188,241128,46137,80.5,75.4,56.8,10.9,424832,Vestfold og Telemark,2022-09-22
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245921,228835,169362,30231,79,73.5,54.4,9.7,311134,Agder,2022-09-22
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506090,470541,352804,65580,78.9,73.4,55,10.2,641292,Vestland,2022-09-22
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385108,360979,271846,43952,81.2,76.1,57.3,9.3,474131,Trøndelag,2022-09-22
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191946,179838,127949,18220,79.4,74.4,52.9,7.5,241736,Troms og Finnmark,2022-09-22
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550847,514018,359592,38834,78.7,73.4,51.4,5.5,699827,Oslo,2022-09-22
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11867,11160,9239,2043,79.9,75.1,62.2,13.7,14860,Eigersund,2022-09-22
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112938,105022,76297,13977,78.1,72.6,52.7,9.7,144699,Stavanger,2022-09-22
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28721,26715,19218,2778,76.7,71.3,51.3,7.4,37444,Haugesund,2022-09-22
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60614,56450,42806,8070,74.6,69.4,52.6,9.9,81305,Sandnes,2022-09-22
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2505,2357,1803,406,76.3,71.8,55,12.4,3281,Sokndal,2022-09-22
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2416,2282,1790,336,76,71.8,56.3,10.6,3178,Lund,2022-09-22
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2187,2052,1526,300,78.4,73.6,54.7,10.8,2789,Bjerkreim,2022-09-22
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14052,12942,9155,2016,72.8,67.1,47.4,10.4,19296,Hå,2022-09-22
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15099,13905,9309,1975,74.9,69,46.2,9.8,20163,Klepp,2022-09-22
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14724,13657,9209,2049,76.1,70.6,47.6,10.6,19353,Time,2022-09-22
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8815,8166,6297,1032,72.7,67.3,51.9,8.5,12131,Gjesdal,2022-09-22
