granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,535119,472193,76.8,67.7,697010,Oslo,2021-11-04
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,359714,321591,74.5,66.6,482645,Rogaland,2021-11-04
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,208313,187481,78.4,70.6,265544,Møre og Romsdal,2021-11-04
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,190115,170253,79.1,70.8,240345,Nordland,2021-11-04
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,972894,858853,77.7,68.6,1252384,Viken,2021-11-04
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,299205,269927,80.7,72.8,370603,Innlandet,2021-11-04
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,333927,299668,79.2,71,421882,Vestfold og Telemark,2021-11-04
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,239592,213627,77.6,69.2,308843,Agder,2021-11-04
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,491940,436824,77,68.4,638821,Vestland,2021-11-04
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,376300,339354,79.9,72,471124,Trøndelag,2021-11-04
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,187022,168520,77.2,69.6,242168,Troms og Finnmark,2021-11-04
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,535109,472186,76.8,67.7,697010,Oslo,2021-11-04
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11503,10362,77.8,70.1,14787,Eigersund,2021-11-04
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,109377,97340,75.9,67.5,144147,Stavanger,2021-11-04
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,27753,25020,74.4,67,37323,Haugesund,2021-11-04
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,58487,52416,72.7,65.2,80450,Sandnes,2021-11-04
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2411,2187,74,67.1,3257,Sokndal,2021-11-04
