granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,date_of_publishing
week,nation,norge,2020,0-9,male,2020,11,2020-11,2019/2020,34,2020-03-15,6,2022-03-03
week,nation,norge,2020,10-19,female,2020,11,2020-11,2019/2020,34,2020-03-15,16,2022-03-03
week,nation,norge,2020,10-19,male,2020,11,2020-11,2019/2020,34,2020-03-15,18,2022-03-03
week,nation,norge,2020,20-29,female,2020,11,2020-11,2019/2020,34,2020-03-15,70,2022-03-03
week,nation,norge,2020,20-29,male,2020,11,2020-11,2019/2020,34,2020-03-15,76,2022-03-03
week,nation,norge,2020,30-39,female,2020,11,2020-11,2019/2020,34,2020-03-15,87,2022-03-03
week,nation,norge,2020,30-39,male,2020,11,2020-11,2019/2020,34,2020-03-15,141,2022-03-03
week,nation,norge,2020,40-49,female,2020,11,2020-11,2019/2020,34,2020-03-15,138,2022-03-03
week,nation,norge,2020,40-49,male,2020,11,2020-11,2019/2020,34,2020-03-15,178,2022-03-03
week,nation,norge,2020,50-59,female,2020,11,2020-11,2019/2020,34,2020-03-15,115,2022-03-03
week,nation,norge,2020,50-59,male,2020,11,2020-11,2019/2020,34,2020-03-15,192,2022-03-03
week,nation,norge,2020,60-69,female,2020,11,2020-11,2019/2020,34,2020-03-15,41,2022-03-03
week,nation,norge,2020,60-69,male,2020,11,2020-11,2019/2020,34,2020-03-15,60,2022-03-03
week,nation,norge,2020,70-79,female,2020,11,2020-11,2019/2020,34,2020-03-15,14,2022-03-03
week,nation,norge,2020,70-79,male,2020,11,2020-11,2019/2020,34,2020-03-15,35,2022-03-03
week,nation,norge,2020,80-89,female,2020,11,2020-11,2019/2020,34,2020-03-15,14,2022-03-03
week,nation,norge,2020,80-89,male,2020,11,2020-11,2019/2020,34,2020-03-15,7,2022-03-03
week,nation,norge,2020,90+,female,2020,11,2020-11,2019/2020,34,2020-03-15,2,2022-03-03
week,nation,norge,2020,90+,male,2020,11,2020-11,2019/2020,34,2020-03-15,2,2022-03-03
week,nation,norge,2020,0-9,female,2020,12,2020-12,2019/2020,35,2020-03-22,7,2022-03-03
week,nation,norge,2020,0-9,male,2020,12,2020-12,2019/2020,35,2020-03-22,4,2022-03-03
week,nation,norge,2020,10-19,female,2020,12,2020-12,2019/2020,35,2020-03-22,29,2022-03-03
week,nation,norge,2020,10-19,male,2020,12,2020-12,2019/2020,35,2020-03-22,34,2022-03-03
week,nation,norge,2020,20-29,female,2020,12,2020-12,2019/2020,35,2020-03-22,136,2022-03-03
week,nation,norge,2020,20-29,male,2020,12,2020-12,2019/2020,35,2020-03-22,62,2022-03-03
week,nation,norge,2020,30-39,female,2020,12,2020-12,2019/2020,35,2020-03-22,134,2022-03-03
week,nation,norge,2020,30-39,male,2020,12,2020-12,2019/2020,35,2020-03-22,111,2022-03-03
week,nation,norge,2020,40-49,female,2020,12,2020-12,2019/2020,35,2020-03-22,127,2022-03-03
week,nation,norge,2020,40-49,male,2020,12,2020-12,2019/2020,35,2020-03-22,133,2022-03-03
week,nation,norge,2020,50-59,female,2020,12,2020-12,2019/2020,35,2020-03-22,139,2022-03-03
week,nation,norge,2020,50-59,male,2020,12,2020-12,2019/2020,35,2020-03-22,122,2022-03-03
week,nation,norge,2020,60-69,female,2020,12,2020-12,2019/2020,35,2020-03-22,88,2022-03-03
week,nation,norge,2020,60-69,male,2020,12,2020-12,2019/2020,35,2020-03-22,100,2022-03-03
week,nation,norge,2020,70-79,female,2020,12,2020-12,2019/2020,35,2020-03-22,59,2022-03-03
week,nation,norge,2020,70-79,male,2020,12,2020-12,2019/2020,35,2020-03-22,62,2022-03-03
week,nation,norge,2020,80-89,female,2020,12,2020-12,2019/2020,35,2020-03-22,42,2022-03-03
