granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,530984,460984,76.2,66.1,697010,Oslo,2021-10-04
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,355810,314036,73.7,65.1,482645,Rogaland,2021-10-04
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,205276,182036,77.3,68.6,265544,Møre og Romsdal,2021-10-04
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,187515,165285,78,68.8,240345,Nordland,2021-10-04
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,966043,844017,77.1,67.4,1252384,Viken,2021-10-04
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,296689,265020,80.1,71.5,370603,Innlandet,2021-10-04
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,331187,294217,78.5,69.7,421882,Vestfold og Telemark,2021-10-04
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,237700,210393,77,68.1,308843,Agder,2021-10-04
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,487706,427278,76.3,66.9,638821,Vestland,2021-10-04
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,371811,326521,78.9,69.3,471124,Trøndelag,2021-10-04
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,184555,163602,76.2,67.6,242168,Troms og Finnmark,2021-10-04
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,530974,460977,76.2,66.1,697010,Oslo,2021-10-04
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11424,10173,77.3,68.8,14787,Eigersund,2021-10-04
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,108522,95778,75.3,66.4,144147,Stavanger,2021-10-04
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,27471,23764,73.6,63.7,37323,Haugesund,2021-10-04
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,58103,51840,72.2,64.4,80450,Sandnes,2021-10-04
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2403,2165,73.8,66.5,3257,Sokndal,2021-10-04
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2325,2114,73.3,66.6,3174,Lund,2021-10-04
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2123,1856,76.1,66.5,2791,Bjerkreim,2021-10-04
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12920,11585,67.6,60.6,19120,Hå,2021-10-04
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14289,12409,72,62.5,19848,Klepp,2021-10-04
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13726,12293,71.8,64.3,19106,Time,2021-10-04
