granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,542060,488147,120906,77.8,70,17.3,697010,Oslo,2021-12-17
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,366425,334902,99540,75.9,69.4,20.6,482645,Rogaland,2021-12-17
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,211468,195379,66730,79.6,73.6,25.1,265544,Møre og Romsdal,2021-12-17
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192994,178174,59632,80.3,74.1,24.8,240345,Nordland,2021-12-17
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,986246,893780,283815,78.7,71.4,22.7,1252384,Viken,2021-12-17
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,303111,280331,99924,81.8,75.6,27,370603,Innlandet,2021-12-17
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,338229,310956,113458,80.2,73.7,26.9,421882,Vestfold og Telemark,2021-12-17
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,242565,221988,69372,78.5,71.9,22.5,308843,Agder,2021-12-17
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,499330,454794,143303,78.2,71.2,22.4,638821,Vestland,2021-12-17
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,380669,351283,105743,80.8,74.6,22.4,471124,Trøndelag,2021-12-17
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,190702,175532,58956,78.7,72.5,24.3,242168,Troms og Finnmark,2021-12-17
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,542050,488140,120901,77.8,70,17.3,697010,Oslo,2021-12-17
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11686,10797,3930,79,73,26.6,14787,Eigersund,2021-12-17
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,111375,101638,26210,77.3,70.5,18.2,144147,Stavanger,2021-12-17
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28209,25686,7602,75.6,68.8,20.4,37323,Haugesund,2021-12-17
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,59613,54928,16871,74.1,68.3,21,80450,Sandnes,2021-12-17
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2439,2251,765,74.9,69.1,23.5,3257,Sokndal,2021-12-17
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2374,2228,832,74.8,70.2,26.2,3174,Lund,2021-12-17
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2151,1970,729,77.1,70.6,26.1,2791,Bjerkreim,2021-12-17
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13810,12469,4101,72.2,65.2,21.4,19120,Hå,2021-12-17
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14804,13357,3942,74.6,67.3,19.9,19848,Klepp,2021-12-17
