granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,29203,9938,4.21099533665756,1.43303330670489,693494,Oslo,2021-02-15
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,16769,4683,3.49432789044202,0.975844565027131,479892,Rogaland,2021-02-15
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,11007,3692,4.14985786350372,1.3919574118339,265238,Møre og Romsdal,2021-02-15
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,12484,3753,5.17503678985222,1.55574439861546,241235,Nordland,2021-02-15
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,49646,14611,3.99995165832101,1.17720045280039,1241165,Viken,2021-02-15
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,20700,6597,5.57373076457046,1.77632376105659,371385,Innlandet,2021-02-15
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,21275,6360,5.07277131875364,1.51646653759216,419396,Vestfold og Telemark,2021-02-15
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,13370,3542,4.35177439776585,1.15287845302069,307231,Agder,2021-02-15
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,26396,7970,4.14685223500505,1.25209926932074,636531,Vestland,2021-02-15
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,20736,5770,4.4241330312224,1.23105939381526,468702,Trøndelag,2021-02-15
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,10090,3358,4.14695595349162,1.38012666916005,243311,Troms og Finnmark,2021-02-15
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,29011,9878,4.18330944463831,1.42438146544887,693494,Oslo,2021-02-15
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,562,151,3.79447707784755,1.01951252447505,14811,Eigersund,2021-02-15
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4882,1509,3.4003371083901,1.051025951774,143574,Stavanger,2021-02-15
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1552,504,4.15450919506384,1.34914473860321,37357,Haugesund,2021-02-15
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2431,682,3.05643914153161,0.85746256459258,79537,Sandnes,2021-02-15
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,129,26,3.93292682926829,0.792682926829268,3280,Sokndal,2021-02-15
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,126,34,3.93504059962523,1.06183635227983,3202,Lund,2021-02-15
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,111,33,3.98277717976319,1.18406889128095,2787,Bjerkreim,2021-02-15
