granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550748,514045,360785,62731,78.7,73.5,51.6,9,699827,Oslo,2022-10-31
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372188,345825,254305,56526,76.6,71.2,52.3,11.6,485797,Rogaland,2022-10-31
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214373,201353,155651,39163,80.6,75.7,58.5,14.7,265848,Møre og Romsdal,2022-10-31
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194826,182908,135232,32233,81.1,76.2,56.3,13.4,240190,Nordland,2022-10-31
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001867,931899,699068,173258,78.9,73.4,55.1,13.7,1269230,Viken,2022-10-31
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306249,288208,221366,60300,82.5,77.6,59.6,16.2,371253,Innlandet,2022-10-31
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342201,320329,241876,64812,80.5,75.4,56.9,15.3,424832,Vestfold og Telemark,2022-10-31
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245940,228862,169793,41132,79,73.6,54.6,13.2,311134,Agder,2022-10-31
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506049,470552,353647,82310,78.9,73.4,55.1,12.8,641292,Vestland,2022-10-31
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385027,360903,272573,60228,81.2,76.1,57.5,12.7,474131,Trøndelag,2022-10-31
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191779,179699,128235,26515,79.3,74.3,53,11,241736,Troms og Finnmark,2022-10-31
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550740,514038,360781,62730,78.7,73.5,51.6,9,699827,Oslo,2022-10-31
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11851,11145,9232,2224,79.8,75,62.1,15,14860,Eigersund,2022-10-31
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112805,104930,76415,16634,78,72.5,52.8,11.5,144699,Stavanger,2022-10-31
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28696,26696,19275,4043,76.6,71.3,51.5,10.8,37444,Haugesund,2022-10-31
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60621,56462,42847,8599,74.6,69.4,52.7,10.6,81305,Sandnes,2022-10-31
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2506,2357,1805,496,76.4,71.8,55,15.1,3281,Sokndal,2022-10-31
