granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550795,514054,360281,55536,78.7,73.5,51.5,7.9,699827,Oslo,2022-10-13
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372215,345836,254089,53461,76.6,71.2,52.3,11,485797,Rogaland,2022-10-13
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214392,201380,155546,34832,80.6,75.8,58.5,13.1,265848,Møre og Romsdal,2022-10-13
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194867,182942,135075,28144,81.1,76.2,56.2,11.7,240190,Nordland,2022-10-13
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001673,931690,698059,158661,78.9,73.4,55,12.5,1269230,Viken,2022-10-13
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306247,288198,221133,55300,82.5,77.6,59.6,14.9,371253,Innlandet,2022-10-13
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342144,320257,241581,58629,80.5,75.4,56.9,13.8,424832,Vestfold og Telemark,2022-10-13
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245926,228843,169598,36469,79,73.6,54.5,11.7,311134,Agder,2022-10-13
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506101,470570,353316,76064,78.9,73.4,55.1,11.9,641292,Vestland,2022-10-13
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385084,360956,272321,55281,81.2,76.1,57.4,11.7,474131,Trøndelag,2022-10-13
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191842,179737,128083,22614,79.4,74.4,53,9.4,241736,Troms og Finnmark,2022-10-13
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550787,514047,360277,55535,78.7,73.5,51.5,7.9,699827,Oslo,2022-10-13
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11856,11147,9228,2154,79.8,75,62.1,14.5,14860,Eigersund,2022-10-13
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112850,104958,76353,15624,78,72.5,52.8,10.8,144699,Stavanger,2022-10-13
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28691,26699,19243,3666,76.6,71.3,51.4,9.8,37444,Haugesund,2022-10-13
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60604,56444,42823,8344,74.5,69.4,52.7,10.3,81305,Sandnes,2022-10-13
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2506,2357,1805,493,76.4,71.8,55,15,3281,Sokndal,2022-10-13
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2416,2280,1792,376,76,71.7,56.4,11.8,3178,Lund,2022-10-13
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2185,2050,1528,481,78.3,73.5,54.8,17.2,2789,Bjerkreim,2022-10-13
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14052,12942,9168,2125,72.8,67.1,47.5,11,19296,Hå,2022-10-13
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15113,13916,9319,2094,75,69,46.2,10.4,20163,Klepp,2022-10-13
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14739,13665,9228,2168,76.2,70.6,47.7,11.2,19353,Time,2022-10-13
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8814,8164,6298,1179,72.7,67.3,51.9,9.7,12131,Gjesdal,2022-10-13
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21212,19674,13985,2738,76.9,71.4,50.7,9.9,27568,Sola,2022-10-13
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9060,8369,6072,1115,79.1,73.1,53,9.7,11454,Randaberg,2022-10-13
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10305,9517,7157,1322,77.7,71.7,53.9,10,13268,Strand,2022-10-13
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2024,1893,1387,405,79.9,74.7,54.7,16,2534,Hjelmeland,2022-10-13
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3033,2823,2397,699,80.2,74.6,63.3,18.5,3784,Suldal,2022-10-13
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3665,3409,2692,669,81,75.3,59.5,14.8,4525,Sauda,2022-10-13
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,427,401,342,112,81.6,76.7,65.4,21.4,523,Kvitsøy,2022-10-13
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,713,688,516,161,83.4,80.5,60.4,18.8,855,Bokn,2022-10-13
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8570,7825,5567,1266,76,69.4,49.3,11.2,11283,Tysvær,2022-10-13
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32329,30045,22180,5311,76,70.6,52.1,12.5,42541,Karmøy,2022-10-13
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,173,169,155,45,92,89.9,82.4,23.9,188,Utsira,2022-10-13
