granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,cum_n_dose_1,cum_n_dose_2,cum_n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-02,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-03,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-04,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-05,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-06,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-07,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-08,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-09,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-10,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-11,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-12,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-13,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-14,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-15,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-16,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-17,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-18,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-19,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-20,0,0,0,6,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-21,0,0,0,9,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-22,6,0,0,15,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-23,7,0,0,22,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-24,0,0,0,26,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-25,0,0,0,26,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-26,0,0,0,26,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-27,8,0,0,34,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-28,267,0,0,301,0,0,0,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-29,125,0,0,426,0,0,0.1,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-30,66,0,0,492,0,0,0.1,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-31,12,0,0,504,0,0,0.1,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-01,10,0,0,514,0,0,0.1,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-02,6,0,0,520,0,0,0.1,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-03,0,0,0,523,0,0,0.1,0,0,693494,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-04,8,0,0,531,0,0,0.1,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-05,489,0,0,1020,0,0,0.1,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-06,606,0,0,1626,0,0,0.2,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-07,980,0,0,2606,0,0,0.4,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-08,456,0,0,3062,0,0,0.4,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-09,136,0,0,3198,0,0,0.5,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-10,106,0,0,3304,0,0,0.5,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-11,91,0,0,3395,8,0,0.5,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-12,258,0,0,3653,9,0,0.5,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-13,502,0,0,4155,12,0,0.6,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-14,1263,0,0,5418,14,0,0.8,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-15,1656,0,0,7074,16,0,1,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-16,654,0,0,7728,17,0,1.1,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-17,283,6,0,8011,23,0,1.1,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-18,764,232,0,8775,255,0,1.3,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-19,805,74,0,9580,329,0,1.4,0,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-20,1010,102,0,10590,431,0,1.5,0.1,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-21,1042,24,0,11632,455,0,1.7,0.1,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-22,696,11,0,12328,466,0,1.8,0.1,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-23,242,0,0,12570,470,0,1.8,0.1,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-24,74,0,0,12644,473,0,1.8,0.1,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-25,263,0,0,12907,477,0,1.9,0.1,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-26,325,420,0,13232,897,0,1.9,0.1,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-27,1112,525,0,14344,1422,0,2.1,0.2,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-28,882,863,0,15226,2285,0,2.2,0.3,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-29,439,510,0,15665,2795,0,2.2,0.4,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-30,102,187,0,15767,2982,0,2.3,0.4,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-31,79,48,0,15846,3030,0,2.3,0.4,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-01,65,61,0,15911,3091,0,2.3,0.4,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-02,1514,169,0,17425,3260,0,2.5,0.5,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-03,2462,470,0,19887,3730,0,2.9,0.5,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-04,2050,1270,0,21937,5000,0,3.1,0.7,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-05,1379,1631,0,23316,6631,0,3.3,1,0,697010,Oslo,2022-06-17
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-06,244,633,0,23560,7264,0,3.4,1,0,697010,Oslo,2022-06-17
