granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549653,512636,357204,10221,78.5,73.3,51,1.5,699827,Oslo,2022-07-21
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372862,346369,252353,7166,76.8,71.3,51.9,1.5,485797,Rogaland,2022-07-21
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214560,201511,154643,5424,80.7,75.8,58.2,2,265848,Møre og Romsdal,2022-07-21
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195525,183505,134257,4623,81.4,76.4,55.9,1.9,240190,Nordland,2022-07-21
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001027,930798,692782,25748,78.9,73.3,54.6,2,1269230,Viken,2022-07-21
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306394,288317,219643,7250,82.5,77.7,59.2,2,371253,Innlandet,2022-07-21
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342304,320321,239986,9788,80.6,75.4,56.5,2.3,424832,Vestfold og Telemark,2022-07-21
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245449,228281,168089,6113,78.9,73.4,54,2,311134,Agder,2022-07-21
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506139,470430,350597,13411,78.9,73.4,54.7,2.1,641292,Vestland,2022-07-21
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385083,360854,270256,10161,81.2,76.1,57,2.1,474131,Trøndelag,2022-07-21
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192424,180246,127417,3704,79.6,74.6,52.7,1.5,241736,Troms og Finnmark,2022-07-21
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549645,512629,357200,10221,78.5,73.3,51,1.5,699827,Oslo,2022-07-21
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11892,11186,9222,266,80,75.3,62.1,1.8,14860,Eigersund,2022-07-21
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113062,105093,75785,1926,78.1,72.6,52.4,1.3,144699,Stavanger,2022-07-21
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28721,26708,19095,670,76.7,71.3,51,1.8,37444,Haugesund,2022-07-21
