granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n,location_name
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-29,12,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-30,13,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-01,22,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-02,8,Oslo
day,county,county03,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-03,22,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-04,16,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-05,19,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-06,14,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-07,11,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-08,17,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-09,4,Oslo
day,county,county03,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-10,4,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-11,7,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-12,4,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-13,5,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-14,9,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-15,4,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-16,3,Oslo
day,county,county03,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-17,0,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-18,5,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-19,5,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-20,6,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-21,11,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-22,11,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-23,5,Oslo
day,county,county03,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-24,3,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-25,5,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-26,2,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-27,6,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-28,6,Oslo
day,county,county03,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-29,3,Oslo
