location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,253694,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,699827,36250.9591656224,Oslo,2022-03-31
county11,1900-01-01,119549,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,485797,24608.8386712969,Rogaland,2022-03-31
county15,1900-01-01,51920,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265848,19529.9569678914,Møre og Romsdal,2022-03-31
county18,1900-01-01,38260,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,240190,15929.0561638703,Nordland,2022-03-31
county30,1900-01-01,378182,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1269230,29796.1756340458,Viken,2022-03-31
county34,1900-01-01,76986,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,371253,20736.8021268515,Innlandet,2022-03-31
county38,1900-01-01,99883,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,424832,23511.1761825851,Vestfold og Telemark,2022-03-31
county42,1900-01-01,78365,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,311134,25186.8969640091,Agder,2022-03-31
county46,1900-01-01,141171,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,641292,22013.5289384555,Vestland,2022-03-31
county50,1900-01-01,98646,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,474131,20805.6423224805,Trøndelag,2022-03-31
county54,1900-01-01,47007,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,241736,19445.5935400602,Troms og Finnmark,2022-03-31
municip0301,1900-01-01,253678,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,699827,36248.672886299,Oslo,2022-03-31
municip1101,1900-01-01,2579,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14860,17355.3162853297,Eigersund,2022-03-31
municip1103,1900-01-01,38539,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,144699,26633.9090111196,Stavanger,2022-03-31
municip1106,1900-01-01,9436,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37444,25200.2991133426,Haugesund,2022-03-31
municip1108,1900-01-01,20211,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,81305,24858.2498001353,Sandnes,2022-03-31
municip1111,1900-01-01,757,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3281,23072.2340749771,Sokndal,2022-03-31
municip1112,1900-01-01,604,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3178,19005.6639395846,Lund,2022-03-31
municip1114,1900-01-01,593,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2789,21262.1011115095,Bjerkreim,2022-03-31
municip1119,1900-01-01,4506,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19296,23351.9900497512,Hå,2022-03-31
municip1120,1900-01-01,5903,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,20163,29276.3973615037,Klepp,2022-03-31
municip1121,1900-01-01,5143,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19353,26574.6912623366,Time,2022-03-31
municip1122,1900-01-01,3289,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12131,27112.3567719067,Gjesdal,2022-03-31
municip1124,1900-01-01,7048,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27568,25565.8734764945,Sola,2022-03-31
municip1127,1900-01-01,3128,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11454,27309.2369477912,Randaberg,2022-03-31
municip1130,1900-01-01,2791,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13268,21035.5743141393,Strand,2022-03-31
municip1133,1900-01-01,409,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2534,16140.4893449092,Hjelmeland,2022-03-31
municip1134,1900-01-01,478,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3784,12632.1353065539,Suldal,2022-03-31
municip1135,1900-01-01,602,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4525,13303.8674033149,Sauda,2022-03-31
municip1144,1900-01-01,54,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,523,10325.0478011472,Kvitsøy,2022-03-31
municip1145,1900-01-01,148,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,855,17309.9415204678,Bokn,2022-03-31
municip1146,1900-01-01,2833,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11283,25108.5704156696,Tysvær,2022-03-31
municip1149,1900-01-01,8998,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,42541,21151.3598646012,Karmøy,2022-03-31
municip1151,1900-01-01,23,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,188,12234.0425531915,Utsira,2022-03-31
municip1160,1900-01-01,1452,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8775,16547.0085470085,Vindafjord,2022-03-31
municip1505,1900-01-01,5868,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,24013,24436.7634198143,Kristiansund,2022-03-31
municip1506,1900-01-01,6134,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,32002,19167.5520279983,Molde,2022-03-31
municip1507,1900-01-01,14353,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,67114,21385.9999403999,Ålesund,2022-03-31
municip1511,1900-01-01,328,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3045,10771.7569786535,Vanylven,2022-03-31
municip1514,1900-01-01,357,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2422,14739.8843930636,Sande,2022-03-31
municip1515,1900-01-01,1395,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8765,15915.5733029093,Herøy,2022-03-31
municip1516,1900-01-01,1320,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8557,15425.967044525,Ulstein,2022-03-31
municip1517,1900-01-01,911,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5126,17772.1420210691,Hareid,2022-03-31
municip1520,1900-01-01,3787,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10833,34957.9987076525,Ørsta,2022-03-31
municip1525,1900-01-01,560,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4467,12536.3778822476,Stranda,2022-03-31
municip1528,1900-01-01,1199,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7558,15863.9851812649,Sykkylven,2022-03-31
municip1531,1900-01-01,2190,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9547,22939.1431863413,Sula,2022-03-31
municip1532,1900-01-01,1961,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8597,22810.2826567407,Giske,2022-03-31
municip1535,1900-01-01,1791,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6936,25821.7993079585,Vestnes,2022-03-31
municip1539,1900-01-01,688,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7019,9801.9660920359,Rauma,2022-03-31
municip1547,1900-01-01,977,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3518,27771.461057419,Aukra,2022-03-31
municip1554,1900-01-01,1007,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5828,17278.6547700755,Averøy,2022-03-31
municip1557,1900-01-01,263,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2669,9853.87785687523,Gjemnes,2022-03-31
municip1560,1900-01-01,358,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2960,12094.5945945946,Tingvoll,2022-03-31
municip1563,1900-01-01,512,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6932,7386.03577611079,Sunndal,2022-03-31
