granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550513,513623,358844,26755,78.7,73.4,51.3,3.8,699827,Oslo,2022-08-29
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372571,346157,253233,30675,76.7,71.3,52.1,6.3,485797,Rogaland,2022-08-29
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214469,201443,155125,16150,80.7,75.8,58.4,6.1,265848,Møre og Romsdal,2022-08-29
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195305,183337,134617,11069,81.3,76.3,56,4.6,240190,Nordland,2022-08-29
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001324,931228,695222,86012,78.9,73.4,54.8,6.8,1269230,Viken,2022-08-29
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306293,288242,220227,20622,82.5,77.6,59.3,5.6,371253,Innlandet,2022-08-29
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342225,320302,240734,27629,80.6,75.4,56.7,6.5,424832,Vestfold og Telemark,2022-08-29
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245725,228599,168853,17799,79,73.5,54.3,5.7,311134,Agder,2022-08-29
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506182,470581,352023,40935,78.9,73.4,54.9,6.4,641292,Vestland,2022-08-29
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385150,361001,271259,24584,81.2,76.1,57.2,5.2,474131,Trøndelag,2022-08-29
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192129,180003,127728,11633,79.5,74.5,52.8,4.8,241736,Troms og Finnmark,2022-08-29
