granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,42107,22105,25.4894245553713,13.3812366066564,165194,Oslo,2021-06-18
total,county,county03,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,29061,12952,17.5505027629314,7.82196454992904,165585,Oslo,2021-06-18
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,36431,14636,85.6434247026188,34.4068832573229,42538,Oslo,2021-06-18
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,37389,13094,81.0759823054905,28.3936160985341,46116,Oslo,2021-06-18
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,30814,21764,90.7682337692942,64.1098150111936,33948,Oslo,2021-06-18
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,30418,20987,87.7383253050276,60.535348582307,34669,Oslo,2021-06-18
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,24030,22912,92.4301869374567,88.1298561427802,25998,Oslo,2021-06-18
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,22046,20932,91.1971539670721,86.5888971622404,24174,Oslo,2021-06-18
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,14528,14266,94.7993474714519,93.089722675367,15325,Oslo,2021-06-18
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,11758,11632,96.0856419056958,95.0559777723298,12237,Oslo,2021-06-18
total,county,county03,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,6962,6793,90.0530332427888,87.8670288449101,7731,Oslo,2021-06-18
total,county,county03,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,3268,3217,90.2263942573164,88.8183324130315,3622,Oslo,2021-06-18
total,county,county11,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,19630,12701,21.5652670665524,13.953156241074,91026,Rogaland,2021-06-18
total,county,county11,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,10346,5211,10.6472095584073,5.36271109693221,97171,Rogaland,2021-06-18
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,14604,7726,45.9751298599087,24.3223673854872,31765,Rogaland,2021-06-18
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,12361,5040,36.4190801685277,14.849297310038,33941,Rogaland,2021-06-18
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,22863,11095,85.5875416463894,41.5340845281324,26713,Rogaland,2021-06-18
