granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550682,513983,360843,64053,78.7,73.4,51.6,9.2,699827,Oslo,2022-11-03
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372161,345814,254330,57074,76.6,71.2,52.4,11.7,485797,Rogaland,2022-11-03
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214358,201336,155674,39668,80.6,75.7,58.6,14.9,265848,Møre og Romsdal,2022-11-03
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194808,182891,135265,32754,81.1,76.1,56.3,13.6,240190,Nordland,2022-11-03
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001924,931980,699293,176140,78.9,73.4,55.1,13.9,1269230,Viken,2022-11-03
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306286,288237,221415,60901,82.5,77.6,59.6,16.4,371253,Innlandet,2022-11-03
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342231,320361,241937,65704,80.6,75.4,56.9,15.5,424832,Vestfold og Telemark,2022-11-03
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245966,228889,169829,41889,79.1,73.6,54.6,13.5,311134,Agder,2022-11-03
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506026,470537,353723,83350,78.9,73.4,55.2,13,641292,Vestland,2022-11-03
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,384990,360883,272597,61170,81.2,76.1,57.5,12.9,474131,Trøndelag,2022-11-03
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191780,179697,128267,27265,79.3,74.3,53.1,11.3,241736,Troms og Finnmark,2022-11-03
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550674,513976,360839,64052,78.7,73.4,51.6,9.2,699827,Oslo,2022-11-03
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11852,11148,9234,2230,79.8,75,62.1,15,14860,Eigersund,2022-11-03
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112800,104929,76425,16809,78,72.5,52.8,11.6,144699,Stavanger,2022-11-03
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28690,26690,19276,4087,76.6,71.3,51.5,10.9,37444,Haugesund,2022-11-03
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60602,56452,42853,8670,74.5,69.4,52.7,10.7,81305,Sandnes,2022-11-03
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2508,2360,1807,503,76.4,71.9,55.1,15.3,3281,Sokndal,2022-11-03
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2413,2278,1790,401,75.9,71.7,56.3,12.6,3178,Lund,2022-11-03
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2193,2051,1534,529,78.6,73.5,55,19,2789,Bjerkreim,2022-11-03
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14039,12933,9170,2238,72.8,67,47.5,11.6,19296,Hå,2022-11-03
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15134,13937,9330,2175,75.1,69.1,46.3,10.8,20163,Klepp,2022-11-03
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14726,13651,9240,2282,76.1,70.5,47.7,11.8,19353,Time,2022-11-03
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8808,8159,6300,1223,72.6,67.3,51.9,10.1,12131,Gjesdal,2022-11-03
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21231,19697,14017,2953,77,71.4,50.8,10.7,27568,Sola,2022-11-03
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9061,8369,6084,1293,79.1,73.1,53.1,11.3,11454,Randaberg,2022-11-03
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10316,9527,7166,1579,77.8,71.8,54,11.9,13268,Strand,2022-11-03
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2024,1893,1387,406,79.9,74.7,54.7,16,2534,Hjelmeland,2022-11-03
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3032,2821,2398,712,80.1,74.6,63.4,18.8,3784,Suldal,2022-11-03
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3671,3416,2697,677,81.1,75.5,59.6,15,4525,Sauda,2022-11-03
