granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550858,514128,360678,61113,78.7,73.5,51.5,8.7,699827,Oslo,2022-10-26
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372226,345854,254257,55569,76.6,71.2,52.3,11.4,485797,Rogaland,2022-10-26
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214378,201358,155630,38270,80.6,75.7,58.5,14.4,265848,Møre og Romsdal,2022-10-26
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194836,182922,135186,30984,81.1,76.2,56.3,12.9,240190,Nordland,2022-10-26
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001806,931843,698810,169662,78.9,73.4,55.1,13.4,1269230,Viken,2022-10-26
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306268,288212,221304,58947,82.5,77.6,59.6,15.9,371253,Innlandet,2022-10-26
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342181,320307,241782,63194,80.5,75.4,56.9,14.9,424832,Vestfold og Telemark,2022-10-26
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245944,228857,169735,39761,79,73.6,54.6,12.8,311134,Agder,2022-10-26
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506092,470590,353576,80400,78.9,73.4,55.1,12.5,641292,Vestland,2022-10-26
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385070,360944,272522,59045,81.2,76.1,57.5,12.5,474131,Trøndelag,2022-10-26
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191809,179721,128213,25564,79.3,74.3,53,10.6,241736,Troms og Finnmark,2022-10-26
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550850,514121,360674,61112,78.7,73.5,51.5,8.7,699827,Oslo,2022-10-26
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11855,11149,9234,2223,79.8,75,62.1,15,14860,Eigersund,2022-10-26
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112835,104954,76420,16392,78,72.5,52.8,11.3,144699,Stavanger,2022-10-26
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28694,26698,19263,3970,76.6,71.3,51.4,10.6,37444,Haugesund,2022-10-26
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60612,56454,42837,8542,74.5,69.4,52.7,10.5,81305,Sandnes,2022-10-26
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2506,2357,1805,495,76.4,71.8,55,15.1,3281,Sokndal,2022-10-26
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2417,2281,1792,377,76.1,71.8,56.4,11.9,3178,Lund,2022-10-26
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2192,2050,1532,526,78.6,73.5,54.9,18.9,2789,Bjerkreim,2022-10-26
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14048,12939,9170,2206,72.8,67.1,47.5,11.4,19296,Hå,2022-10-26
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15111,13914,9322,2150,74.9,69,46.2,10.7,20163,Klepp,2022-10-26
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14745,13669,9240,2216,76.2,70.6,47.7,11.5,19353,Time,2022-10-26
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8815,8165,6298,1195,72.7,67.3,51.9,9.9,12131,Gjesdal,2022-10-26
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21222,19685,14000,2782,77,71.4,50.8,10.1,27568,Sola,2022-10-26
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9066,8375,6082,1223,79.2,73.1,53.1,10.7,11454,Randaberg,2022-10-26
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10303,9515,7160,1400,77.7,71.7,54,10.6,13268,Strand,2022-10-26
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2024,1893,1388,406,79.9,74.7,54.8,16,2534,Hjelmeland,2022-10-26
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3034,2823,2396,705,80.2,74.6,63.3,18.6,3784,Suldal,2022-10-26
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3663,3407,2691,675,81,75.3,59.5,14.9,4525,Sauda,2022-10-26
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,427,401,342,114,81.6,76.7,65.4,21.8,523,Kvitsøy,2022-10-26
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,712,687,515,160,83.3,80.4,60.2,18.7,855,Bokn,2022-10-26
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8568,7824,5567,1325,75.9,69.3,49.3,11.7,11283,Tysvær,2022-10-26
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32323,30042,22189,5430,76,70.6,52.2,12.8,42541,Karmøy,2022-10-26
