granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,n_dose_3_all,cum_n_dose_1,cum_n_dose_2,cum_n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-02,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-03,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-04,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-05,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,49,2020-49,2020/2021,20,2020-12-06,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-07,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-08,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-09,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-10,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-11,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-12,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,50,2020-50,2020/2021,21,2020-12-13,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-14,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-15,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-16,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-17,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-18,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-19,0,0,0,0,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,51,2020-51,2020/2021,22,2020-12-20,0,0,0,6,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-21,0,0,0,9,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-22,6,0,0,15,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-23,7,0,0,22,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-24,0,0,0,26,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-25,0,0,0,26,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-26,0,0,0,26,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,52,2020-52,2020/2021,23,2020-12-27,8,0,0,34,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-28,267,0,0,301,0,0,0,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-29,124,0,0,425,0,0,0.1,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-30,66,0,0,491,0,0,0.1,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2020-12-31,12,0,0,503,0,0,0.1,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-01,10,0,0,513,0,0,0.1,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-02,6,0,0,519,0,0,0.1,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2020,53,2020-53,2020/2021,23.5,2021-01-03,0,0,0,522,0,0,0.1,0,0,693494,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-04,8,0,0,530,0,0,0.1,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-05,491,0,0,1021,0,0,0.1,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-06,606,0,0,1627,0,0,0.2,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-07,980,0,0,2607,0,0,0.4,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-08,456,0,0,3063,0,0,0.4,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-09,136,0,0,3199,0,0,0.5,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,1,2021-01,2020/2021,24,2021-01-10,106,0,0,3305,0,0,0.5,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-11,89,0,0,3394,8,0,0.5,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-12,257,0,0,3651,9,0,0.5,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-13,504,0,0,4155,12,0,0.6,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-14,1263,0,0,5418,14,0,0.8,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-15,1655,0,0,7073,16,0,1,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-16,657,0,0,7730,17,0,1.1,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,2,2021-02,2020/2021,25,2021-01-17,283,6,0,8013,23,0,1.1,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-18,765,232,0,8778,255,0,1.3,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-19,804,73,0,9582,328,0,1.4,0,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-20,1007,102,0,10589,430,0,1.5,0.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-21,1039,24,0,11628,454,0,1.7,0.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-22,695,11,0,12323,465,0,1.8,0.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-23,242,0,0,12565,469,0,1.8,0.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,3,2021-03,2020/2021,26,2021-01-24,74,0,0,12639,472,0,1.8,0.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-25,263,5,0,12902,477,0,1.9,0.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-26,325,421,0,13227,898,0,1.9,0.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-27,1120,525,0,14347,1423,0,2.1,0.2,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-28,885,863,0,15232,2286,0,2.2,0.3,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-29,439,510,0,15671,2796,0,2.2,0.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-30,103,187,0,15774,2983,0,2.3,0.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,4,2021-04,2020/2021,27,2021-01-31,79,48,0,15853,3031,0,2.3,0.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-01,65,60,0,15918,3091,0,2.3,0.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-02,1519,168,0,17437,3259,0,2.5,0.5,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-03,2459,471,0,19896,3730,0,2.9,0.5,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-04,2058,1272,0,21954,5002,0,3.1,0.7,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-05,1380,1630,0,23334,6632,0,3.3,1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-06,243,635,0,23577,7267,0,3.4,1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,5,2021-05,2020/2021,28,2021-02-07,215,280,0,23792,7547,0,3.4,1.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,6,2021-06,2020/2021,29,2021-02-08,59,454,0,23851,8001,0,3.4,1.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,6,2021-06,2020/2021,29,2021-02-09,1178,250,0,25029,8251,0,3.6,1.2,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,6,2021-06,2020/2021,29,2021-02-10,1834,837,0,26863,9088,0,3.9,1.3,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,6,2021-06,2020/2021,29,2021-02-11,1606,772,0,28469,9860,0,4.1,1.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,6,2021-06,2020/2021,29,2021-02-12,1354,439,0,29823,10299,0,4.3,1.5,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,6,2021-06,2020/2021,29,2021-02-13,285,207,0,30108,10506,0,4.3,1.5,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,6,2021-06,2020/2021,29,2021-02-14,105,0,0,30213,10508,0,4.3,1.5,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,7,2021-07,2020/2021,30,2021-02-15,282,449,0,30495,10957,0,4.4,1.6,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,7,2021-07,2020/2021,30,2021-02-16,744,781,0,31239,11738,0,4.5,1.7,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,7,2021-07,2020/2021,30,2021-02-17,1446,1171,0,32685,12909,0,4.7,1.9,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,7,2021-07,2020/2021,30,2021-02-18,1110,946,0,33795,13855,0,4.8,2,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,7,2021-07,2020/2021,30,2021-02-19,1493,975,0,35288,14830,0,5.1,2.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,7,2021-07,2020/2021,30,2021-02-20,119,124,0,35407,14954,0,5.1,2.1,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,7,2021-07,2020/2021,30,2021-02-21,17,72,0,35424,15026,0,5.1,2.2,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,8,2021-08,2020/2021,31,2021-02-22,592,122,0,36016,15148,0,5.2,2.2,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,8,2021-08,2020/2021,31,2021-02-23,361,1545,0,36377,16693,0,5.2,2.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,8,2021-08,2020/2021,31,2021-02-24,722,2368,0,37099,19061,0,5.3,2.7,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,8,2021-08,2020/2021,31,2021-02-25,645,2018,0,37744,21079,0,5.4,3,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,8,2021-08,2020/2021,31,2021-02-26,834,1384,0,38578,22463,0,5.5,3.2,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,8,2021-08,2020/2021,31,2021-02-27,264,161,0,38842,22624,0,5.6,3.2,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,8,2021-08,2020/2021,31,2021-02-28,107,70,0,38949,22694,0,5.6,3.3,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,9,2021-09,2020/2021,32,2021-03-01,1069,45,0,40018,22739,0,5.7,3.3,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,9,2021-09,2020/2021,32,2021-03-02,803,149,0,40821,22888,0,5.9,3.3,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,9,2021-09,2020/2021,32,2021-03-03,1422,183,0,42243,23071,0,6.1,3.3,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,9,2021-09,2020/2021,32,2021-03-04,1253,230,0,43496,23301,0,6.2,3.3,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,9,2021-09,2020/2021,32,2021-03-05,1341,82,0,44837,23383,0,6.4,3.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,9,2021-09,2020/2021,32,2021-03-06,138,9,0,44975,23392,0,6.5,3.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,9,2021-09,2020/2021,32,2021-03-07,85,6,0,45060,23398,0,6.5,3.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,10,2021-10,2020/2021,33,2021-03-08,704,23,0,45764,23421,0,6.6,3.4,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,10,2021-10,2020/2021,33,2021-03-09,829,1351,0,46593,24772,0,6.7,3.6,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,10,2021-10,2020/2021,33,2021-03-10,1265,2435,0,47858,27207,0,6.9,3.9,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,10,2021-10,2020/2021,33,2021-03-11,949,2414,0,48807,29621,0,7,4.2,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,10,2021-10,2020/2021,33,2021-03-12,327,1653,0,49134,31274,0,7,4.5,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,10,2021-10,2020/2021,33,2021-03-13,39,275,0,49173,31549,0,7.1,4.5,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,10,2021-10,2020/2021,33,2021-03-14,14,100,0,49187,31649,0,7.1,4.5,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,11,2021-11,2020/2021,34,2021-03-15,47,368,0,49234,32017,0,7.1,4.6,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,11,2021-11,2020/2021,34,2021-03-16,1038,150,0,50272,32167,0,7.2,4.6,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,11,2021-11,2020/2021,34,2021-03-17,2781,134,0,53053,32301,0,7.6,4.6,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,11,2021-11,2020/2021,34,2021-03-18,2065,138,0,55118,32439,0,7.9,4.7,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,11,2021-11,2020/2021,34,2021-03-19,2073,197,0,57191,32636,0,8.2,4.7,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,11,2021-11,2020/2021,34,2021-03-20,429,26,0,57620,32662,0,8.3,4.7,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,11,2021-11,2020/2021,34,2021-03-21,186,20,0,57806,32682,0,8.3,4.7,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,12,2021-12,2020/2021,35,2021-03-22,963,20,0,58769,32702,0,8.4,4.7,0,697010,Oslo,2022-05-03
day,county,county03,2020,total,total,2021,12,2021-12,2020/2021,35,2021-03-23,3331,131,0,62100,32833,0,8.9,4.7,0,697010,Oslo,2022-05-03
