granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,491096,287778,70.5,41.3,697010,Oslo,2021-08-17
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,318646,178790,66,37,482645,Rogaland,2021-08-17
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,184063,106822,69.3,40.2,265544,Møre og Romsdal,2021-08-17
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,167405,97612,69.7,40.6,240345,Nordland,2021-08-17
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,875471,524768,69.9,41.9,1252384,Viken,2021-08-17
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,269180,159027,72.6,42.9,370603,Innlandet,2021-08-17
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,300449,186963,71.2,44.3,421882,Vestfold og Telemark,2021-08-17
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,213195,142464,69,46.1,308843,Agder,2021-08-17
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,440009,280646,68.9,43.9,638821,Vestland,2021-08-17
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,336022,187030,71.3,39.7,471124,Trøndelag,2021-08-17
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,165744,97162,68.4,40.1,242168,Troms og Finnmark,2021-08-17
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,491089,287772,70.5,41.3,697010,Oslo,2021-08-17
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10023,5926,67.8,40.1,14787,Eigersund,2021-08-17
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,97530,52758,67.7,36.6,144147,Stavanger,2021-08-17
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,23876,13768,64,36.9,37323,Haugesund,2021-08-17
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52482,29156,65.2,36.2,80450,Sandnes,2021-08-17
