granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,489506,266559,70.2,38.2,697010,Oslo,2021-08-13
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,317800,172691,65.8,35.8,482645,Rogaland,2021-08-13
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,183037,104118,68.9,39.2,265544,Møre og Romsdal,2021-08-13
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,166384,95710,69.2,39.8,240345,Nordland,2021-08-13
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,873249,495679,69.7,39.6,1252384,Viken,2021-08-13
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,268093,155254,72.3,41.9,370603,Innlandet,2021-08-13
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,299862,179532,71.1,42.6,421882,Vestfold og Telemark,2021-08-13
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,212139,136112,68.7,44.1,308843,Agder,2021-08-13
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,438224,270594,68.6,42.4,638821,Vestland,2021-08-13
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,334165,179786,70.9,38.2,471124,Trøndelag,2021-08-13
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,165012,94226,68.1,38.9,242168,Troms og Finnmark,2021-08-13
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,489499,266553,70.2,38.2,697010,Oslo,2021-08-13
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10016,5913,67.7,40,14787,Eigersund,2021-08-13
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,97332,49748,67.5,34.5,144147,Stavanger,2021-08-13
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,23566,12839,63.1,34.4,37323,Haugesund,2021-08-13
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52461,29053,65.2,36.1,80450,Sandnes,2021-08-13
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2138,1570,65.6,48.2,3257,Sokndal,2021-08-13
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2111,1335,66.5,42.1,3174,Lund,2021-08-13
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1844,1267,66.1,45.4,2791,Bjerkreim,2021-08-13
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11722,6559,61.3,34.3,19120,Hå,2021-08-13
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12364,6458,62.3,32.5,19848,Klepp,2021-08-13
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12541,6881,65.6,36,19106,Time,2021-08-13
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7417,4243,61.5,35.2,12064,Gjesdal,2021-08-13
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,18007,8822,65.6,32.1,27457,Sola,2021-08-13
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7565,3702,66.9,32.7,11315,Randaberg,2021-08-13
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8759,4428,67,33.9,13070,Strand,2021-08-13
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1767,1169,68.5,45.3,2580,Hjelmeland,2021-08-13
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2628,1725,69,45.3,3809,Suldal,2021-08-13
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3209,1563,70.4,34.3,4561,Sauda,2021-08-13
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,376,278,74.2,54.8,507,Kvitsøy,2021-08-13
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,608,410,70.8,47.7,859,Bokn,2021-08-13
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7162,4484,64.1,40.1,11178,Tysvær,2021-08-13
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28171,16707,66.5,39.5,42345,Karmøy,2021-08-13
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,153,114,79.7,59.4,192,Utsira,2021-08-13
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5875,3417,67.5,39.3,8705,Vindafjord,2021-08-13
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17241,10783,71.5,44.7,24099,Kristiansund,2021-08-13
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22731,11431,71.3,35.9,31870,Molde,2021-08-13
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,43981,22910,66,34.4,66670,Ålesund,2021-08-13
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2323,1455,75.3,47.2,3083,Vanylven,2021-08-13
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1646,1178,67.3,48.2,2445,Sande,2021-08-13
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5825,3398,65.8,38.4,8858,Herøy,2021-08-13
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5753,3242,67.1,37.8,8575,Ulstein,2021-08-13
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3329,1921,64.8,37.4,5140,Hareid,2021-08-13
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7570,4326,69.9,39.9,10830,Ørsta,2021-08-13
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3195,1862,71.3,41.5,4482,Stranda,2021-08-13
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5379,3616,70.8,47.6,7596,Sykkylven,2021-08-13
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6413,4763,68.2,50.6,9409,Sula,2021-08-13
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5486,3224,64.5,37.9,8506,Giske,2021-08-13
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4903,2683,70.5,38.6,6958,Vestnes,2021-08-13
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4806,2764,68.4,39.3,7026,Rauma,2021-08-13
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2457,1711,69.8,48.6,3522,Aukra,2021-08-13
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4038,2009,69.5,34.6,5808,Averøy,2021-08-13
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1830,1283,68.8,48.3,2658,Gjemnes,2021-08-13
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2209,1544,74,51.7,2985,Tingvoll,2021-08-13
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5199,2507,74.7,36,6956,Sunndal,2021-08-13
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4270,2295,72.7,39.1,5872,Surnadal,2021-08-13
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1484,917,69.7,43.1,2128,Smøla,2021-08-13
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2498,1362,72,39.3,3468,Aure,2021-08-13
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7579,4125,70.3,38.3,10781,Volda,2021-08-13
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1895,1453,75.7,58.1,2502,Fjord,2021-08-13
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8997,5355,67.6,40.2,13317,Hustadvika,2021-08-13
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,36851,20156,70.1,38.3,52560,Bodø,2021-08-13
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14902,8583,68.8,39.6,21661,Narvik,2021-08-13
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,975,529,69.8,37.9,1397,Bindal,2021-08-13
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1417,673,71.2,33.8,1990,Sømna,2021-08-13
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5612,2668,71.9,34.2,7803,Brønnøy,2021-08-13
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,853,497,72.2,42,1182,Vega,2021-08-13
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,316,200,68,43,465,Vevelstad,2021-08-13
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1169,703,65.2,39.2,1793,Herøy,2021-08-13
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5166,3523,69.9,47.6,7394,Alstahaug,2021-08-13
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1500,835,65.8,36.7,2278,Leirfjord,2021-08-13
total,municip,municip1824,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9409,5237,70.9,39.5,13268,Vefsn,2021-08-13
total,municip,municip1825,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1014,594,69.8,40.9,1453,Grane,2021-08-13
total,municip,municip1826,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,964,519,76.1,41,1267,Hattfjelldal,2021-08-13
total,municip,municip1827,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,989,693,72.1,50.5,1371,Dønna,2021-08-13
total,municip,municip1828,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1116,745,65.6,43.8,1701,Nesna,2021-08-13
total,municip,municip1832,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2952,1821,66.7,41.1,4428,Hemnes,2021-08-13
total,municip,municip1833,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17894,9189,68.6,35.2,26083,Rana,2021-08-13
total,municip,municip1834,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1084,642,57.8,34.2,1876,Lurøy,2021-08-13
total,municip,municip1835,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,295,181,66.7,41,442,Træna,2021-08-13
total,municip,municip1836,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,739,401,61.3,33.3,1206,Rødøy,2021-08-13
total,municip,municip1837,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4241,2523,67.9,40.4,6247,Meløy,2021-08-13
total,municip,municip1838,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1333,916,69.4,47.7,1920,Gildeskål,2021-08-13
total,municip,municip1839,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,775,516,77.6,51.7,999,Beiarn,2021-08-13
total,municip,municip1840,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3147,1997,67.9,43.1,4632,Saltdal,2021-08-13
total,municip,municip1841,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6959,4202,72.2,43.6,9640,Fauske,2021-08-13
total,municip,municip1845,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1354,710,70.8,37.1,1912,Sørfold,2021-08-13
total,municip,municip1848,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1781,981,68.9,37.9,2586,Steigen,2021-08-13
total,municip,municip1851,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1462,939,73,46.9,2003,Lødingen,2021-08-13
total,municip,municip1853,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,927,628,70,47.4,1324,Evenes,2021-08-13
total,municip,municip1856,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,377,197,77.3,40.4,488,Røst,2021-08-13
total,municip,municip1857,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,472,304,67.6,43.6,698,Værøy,2021-08-13
total,municip,municip1859,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,866,568,70,45.9,1238,Flakstad,2021-08-13
total,municip,municip1860,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7707,4007,66.9,34.8,11521,Vestvågøy,2021-08-13
total,municip,municip1865,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6316,3864,65.3,40,9670,Vågan,2021-08-13
total,municip,municip1866,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5546,4111,68.8,51,8065,Hadsel,2021-08-13
total,municip,municip1867,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1884,1111,73.1,43.1,2576,Bø,2021-08-13
total,municip,municip1868,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3009,1793,68.1,40.6,4416,Øksnes,2021-08-13
total,municip,municip1870,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7210,4295,68.6,40.9,10514,Sortland,2021-08-13
total,municip,municip1871,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3237,2060,70.6,44.9,4588,Andøy,2021-08-13
total,municip,municip1874,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,685,488,69.3,49.3,989,Moskenes,2021-08-13
total,municip,municip1875,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1875,1108,69.4,41,2701,Hamarøy,2021-08-13
total,municip,municip3001,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22122,13062,70.5,41.6,31387,Halden,2021-08-13
total,municip,municip3002,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,36259,21494,73,43.3,49668,Moss,2021-08-13
total,municip,municip3003,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,41910,28499,73,49.7,57372,Sarpsborg,2021-08-13
total,municip,municip3004,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,59157,35964,71.1,43.2,83193,Fredrikstad,2021-08-13
