location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,52085,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,697010,7472.63310425962,Oslo,2021-09-28
county11,1900-01-01,10298,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,482645,2133.65931481731,Rogaland,2021-09-28
county15,1900-01-01,4069,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265544,1532.3260928509,Møre og Romsdal,2021-09-28
county18,1900-01-01,2904,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,240345,1208.26312176247,Nordland,2021-09-28
county30,1900-01-01,60406,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1252384,4823.28103840356,Viken,2021-09-28
county34,1900-01-01,8002,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,370603,2159.18381664477,Innlandet,2021-09-28
county38,1900-01-01,11178,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,421882,2649.55603699613,Vestfold og Telemark,2021-09-28
county42,1900-01-01,7543,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,308843,2442.34125429425,Agder,2021-09-28
county46,1900-01-01,14981,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,638821,2345.10136642346,Vestland,2021-09-28
county50,1900-01-01,8765,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,471124,1860.44438406874,Trøndelag,2021-09-28
county54,1900-01-01,3873,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,242168,1599.30296323214,Troms og Finnmark,2021-09-28
municip0301,1900-01-01,52077,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,697010,7471.48534454312,Oslo,2021-09-28
municip1101,1900-01-01,177,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14787,1196.99736254818,Eigersund,2021-09-28
municip1103,1900-01-01,3944,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,144147,2736.09579110214,Stavanger,2021-09-28
municip1106,1900-01-01,1204,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37323,3225.8928810653,Haugesund,2021-09-28
municip1108,1900-01-01,1587,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,80450,1972.65382224984,Sandnes,2021-09-28
municip1111,1900-01-01,17,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3257,521.95271722444,Sokndal,2021-09-28
municip1112,1900-01-01,43,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3174,1354.75740390674,Lund,2021-09-28
municip1114,1900-01-01,25,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2791,895.736295234683,Bjerkreim,2021-09-28
municip1119,1900-01-01,291,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19120,1521.96652719665,Hå,2021-09-28
municip1120,1900-01-01,344,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19848,1733.17210802096,Klepp,2021-09-28
municip1121,1900-01-01,307,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19106,1606.82508112635,Time,2021-09-28
municip1122,1900-01-01,191,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12064,1583.22281167109,Gjesdal,2021-09-28
municip1124,1900-01-01,581,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27457,2116.0359835379,Sola,2021-09-28
municip1127,1900-01-01,236,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11315,2085.72691117985,Randaberg,2021-09-28
municip1130,1900-01-01,149,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13070,1140.01530221882,Strand,2021-09-28
municip1133,1900-01-01,32,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2580,1240.31007751938,Hjelmeland,2021-09-28
municip1134,1900-01-01,35,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3809,918.876345497506,Suldal,2021-09-28
municip1135,1900-01-01,23,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4561,504.275378206534,Sauda,2021-09-28
municip1144,1900-01-01,3,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,507,591.715976331361,Kvitsøy,2021-09-28
municip1145,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,859,582.072176949942,Bokn,2021-09-28
municip1146,1900-01-01,219,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11178,1959.20558239399,Tysvær,2021-09-28
municip1149,1900-01-01,743,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,42345,1754.63454953359,Karmøy,2021-09-28
municip1151,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,192,0,Utsira,2021-09-28
municip1160,1900-01-01,136,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8705,1562.32050545663,Vindafjord,2021-09-28
municip1505,1900-01-01,287,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,24099,1190.92078509482,Kristiansund,2021-09-28
municip1506,1900-01-01,364,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,31870,1142.13994352055,Molde,2021-09-28
municip1507,1900-01-01,1289,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,66670,1933.40332983351,Ålesund,2021-09-28
municip1511,1900-01-01,42,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3083,1362.30943885825,Vanylven,2021-09-28
municip1514,1900-01-01,57,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2445,2331.28834355828,Sande,2021-09-28
municip1515,1900-01-01,85,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8858,959.584556333258,Herøy,2021-09-28
municip1516,1900-01-01,136,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8575,1586.00583090379,Ulstein,2021-09-28
municip1517,1900-01-01,43,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5140,836.575875486381,Hareid,2021-09-28
municip1520,1900-01-01,313,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10830,2890.12003693444,Ørsta,2021-09-28
municip1525,1900-01-01,58,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4482,1294.06514948684,Stranda,2021-09-28
municip1528,1900-01-01,50,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7596,658.241179568194,Sykkylven,2021-09-28
municip1531,1900-01-01,209,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9409,2221.2775002657,Sula,2021-09-28
municip1532,1900-01-01,172,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8506,2022.10204561486,Giske,2021-09-28
municip1535,1900-01-01,218,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6958,3133.08421960333,Vestnes,2021-09-28
municip1539,1900-01-01,76,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7026,1081.69655565044,Rauma,2021-09-28
municip1547,1900-01-01,38,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3522,1078.93242475866,Aukra,2021-09-28
municip1554,1900-01-01,121,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5808,2083.33333333333,Averøy,2021-09-28
municip1557,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2658,413.844996237773,Gjemnes,2021-09-28
municip1560,1900-01-01,10,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2985,335.00837520938,Tingvoll,2021-09-28
municip1563,1900-01-01,45,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6956,646.923519263945,Sunndal,2021-09-28
municip1566,1900-01-01,23,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5872,391.689373297003,Surnadal,2021-09-28
municip1573,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2128,328.947368421053,Smøla,2021-09-28
municip1576,1900-01-01,37,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3468,1066.89734717416,Aure,2021-09-28
municip1577,1900-01-01,189,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10781,1753.08412948706,Volda,2021-09-28
municip1578,1900-01-01,78,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2502,3117.50599520384,Fjord,2021-09-28
municip1579,1900-01-01,106,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13317,795.975069460089,Hustadvika,2021-09-28
municip1804,1900-01-01,971,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,52560,1847.41248097412,Bodø,2021-09-28
municip1806,1900-01-01,149,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,21661,687.872212732561,Narvik,2021-09-28
municip1811,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1397,501.073729420186,Bindal,2021-09-28
municip1812,1900-01-01,23,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1990,1155.77889447236,Sømna,2021-09-28
municip1813,1900-01-01,111,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7803,1422.52979623222,Brønnøy,2021-09-28
municip1815,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1182,930.626057529611,Vega,2021-09-28
municip1816,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,465,0,Vevelstad,2021-09-28
municip1818,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1793,613.496932515337,Herøy,2021-09-28
municip1820,1900-01-01,30,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7394,405.7343792264,Alstahaug,2021-09-28
municip1822,1900-01-01,13,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2278,570.676031606673,Leirfjord,2021-09-28
municip1824,1900-01-01,73,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13268,550.195960205005,Vefsn,2021-09-28
municip1825,1900-01-01,6,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1453,412.938747419133,Grane,2021-09-28
municip1826,1900-01-01,2,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1267,157.85319652723,Hattfjelldal,2021-09-28
municip1827,1900-01-01,18,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1371,1312.9102844639,Dønna,2021-09-28
municip1828,1900-01-01,6,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1701,352.733686067019,Nesna,2021-09-28
municip1832,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4428,248.419150858175,Hemnes,2021-09-28
municip1833,1900-01-01,506,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,26083,1939.96089406893,Rana,2021-09-28
municip1834,1900-01-01,12,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1876,639.658848614073,Lurøy,2021-09-28
municip1835,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,442,1131.22171945701,Træna,2021-09-28
municip1836,1900-01-01,25,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1206,2072.96849087894,Rødøy,2021-09-28
municip1837,1900-01-01,28,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6247,448.215143268769,Meløy,2021-09-28
municip1838,1900-01-01,8,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1920,416.666666666667,Gildeskål,2021-09-28
municip1839,1900-01-01,13,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,999,1301.3013013013,Beiarn,2021-09-28
municip1840,1900-01-01,43,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4632,928.32469775475,Saltdal,2021-09-28
municip1841,1900-01-01,112,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9640,1161.82572614108,Fauske,2021-09-28
municip1845,1900-01-01,65,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1912,3399.58158995816,Sørfold,2021-09-28
municip1848,1900-01-01,23,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2586,889.404485692189,Steigen,2021-09-28
municip1851,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2003,349.475786320519,Lødingen,2021-09-28
municip1853,1900-01-01,8,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1324,604.229607250755,Evenes,2021-09-28
municip1856,1900-01-01,2,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,488,409.836065573771,Røst,2021-09-28
municip1857,1900-01-01,3,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,698,429.799426934097,Værøy,2021-09-28
municip1859,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1238,888.529886914378,Flakstad,2021-09-28
municip1860,1900-01-01,95,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11521,824.58119954865,Vestvågøy,2021-09-28
municip1865,1900-01-01,82,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9670,847.983453981386,Vågan,2021-09-28
municip1866,1900-01-01,85,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8065,1053.93676379417,Hadsel,2021-09-28
municip1867,1900-01-01,21,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2576,815.217391304348,Bø,2021-09-28
