granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,date_of_publishing
day,nation,norge,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-21,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-22,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,8,2020-08,2019/2020,31,2020-02-23,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-24,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-25,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-26,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-27,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-28,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-02-29,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,9,2020-09,2019/2020,32,2020-03-01,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-02,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-03,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-04,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-05,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-06,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-07,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,10,2020-10,2019/2020,33,2020-03-08,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-09,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-10,3,7,2022-01-21
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-11,2,8,2022-01-21
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-12,1,4,2022-01-21
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-13,1,9,2022-01-21
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-14,1,11,2022-01-21
day,nation,norge,2020,total,total,2020,11,2020-11,2019/2020,34,2020-03-15,3,8,2022-01-21
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-16,6,19,2022-01-21
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-17,4,19,2022-01-21
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-18,5,24,2022-01-21
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-19,6,38,2022-01-21
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-20,9,32,2022-01-21
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-21,6,28,2022-01-21
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-22,8,28,2022-01-21
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-23,11,43,2022-01-21
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-24,14,46,2022-01-21
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-25,17,60,2022-01-21
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-26,9,45,2022-01-21
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-27,13,36,2022-01-21
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-28,7,34,2022-01-21
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-29,6,24,2022-01-21
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-30,9,33,2022-01-21
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-31,7,38,2022-01-21
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,4,27,2022-01-21
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,4,37,2022-01-21
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-03,5,21,2022-01-21
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-04,3,27,2022-01-21
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,4,14,2022-01-21
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-06,1,19,2022-01-21
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-07,2,14,2022-01-21
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-08,2,22,2022-01-21
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-09,2,10,2022-01-21
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-10,2,6,2022-01-21
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-11,2,11,2022-01-21
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-12,1,9,2022-01-21
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-13,0,10,2022-01-21
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-14,2,11,2022-01-21
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-15,4,12,2022-01-21
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-16,3,4,2022-01-21
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-17,1,15,2022-01-21
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-18,2,9,2022-01-21
day,nation,norge,2020,total,total,2020,16,2020-16,2019/2020,39,2020-04-19,3,5,2022-01-21
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-20,1,5,2022-01-21
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-21,1,4,2022-01-21
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-22,3,8,2022-01-21
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-23,4,5,2022-01-21
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-24,2,8,2022-01-21
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-25,1,4,2022-01-21
day,nation,norge,2020,total,total,2020,17,2020-17,2019/2020,40,2020-04-26,1,6,2022-01-21
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-27,1,2,2022-01-21
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-28,1,7,2022-01-21
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-29,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-04-30,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-01,1,2,2022-01-21
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-02,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,18,2020-18,2019/2020,41,2020-05-03,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-04,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-05,1,3,2022-01-21
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-06,1,4,2022-01-21
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-07,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-08,1,4,2022-01-21
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-09,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,19,2020-19,2019/2020,42,2020-05-10,1,1,2022-01-21
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-11,1,2,2022-01-21
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-12,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-13,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-14,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-15,1,1,2022-01-21
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-16,1,0,2022-01-21
day,nation,norge,2020,total,total,2020,20,2020-20,2019/2020,43,2020-05-17,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-18,0,5,2022-01-21
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-19,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-20,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-21,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-22,1,1,2022-01-21
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-23,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,21,2020-21,2019/2020,44,2020-05-24,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-25,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-26,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-27,0,4,2022-01-21
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-28,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-29,1,1,2022-01-21
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-30,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,22,2020-22,2019/2020,45,2020-05-31,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-01,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-02,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-03,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-04,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-05,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-06,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,23,2020-23,2019/2020,46,2020-06-07,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-08,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-09,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-10,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-11,2,2,2022-01-21
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-12,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-13,1,0,2022-01-21
day,nation,norge,2020,total,total,2020,24,2020-24,2019/2020,47,2020-06-14,1,1,2022-01-21
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-15,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-16,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-17,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-18,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-19,2,1,2022-01-21
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-20,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,25,2020-25,2019/2020,48,2020-06-21,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-22,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-23,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-24,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-25,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-26,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-27,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,26,2020-26,2019/2020,49,2020-06-28,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-06-29,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-06-30,1,2,2022-01-21
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-01,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-02,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-03,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-04,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,27,2020-27,2019/2020,50,2020-07-05,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-06,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-07,1,0,2022-01-21
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-08,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-09,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-10,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-11,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,28,2020-28,2019/2020,51,2020-07-12,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-13,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-14,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-15,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-16,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-17,1,1,2022-01-21
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-18,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,29,2020-29,2019/2020,52,2020-07-19,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-20,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-21,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-22,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-23,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-24,1,2,2022-01-21
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-25,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,30,2020-30,2020/2021,1,2020-07-26,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-27,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-28,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-29,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-30,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-07-31,0,5,2022-01-21
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-08-01,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,31,2020-31,2020/2021,2,2020-08-02,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-03,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-04,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-05,0,5,2022-01-21
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-06,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-07,1,1,2022-01-21
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-08,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,32,2020-32,2020/2021,3,2020-08-09,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-10,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-11,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-12,0,0,2022-01-21
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-13,1,0,2022-01-21
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-14,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-15,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,33,2020-33,2020/2021,4,2020-08-16,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-17,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-18,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-19,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-20,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-21,1,3,2022-01-21
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-22,0,2,2022-01-21
day,nation,norge,2020,total,total,2020,34,2020-34,2020/2021,5,2020-08-23,0,1,2022-01-21
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-24,0,3,2022-01-21
day,nation,norge,2020,total,total,2020,35,2020-35,2020/2021,6,2020-08-25,0,1,2022-01-21
