granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,547189,505547,324067,78.5,72.5,46.5,697010,Oslo,2022-02-03
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,371489,342509,229924,77,71,47.6,482645,Rogaland,2022-02-03
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,213889,199718,141876,80.5,75.2,53.4,265544,Møre og Romsdal,2022-02-03
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195335,181916,121894,81.3,75.7,50.7,240345,Nordland,2022-02-03
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,993013,916422,645001,79.3,73.2,51.5,1252384,Viken,2022-02-03
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,305308,285602,204631,82.4,77.1,55.2,370603,Innlandet,2022-02-03
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,340602,316601,225873,80.7,75,53.5,421882,Vestfold og Telemark,2022-02-03
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,244589,226087,158263,79.2,73.2,51.2,308843,Agder,2022-02-03
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,503748,465033,324347,78.9,72.8,50.8,638821,Vestland,2022-02-03
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,383868,357445,243545,81.5,75.9,51.7,471124,Trøndelag,2022-02-03
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192218,178775,115971,79.4,73.8,47.9,242168,Troms og Finnmark,2022-02-03
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,547180,505540,324062,78.5,72.5,46.5,697010,Oslo,2022-02-03
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11831,10985,8488,80,74.3,57.4,14787,Eigersund,2022-02-03
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113018,104205,67509,78.4,72.3,46.8,144147,Stavanger,2022-02-03
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28617,26366,16803,76.7,70.6,45,37323,Haugesund,2022-02-03
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60288,55753,39779,74.9,69.3,49.4,80450,Sandnes,2022-02-03
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2478,2319,1728,76.1,71.2,53.1,3257,Sokndal,2022-02-03
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2421,2275,1736,76.3,71.7,54.7,3174,Lund,2022-02-03
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2177,2031,1437,78,72.8,51.5,2791,Bjerkreim,2022-02-03
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14004,12811,8389,73.2,67,43.9,19120,Hå,2022-02-03
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15030,13745,8228,75.7,69.3,41.5,19848,Klepp,2022-02-03
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14641,13483,8343,76.6,70.6,43.7,19106,Time,2022-02-03
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8837,8142,5652,73.3,67.5,46.9,12064,Gjesdal,2022-02-03
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21133,19434,12461,77,70.8,45.4,27457,Sola,2022-02-03
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9028,8259,5321,79.8,73,47,11315,Randaberg,2022-02-03
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10276,9414,6701,78.6,72,51.3,13070,Strand,2022-02-03
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2020,1882,1326,78.3,72.9,51.4,2580,Hjelmeland,2022-02-03
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3040,2807,2298,79.8,73.7,60.3,3809,Suldal,2022-02-03
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3667,3401,2523,80.4,74.6,55.3,4561,Sauda,2022-02-03
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,429,403,326,84.6,79.5,64.3,507,Kvitsøy,2022-02-03
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,700,676,475,81.5,78.7,55.3,859,Bokn,2022-02-03
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8545,7757,5135,76.4,69.4,45.9,11178,Tysvær,2022-02-03
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32210,29795,20801,76.1,70.4,49.1,42345,Karmøy,2022-02-03
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,163,160,145,84.9,83.3,75.5,192,Utsira,2022-02-03
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6745,6229,4271,77.5,71.6,49.1,8705,Vindafjord,2022-02-03
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19708,18767,13997,81.8,77.9,58.1,24099,Kristiansund,2022-02-03
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26348,24665,17532,82.7,77.4,55,31870,Molde,2022-02-03
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52670,48803,31840,79,73.2,47.8,66670,Ålesund,2022-02-03
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2570,2456,1809,83.4,79.7,58.7,3083,Vanylven,2022-02-03
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1889,1766,1313,77.3,72.2,53.7,2445,Sande,2022-02-03
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6920,6429,4279,78.1,72.6,48.3,8858,Herøy,2022-02-03
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6724,6224,4650,78.4,72.6,54.2,8575,Ulstein,2022-02-03
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3873,3607,2666,75.4,70.2,51.9,5140,Hareid,2022-02-03
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8671,8063,6216,80.1,74.5,57.4,10830,Ørsta,2022-02-03
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3650,3394,2608,81.4,75.7,58.2,4482,Stranda,2022-02-03
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6207,5802,4457,81.7,76.4,58.7,7596,Sykkylven,2022-02-03
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7389,6816,5263,78.5,72.4,55.9,9409,Sula,2022-02-03
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6591,6059,4092,77.5,71.2,48.1,8506,Giske,2022-02-03
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5611,5260,3514,80.6,75.6,50.5,6958,Vestnes,2022-02-03
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5662,5254,3360,80.6,74.8,47.8,7026,Rauma,2022-02-03
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2880,2772,1948,81.8,78.7,55.3,3522,Aukra,2022-02-03
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4765,4456,2741,82,76.7,47.2,5808,Averøy,2022-02-03
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2128,1989,1561,80.1,74.8,58.7,2658,Gjemnes,2022-02-03
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2486,2348,1945,83.3,78.7,65.2,2985,Tingvoll,2022-02-03
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5949,5623,4441,85.5,80.8,63.8,6956,Sunndal,2022-02-03
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4976,4712,3802,84.7,80.2,64.7,5872,Surnadal,2022-02-03
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1771,1693,1315,83.2,79.6,61.8,2128,Smøla,2022-02-03
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2782,2608,1897,80.2,75.2,54.7,3468,Aure,2022-02-03
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8825,8220,5735,81.9,76.2,53.2,10781,Volda,2022-02-03
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2077,1943,1549,83,77.7,61.9,2502,Fjord,2022-02-03
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10490,9759,7298,78.8,73.3,54.8,13317,Hustadvika,2022-02-03
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,42966,39785,26394,81.7,75.7,50.2,52560,Bodø,2022-02-03
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17514,16399,10726,80.9,75.7,49.5,21661,Narvik,2022-02-03
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1164,1074,744,83.3,76.9,53.3,1397,Bindal,2022-02-03
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1678,1559,934,84.3,78.3,46.9,1990,Sømna,2022-02-03
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6392,5897,3864,81.9,75.6,49.5,7803,Brønnøy,2022-02-03
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1000,922,733,84.6,78,62,1182,Vega,2022-02-03
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,384,366,241,82.6,78.7,51.8,465,Vevelstad,2022-02-03
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1394,1294,961,77.7,72.2,53.6,1793,Herøy,2022-02-03
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6008,5648,4035,81.3,76.4,54.6,7394,Alstahaug,2022-02-03
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1779,1634,1107,78.1,71.7,48.6,2278,Leirfjord,2022-02-03
