granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,544553,497112,218061,78.1,71.3,31.3,697010,Oslo,2022-01-11
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,369001,338136,157362,76.5,70.1,32.6,482645,Rogaland,2022-01-11
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,212646,196931,98934,80.1,74.2,37.3,265544,Møre og Romsdal,2022-01-11
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194142,179706,85660,80.8,74.8,35.6,240345,Nordland,2022-01-11
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,991602,905242,462062,79.2,72.3,36.9,1252384,Viken,2022-01-11
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,304563,282693,145354,82.2,76.3,39.2,370603,Innlandet,2022-01-11
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,339851,313620,165201,80.6,74.3,39.2,421882,Vestfold og Telemark,2022-01-11
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,243932,223869,116964,79,72.5,37.9,308843,Agder,2022-01-11
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,502409,460017,231997,78.6,72,36.3,638821,Vestland,2022-01-11
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,382403,354125,165824,81.2,75.2,35.2,471124,Trøndelag,2022-01-11
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191736,177204,84406,79.2,73.2,34.9,242168,Troms og Finnmark,2022-01-11
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,544544,497106,218056,78.1,71.3,31.3,697010,Oslo,2022-01-11
