granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,8776,244,1.2654759810467,0.0351841544411343,693494,Oslo
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3559,0,0.741625199003109,0,479892,Rogaland
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2505,0,0.944434809491853,0,265238,Møre og Romsdal
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2397,0,0.993636910066947,0,241235,Nordland
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,11581,402,0.933074973915636,0.0323889249213441,1241165,Viken
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5124,318,1.37970031099802,0.0856254291368795,371385,Innlandet
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4279,0,1.02027677898692,0,419396,Vestfold og Telemark
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3115,0,1.01389508220199,0,307231,Agder
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6268,0,0.98471244919729,0,636531,Vestland
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4719,0,1.00682309868531,0,468702,Trøndelag
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2328,1,0.956800144670812,0.000410996625717703,243311,Troms og Finnmark
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,8739,244,1.26014067893882,0.0351841544411343,693494,Oslo
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,95,0,0.641415164404834,0,14811,Eigersund
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1096,0,0.763369412289133,0,143574,Stavanger
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,388,0,1.03862729876596,0,37357,Haugesund
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,527,0,0.662584709003357,0,79537,Sandnes
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,27,0,0.823170731707317,0,3280,Sokndal
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,24,0,0.749531542785759,0,3202,Lund
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,30,0,1.07642626480086,0,2787,Bjerkreim
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,121,0,0.637143910273287,0,18991,Hå
total,municip,municip1120,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,98,0,0.500306309985706,0,19588,Klepp
total,municip,municip1121,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,118,0,0.623810530767604,0,18916,Time
total,municip,municip1122,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,55,0,0.458256957173804,0,12002,Gjesdal
total,municip,municip1124,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,174,0,0.64081316981549,0,27153,Sola
total,municip,municip1127,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,75,0,0.668389626592995,0,11221,Randaberg
total,municip,municip1130,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,78,0,0.601480567550895,0,12968,Strand
total,municip,municip1133,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,19,0,0.738150738150738,0,2574,Hjelmeland
total,municip,municip1134,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,30,0,0.788643533123028,0,3804,Suldal
