granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,493941,326540,70.9,46.8,697010,Oslo,2021-08-23
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,321843,207241,66.7,42.9,482645,Rogaland,2021-08-23
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,186822,120175,70.4,45.3,265544,Møre og Romsdal,2021-08-23
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,169787,110925,70.6,46.2,240345,Nordland,2021-08-23
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,880807,605317,70.3,48.3,1252384,Viken,2021-08-23
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,271589,180576,73.3,48.7,370603,Innlandet,2021-08-23
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,302408,218294,71.7,51.7,421882,Vestfold og Telemark,2021-08-23
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,215448,159488,69.8,51.6,308843,Agder,2021-08-23
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,444324,314573,69.6,49.2,638821,Vestland,2021-08-23
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,338692,210508,71.9,44.7,471124,Trøndelag,2021-08-23
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,167841,110651,69.3,45.7,242168,Troms og Finnmark,2021-08-23
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,493934,326534,70.9,46.8,697010,Oslo,2021-08-23
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10233,6381,69.2,43.2,14787,Eigersund,2021-08-23
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,98357,59802,68.2,41.5,144147,Stavanger,2021-08-23
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,24044,15537,64.4,41.6,37323,Haugesund,2021-08-23
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52949,33619,65.8,41.8,80450,Sandnes,2021-08-23
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2170,1953,66.6,60,3257,Sokndal,2021-08-23
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2151,1512,67.8,47.6,3174,Lund,2021-08-23
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1871,1349,67,48.3,2791,Bjerkreim,2021-08-23
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11887,7801,62.2,40.8,19120,Hå,2021-08-23
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12636,7985,63.7,40.2,19848,Klepp,2021-08-23
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12670,8008,66.3,41.9,19106,Time,2021-08-23
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7543,4903,62.5,40.6,12064,Gjesdal,2021-08-23
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,18276,11134,66.6,40.6,27457,Sola,2021-08-23
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7654,4350,67.6,38.4,11315,Randaberg,2021-08-23
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8887,5245,68,40.1,13070,Strand,2021-08-23
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1772,1177,68.7,45.6,2580,Hjelmeland,2021-08-23
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2688,2081,70.6,54.6,3809,Suldal,2021-08-23
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3240,2045,71,44.8,4561,Sauda,2021-08-23
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,375,294,74,58,507,Kvitsøy,2021-08-23
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,614,469,71.5,54.6,859,Bokn,2021-08-23
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7312,5740,65.4,51.4,11178,Tysvær,2021-08-23
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28444,21799,67.2,51.5,42345,Karmøy,2021-08-23
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,155,141,80.7,73.4,192,Utsira,2021-08-23
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5907,3910,67.9,44.9,8705,Vindafjord,2021-08-23
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17547,12895,72.8,53.5,24099,Kristiansund,2021-08-23
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,23309,12454,73.1,39.1,31870,Molde,2021-08-23
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,45410,27377,68.1,41.1,66670,Ålesund,2021-08-23
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2340,1825,75.9,59.2,3083,Vanylven,2021-08-23
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1669,1306,68.3,53.4,2445,Sande,2021-08-23
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5959,4231,67.3,47.8,8858,Herøy,2021-08-23
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5827,3805,68,44.4,8575,Ulstein,2021-08-23
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3348,2198,65.1,42.8,5140,Hareid,2021-08-23
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7613,4823,70.3,44.5,10830,Ørsta,2021-08-23
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3235,2091,72.2,46.7,4482,Stranda,2021-08-23
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5446,3952,71.7,52,7596,Sykkylven,2021-08-23
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6447,5551,68.5,59,9409,Sula,2021-08-23
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5583,3882,65.6,45.6,8506,Giske,2021-08-23
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4933,2940,70.9,42.3,6958,Vestnes,2021-08-23
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4889,2980,69.6,42.4,7026,Rauma,2021-08-23
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2482,1896,70.5,53.8,3522,Aukra,2021-08-23
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4109,2157,70.7,37.1,5808,Averøy,2021-08-23
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1851,1385,69.6,52.1,2658,Gjemnes,2021-08-23
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2220,1890,74.4,63.3,2985,Tingvoll,2021-08-23
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5327,2780,76.6,40,6956,Sunndal,2021-08-23
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4471,2668,76.1,45.4,5872,Surnadal,2021-08-23
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1513,983,71.1,46.2,2128,Smøla,2021-08-23
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2532,1549,73,44.7,3468,Aure,2021-08-23
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7711,5146,71.5,47.7,10781,Volda,2021-08-23
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1904,1559,76.1,62.3,2502,Fjord,2021-08-23
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9147,5851,68.7,43.9,13317,Hustadvika,2021-08-23
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,37328,25017,71,47.6,52560,Bodø,2021-08-23
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15264,10258,70.5,47.4,21661,Narvik,2021-08-23
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1005,596,71.9,42.7,1397,Bindal,2021-08-23
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1449,732,72.8,36.8,1990,Sømna,2021-08-23
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5689,3125,72.9,40,7803,Brønnøy,2021-08-23
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,883,538,74.7,45.5,1182,Vega,2021-08-23
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,325,217,69.9,46.7,465,Vevelstad,2021-08-23
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1192,762,66.5,42.5,1793,Herøy,2021-08-23
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5259,3748,71.1,50.7,7394,Alstahaug,2021-08-23
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1533,953,67.3,41.8,2278,Leirfjord,2021-08-23
total,municip,municip1824,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9625,5724,72.5,43.1,13268,Vefsn,2021-08-23
total,municip,municip1825,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1036,624,71.3,42.9,1453,Grane,2021-08-23
total,municip,municip1826,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,966,520,76.2,41,1267,Hattfjelldal,2021-08-23
total,municip,municip1827,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,999,757,72.9,55.2,1371,Dønna,2021-08-23
total,municip,municip1828,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1135,850,66.7,50,1701,Nesna,2021-08-23
total,municip,municip1832,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3024,2137,68.3,48.3,4428,Hemnes,2021-08-23
total,municip,municip1833,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,18453,10933,70.7,41.9,26083,Rana,2021-08-23
total,municip,municip1834,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1227,716,65.4,38.2,1876,Lurøy,2021-08-23
total,municip,municip1835,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,300,204,67.9,46.2,442,Træna,2021-08-23
total,municip,municip1836,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,780,496,64.7,41.1,1206,Rødøy,2021-08-23
total,municip,municip1837,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4316,2791,69.1,44.7,6247,Meløy,2021-08-23
total,municip,municip1838,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1352,1013,70.4,52.8,1920,Gildeskål,2021-08-23
total,municip,municip1839,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,790,574,79.1,57.5,999,Beiarn,2021-08-23
total,municip,municip1840,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3207,2177,69.2,47,4632,Saltdal,2021-08-23
total,municip,municip1841,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7026,4681,72.9,48.6,9640,Fauske,2021-08-23
total,municip,municip1845,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1380,783,72.2,41,1912,Sørfold,2021-08-23
total,municip,municip1848,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1814,1090,70.1,42.2,2586,Steigen,2021-08-23
total,municip,municip1851,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1487,1134,74.2,56.6,2003,Lødingen,2021-08-23
