granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,513878,441981,73.7,63.4,697010,Oslo,2021-09-15
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,338612,295431,70.2,61.2,482645,Rogaland,2021-09-15
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,198183,171491,74.6,64.6,265544,Møre og Romsdal,2021-09-15
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,178237,154770,74.2,64.4,240345,Nordland,2021-09-15
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,927686,814332,74.1,65,1252384,Viken,2021-09-15
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,284174,252997,76.7,68.3,370603,Innlandet,2021-09-15
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,316790,283324,75.1,67.2,421882,Vestfold og Telemark,2021-09-15
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,226218,203049,73.2,65.7,308843,Agder,2021-09-15
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,467743,407120,73.2,63.7,638821,Vestland,2021-09-15
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,354261,301580,75.2,64,471124,Trøndelag,2021-09-15
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,176560,151946,72.9,62.7,242168,Troms og Finnmark,2021-09-15
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,513871,441975,73.7,63.4,697010,Oslo,2021-09-15
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10733,9531,72.6,64.5,14787,Eigersund,2021-09-15
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,101849,91421,70.7,63.4,144147,Stavanger,2021-09-15
