granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,548654,509647,346338,78.4,72.8,49.5,699827,Oslo,2022-04-04
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372153,344736,247547,76.6,71,51,485797,Rogaland,2022-04-04
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214521,200996,152504,80.7,75.6,57.4,265848,Møre og Romsdal,2022-04-04
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195777,183325,132344,81.5,76.3,55.1,240190,Nordland,2022-04-04
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,996029,922987,676196,78.5,72.7,53.3,1269230,Viken,2022-04-04
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306191,287526,216816,82.5,77.4,58.4,371253,Innlandet,2022-04-04
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,341236,318507,235856,80.3,75,55.5,424832,Vestfold og Telemark,2022-04-04
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245050,227432,165436,78.8,73.1,53.2,311134,Agder,2022-04-04
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,505685,468781,344811,78.9,73.1,53.8,641292,Vestland,2022-04-04
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385072,360177,265324,81.2,76,56,474131,Trøndelag,2022-04-04
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192886,180172,124835,79.8,74.5,51.6,241736,Troms og Finnmark,2022-04-04
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,548644,509640,346333,78.4,72.8,49.5,699827,Oslo,2022-04-04
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11888,11160,9152,80,75.1,61.6,14860,Eigersund,2022-04-04
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113086,104783,73956,78.2,72.4,51.1,144699,Stavanger,2022-04-04
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28670,26556,18631,76.6,70.9,49.8,37444,Haugesund,2022-04-04
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60511,56211,41904,74.4,69.1,51.5,81305,Sandnes,2022-04-04
