granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,21669,4748,13.1173045025848,2.87419639938497,165194,Oslo,2021-05-05
total,county,county03,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,12138,2376,7.33037412809131,1.43491258266147,165585,Oslo,2021-05-05
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,14360,2096,33.7580516244299,4.92735906718699,42538,Oslo,2021-05-05
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,12651,1346,27.4329950559459,2.91872668921849,46116,Oslo,2021-05-05
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,21633,2322,63.7239307175681,6.83987274655355,33948,Oslo,2021-05-05
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,20752,1589,59.8575095907006,4.58334535175517,34669,Oslo,2021-05-05
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,23349,3098,89.8107546734364,11.9163012539426,25998,Oslo,2021-05-05
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,21350,2467,88.3180276329941,10.2051791180607,24174,Oslo,2021-05-05
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,14266,11575,93.089722675367,75.5301794453507,15325,Oslo,2021-05-05
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,11573,9129,94.5738334559124,74.6016180436382,12237,Oslo,2021-05-05
total,county,county03,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,6884,6622,89.0441081360755,85.6551545725003,7731,Oslo,2021-05-05
total,county,county03,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,3247,3137,89.6466040861403,86.6096079514081,3622,Oslo,2021-05-05
total,county,county11,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,12095,2122,13.2874123876695,2.33120207413267,91026,Rogaland,2021-05-05
total,county,county11,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,4340,720,4.46635313004909,0.740961809593397,97171,Rogaland,2021-05-05
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,7100,1094,22.3516448921769,3.44404218479459,31765,Rogaland,2021-05-05
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,4111,393,12.112194690787,1.15789163548511,33941,Rogaland,2021-05-05
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,10143,1079,37.9702766443305,4.03923183468723,26713,Rogaland,2021-05-05
total,county,county11,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,8284,455,29.4563168936458,1.61789282793443,28123,Rogaland,2021-05-05
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,18744,797,89.1552511415525,3.79090563165906,21024,Rogaland,2021-05-05
total,county,county11,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,19012,651,89.6242869938246,3.06887286098147,21213,Rogaland,2021-05-05
total,county,county11,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,11891,7010,95.571451535123,56.3414242083266,12442,Rogaland,2021-05-05
total,county,county11,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,10285,5821,96.5274519005162,54.6316283435007,10655,Rogaland,2021-05-05
total,county,county11,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,5214,4872,91.2655347453177,85.2791878172589,5713,Rogaland,2021-05-05
total,county,county11,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,2979,2797,94.1232227488152,88.3728278041074,3165,Rogaland,2021-05-05
total,county,county15,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,6028,1267,13.3744536398127,2.81112023252202,45071,Møre og Romsdal,2021-05-05
total,county,county15,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,1952,359,3.94216010986348,0.72501817594313,49516,Møre og Romsdal,2021-05-05
total,county,county15,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,3365,755,19.5730572359237,4.3915774778967,17192,Møre og Romsdal,2021-05-05
