granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,546231,503109,297798,78.4,72.2,42.7,697010,Oslo,2022-01-24
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,370601,340925,207024,76.8,70.6,42.9,482645,Rogaland,2022-01-24
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,213318,198253,128852,80.3,74.7,48.5,265544,Møre og Romsdal,2022-01-24
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194804,180856,111108,81.1,75.2,46.2,240345,Nordland,2022-01-24
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,994451,913673,598023,79.4,73,47.8,1252384,Viken,2022-01-24
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,305409,284711,186912,82.4,76.8,50.4,370603,Innlandet,2022-01-24
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,340822,315908,209926,80.8,74.9,49.8,421882,Vestfold og Telemark,2022-01-24
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,244663,225477,148156,79.2,73,48,308843,Agder,2022-01-24
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,504142,463785,297325,78.9,72.6,46.5,638821,Vestland,2022-01-24
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,383505,356161,217423,81.4,75.6,46.1,471124,Trøndelag,2022-01-24
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192356,178388,106357,79.4,73.7,43.9,242168,Troms og Finnmark,2022-01-24
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,546222,503103,297793,78.4,72.2,42.7,697010,Oslo,2022-01-24
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11815,10953,7865,79.9,74.1,53.2,14787,Eigersund,2022-01-24
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112745,103714,58512,78.2,72,40.6,144147,Stavanger,2022-01-24
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28569,26264,15671,76.5,70.4,42,37323,Haugesund,2022-01-24
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60294,55692,35849,74.9,69.2,44.6,80450,Sandnes,2022-01-24
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2471,2289,1694,75.9,70.3,52,3257,Sokndal,2022-01-24
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2416,2266,1649,76.1,71.4,52,3174,Lund,2022-01-24
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2166,1995,1301,77.6,71.5,46.6,2791,Bjerkreim,2022-01-24
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13984,12753,7724,73.1,66.7,40.4,19120,Hå,2022-01-24
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14999,13681,7632,75.6,68.9,38.5,19848,Klepp,2022-01-24
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14590,13404,7469,76.4,70.2,39.1,19106,Time,2022-01-24
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8823,8089,4899,73.1,67.1,40.6,12064,Gjesdal,2022-01-24
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21082,19335,11009,76.8,70.4,40.1,27457,Sola,2022-01-24
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8972,8197,4443,79.3,72.4,39.3,11315,Randaberg,2022-01-24
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10250,9372,5981,78.4,71.7,45.8,13070,Strand,2022-01-24
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2006,1849,1264,77.8,71.7,49,2580,Hjelmeland,2022-01-24
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3038,2799,2221,79.8,73.5,58.3,3809,Suldal,2022-01-24
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3666,3392,2383,80.4,74.4,52.2,4561,Sauda,2022-01-24
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,430,404,311,84.8,79.7,61.3,507,Kvitsøy,2022-01-24
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,699,664,444,81.4,77.3,51.7,859,Bokn,2022-01-24
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8530,7733,4906,76.3,69.2,43.9,11178,Tysvær,2022-01-24
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32148,29691,19791,75.9,70.1,46.7,42345,Karmøy,2022-01-24
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,164,161,141,85.4,83.9,73.4,192,Utsira,2022-01-24
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6738,6223,3861,77.4,71.5,44.4,8705,Vindafjord,2022-01-24
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19700,18301,13085,81.7,75.9,54.3,24099,Kristiansund,2022-01-24
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26304,24520,15158,82.5,76.9,47.6,31870,Molde,2022-01-24
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52678,48736,28558,79,73.1,42.8,66670,Ålesund,2022-01-24
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2568,2442,1732,83.3,79.2,56.2,3083,Vanylven,2022-01-24
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1891,1757,1204,77.3,71.9,49.2,2445,Sande,2022-01-24
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6896,6385,3845,77.9,72.1,43.4,8858,Herøy,2022-01-24
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6700,6180,4139,78.1,72.1,48.3,8575,Ulstein,2022-01-24
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3857,3590,2327,75,69.8,45.3,5140,Hareid,2022-01-24
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8661,8055,5743,80,74.4,53,10830,Ørsta,2022-01-24
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3631,3384,1953,81,75.5,43.6,4482,Stranda,2022-01-24
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6198,5726,4308,81.6,75.4,56.7,7596,Sykkylven,2022-01-24
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7378,6806,5112,78.4,72.3,54.3,9409,Sula,2022-01-24
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6549,5971,3603,77,70.2,42.4,8506,Giske,2022-01-24
