granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,23933,6208,14.4878143273969,3.75800573870722,165194,Oslo,2021-05-11
total,county,county03,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,14040,2995,8.47902889754507,1.80873871425552,165585,Oslo,2021-05-11
total,county,county03,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,16300,2645,38.3186797686774,6.21796981522404,42538,Oslo,2021-05-11
total,county,county03,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,14686,1656,31.8457802064359,3.59094457455113,46116,Oslo,2021-05-11
total,county,county03,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,23699,2968,69.8097089666549,8.74278308000471,33948,Oslo,2021-05-11
total,county,county03,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,22940,2013,66.1686232657417,5.80633995788745,34669,Oslo,2021-05-11
total,county,county03,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,23557,6983,90.610816216632,26.8597584429572,25998,Oslo,2021-05-11
total,county,county03,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,21540,5811,89.1039960287913,24.0382228840904,24174,Oslo,2021-05-11
total,county,county03,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,14322,13452,93.4551386623165,87.7781402936379,15325,Oslo,2021-05-11
total,county,county03,2020,75-84,male,1900,1,1900-01,1899/1900,24,1900-01-01,11627,10961,95.0151180844978,89.5726076652774,12237,Oslo,2021-05-11
total,county,county03,2020,>=85,female,1900,1,1900-01,1899/1900,24,1900-01-01,6898,6672,89.2251972577933,86.3019014357781,7731,Oslo,2021-05-11
total,county,county03,2020,>=85,male,1900,1,1900-01,1899/1900,24,1900-01-01,3253,3172,89.812258420762,87.5759249033683,3622,Oslo,2021-05-11
total,county,county11,2020,16-44,female,1900,1,1900-01,1899/1900,24,1900-01-01,13578,2825,14.9166172302419,3.10350888757058,91026,Rogaland,2021-05-11
total,county,county11,2020,16-44,male,1900,1,1900-01,1899/1900,24,1900-01-01,5672,899,5.83713247779687,0.925173148367311,97171,Rogaland,2021-05-11
total,county,county11,2020,45-54,female,1900,1,1900-01,1899/1900,24,1900-01-01,8133,1414,25.6036518180387,4.451440264442,31765,Rogaland,2021-05-11
total,county,county11,2020,45-54,male,1900,1,1900-01,1899/1900,24,1900-01-01,5286,515,15.574084440647,1.51733891164079,33941,Rogaland,2021-05-11
total,county,county11,2020,55-64,female,1900,1,1900-01,1899/1900,24,1900-01-01,11619,1390,43.4956762624939,5.20345899000487,26713,Rogaland,2021-05-11
total,county,county11,2020,55-64,male,1900,1,1900-01,1899/1900,24,1900-01-01,9942,581,35.3518472424706,2.06592468797781,28123,Rogaland,2021-05-11
total,county,county11,2020,65-74,female,1900,1,1900-01,1899/1900,24,1900-01-01,19084,1337,90.7724505327245,6.35939878234399,21024,Rogaland,2021-05-11
total,county,county11,2020,65-74,male,1900,1,1900-01,1899/1900,24,1900-01-01,19344,1135,91.1893650120209,5.3504926224485,21213,Rogaland,2021-05-11
total,county,county11,2020,75-84,female,1900,1,1900-01,1899/1900,24,1900-01-01,11969,9847,96.1983603922199,79.1432245619675,12442,Rogaland,2021-05-11
