granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,543382,492165,163992,78,70.6,23.5,697010,Oslo,2021-12-30
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,367593,336027,118100,76.2,69.6,24.5,482645,Rogaland,2021-12-30
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,212091,195932,80996,79.9,73.8,30.5,265544,Møre og Romsdal,2021-12-30
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,193608,178844,71123,80.6,74.4,29.6,240345,Nordland,2021-12-30
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,989271,899340,357040,79,71.8,28.5,1252384,Viken,2021-12-30
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,304038,281539,121169,82,76,32.7,370603,Innlandet,2021-12-30
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,339239,312299,133976,80.4,74,31.8,421882,Vestfold og Telemark,2021-12-30
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,243413,222885,93224,78.8,72.2,30.2,308843,Agder,2021-12-30
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,501124,457586,185946,78.4,71.6,29.1,638821,Vestland,2021-12-30
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,381666,352819,131878,81,74.9,28,471124,Trøndelag,2021-12-30
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191314,176368,69606,79,72.8,28.7,242168,Troms og Finnmark,2021-12-30
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,543373,492159,163988,78,70.6,23.5,697010,Oslo,2021-12-30
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11727,10817,4526,79.3,73.2,30.6,14787,Eigersund,2021-12-30
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,111822,102162,32424,77.6,70.9,22.5,144147,Stavanger,2021-12-30
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28258,25735,8769,75.7,69,23.5,37323,Haugesund,2021-12-30
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,59808,55087,20143,74.3,68.5,25,80450,Sandnes,2021-12-30
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2457,2264,1175,75.4,69.5,36.1,3257,Sokndal,2021-12-30
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2384,2232,920,75.1,70.3,29,3174,Lund,2021-12-30
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2157,1976,989,77.3,70.8,35.4,2791,Bjerkreim,2021-12-30
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,13847,12502,4313,72.4,65.4,22.6,19120,Hå,2021-12-30
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14846,13384,4281,74.8,67.4,21.6,19848,Klepp,2021-12-30
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14451,13156,4529,75.6,68.9,23.7,19106,Time,2021-12-30
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8747,7973,2552,72.5,66.1,21.2,12064,Gjesdal,2021-12-30
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,20909,19060,5666,76.2,69.4,20.6,27457,Sola,2021-12-30
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8934,8100,2711,79,71.6,24,11315,Randaberg,2021-12-30
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10178,9263,3088,77.9,70.9,23.6,13070,Strand,2021-12-30
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1997,1813,743,77.4,70.3,28.8,2580,Hjelmeland,2021-12-30
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3012,2762,1163,79.1,72.5,30.5,3809,Suldal,2021-12-30
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3653,3369,1275,80.1,73.9,28,4561,Sauda,2021-12-30
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,429,402,232,84.6,79.3,45.8,507,Kvitsøy,2021-12-30
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,700,659,326,81.5,76.7,38,859,Bokn,2021-12-30
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8487,7666,3193,75.9,68.6,28.6,11178,Tysvær,2021-12-30
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,31932,29337,12781,75.4,69.3,30.2,42345,Karmøy,2021-12-30
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,164,161,98,85.4,83.9,51,192,Utsira,2021-12-30
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6688,6142,2199,76.8,70.6,25.3,8705,Vindafjord,2021-12-30
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19585,18123,8080,81.3,75.2,33.5,24099,Kristiansund,2021-12-30
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26171,24302,10275,82.1,76.3,32.2,31870,Molde,2021-12-30
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52269,48115,17647,78.4,72.2,26.5,66670,Ålesund,2021-12-30
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2562,2422,1206,83.1,78.6,39.1,3083,Vanylven,2021-12-30
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1870,1737,974,76.5,71,39.8,2445,Sande,2021-12-30
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6860,6312,2828,77.4,71.3,31.9,8858,Herøy,2021-12-30
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6671,6146,2779,77.8,71.7,32.4,8575,Ulstein,2021-12-30
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3827,3526,1454,74.5,68.6,28.3,5140,Hareid,2021-12-30
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8621,7949,3217,79.6,73.4,29.7,10830,Ørsta,2021-12-30
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3616,3355,1427,80.7,74.9,31.8,4482,Stranda,2021-12-30
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6178,5674,2483,81.3,74.7,32.7,7596,Sykkylven,2021-12-30
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7332,6717,2871,77.9,71.4,30.5,9409,Sula,2021-12-30
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6522,5894,2152,76.7,69.3,25.3,8506,Giske,2021-12-30
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5559,5181,2005,79.9,74.5,28.8,6958,Vestnes,2021-12-30
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5612,5172,1886,79.9,73.6,26.8,7026,Rauma,2021-12-30
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2863,2605,1315,81.3,74,37.3,3522,Aukra,2021-12-30
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4723,4375,1756,81.3,75.3,30.2,5808,Averøy,2021-12-30
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2114,1956,870,79.5,73.6,32.7,2658,Gjemnes,2021-12-30
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2477,2329,1233,83,78,41.3,2985,Tingvoll,2021-12-30
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5881,5521,2314,84.5,79.4,33.3,6956,Sunndal,2021-12-30
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4956,4652,1994,84.4,79.2,34,5872,Surnadal,2021-12-30
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1742,1637,732,81.9,76.9,34.4,2128,Smøla,2021-12-30
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2772,2591,1012,79.9,74.7,29.2,3468,Aure,2021-12-30
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8774,8085,3045,81.4,75,28.2,10781,Volda,2021-12-30
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2094,1942,994,83.7,77.6,39.7,2502,Fjord,2021-12-30
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10441,9614,4448,78.4,72.2,33.4,13317,Hustadvika,2021-12-30
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,42627,39148,15388,81.1,74.5,29.3,52560,Bodø,2021-12-30
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17428,16168,6267,80.5,74.6,28.9,21661,Narvik,2021-12-30
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1156,1059,478,82.7,75.8,34.2,1397,Bindal,2021-12-30
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1673,1539,525,84.1,77.3,26.4,1990,Sømna,2021-12-30
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6343,5798,1919,81.3,74.3,24.6,7803,Brønnøy,2021-12-30
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,993,914,427,84,77.3,36.1,1182,Vega,2021-12-30
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,383,361,151,82.4,77.6,32.5,465,Vevelstad,2021-12-30
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1381,1280,574,77,71.4,32,1793,Herøy,2021-12-30
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5973,5581,2688,80.8,75.5,36.4,7394,Alstahaug,2021-12-30
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1768,1618,668,77.6,71,29.3,2278,Leirfjord,2021-12-30
total,municip,municip1824,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10840,10075,4123,81.7,75.9,31.1,13268,Vefsn,2021-12-30
total,municip,municip1825,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1206,1126,442,83,77.5,30.4,1453,Grane,2021-12-30
total,municip,municip1826,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1087,1011,418,85.8,79.8,33,1267,Hattfjelldal,2021-12-30
total,municip,municip1827,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1110,1025,522,81,74.8,38.1,1371,Dønna,2021-12-30
total,municip,municip1828,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1348,1217,518,79.2,71.5,30.5,1701,Nesna,2021-12-30
total,municip,municip1832,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3520,3275,1320,79.5,74,29.8,4428,Hemnes,2021-12-30
total,municip,municip1833,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21108,19444,6969,80.9,74.5,26.7,26083,Rana,2021-12-30
total,municip,municip1834,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1479,1375,523,78.8,73.3,27.9,1876,Lurøy,2021-12-30
total,municip,municip1835,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,355,326,147,80.3,73.8,33.3,442,Træna,2021-12-30
total,municip,municip1836,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,913,836,299,75.7,69.3,24.8,1206,Rødøy,2021-12-30
total,municip,municip1837,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4913,4500,1780,78.6,72,28.5,6247,Meløy,2021-12-30
total,municip,municip1838,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1520,1429,666,79.2,74.4,34.7,1920,Gildeskål,2021-12-30
