granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549592,512560,356907,8091,78.5,73.2,51,1.2,699827,Oslo,2022-07-15
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372847,346332,252216,6330,76.7,71.3,51.9,1.3,485797,Rogaland,2022-07-15
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214557,201507,154611,5211,80.7,75.8,58.2,2,265848,Møre og Romsdal,2022-07-15
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195521,183494,134185,3746,81.4,76.4,55.9,1.6,240190,Nordland,2022-07-15
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1000979,930711,692468,23043,78.9,73.3,54.6,1.8,1269230,Viken,2022-07-15
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306389,288306,219549,6548,82.5,77.7,59.1,1.8,371253,Innlandet,2022-07-15
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342300,320300,239892,8559,80.6,75.4,56.5,2,424832,Vestfold og Telemark,2022-07-15
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245439,228263,167997,5353,78.9,73.4,54,1.7,311134,Agder,2022-07-15
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506114,470390,350392,11132,78.9,73.4,54.6,1.7,641292,Vestland,2022-07-15
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385050,360826,270066,8668,81.2,76.1,57,1.8,474131,Trøndelag,2022-07-15
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192421,180236,127342,3322,79.6,74.6,52.7,1.4,241736,Troms og Finnmark,2022-07-15
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,549584,512553,356903,8091,78.5,73.2,51,1.2,699827,Oslo,2022-07-15
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11892,11185,9220,234,80,75.3,62,1.6,14860,Eigersund,2022-07-15
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113055,105073,75717,1607,78.1,72.6,52.3,1.1,144699,Stavanger,2022-07-15
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28720,26703,19092,637,76.7,71.3,51,1.7,37444,Haugesund,2022-07-15
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60685,56521,42416,1103,74.6,69.5,52.2,1.4,81305,Sandnes,2022-07-15
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2505,2356,1792,64,76.3,71.8,54.6,2,3281,Sokndal,2022-07-15
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2428,2294,1795,29,76.4,72.2,56.5,0.9,3178,Lund,2022-07-15
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2197,2061,1531,164,78.8,73.9,54.9,5.9,2789,Bjerkreim,2022-07-15
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14083,12969,9085,192,73,67.2,47.1,1,19296,Hå,2022-07-15
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15132,13936,9254,136,75,69.1,45.9,0.7,20163,Klepp,2022-07-15
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14728,13659,9129,184,76.1,70.6,47.2,1,19353,Time,2022-07-15
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8861,8211,6316,138,73,67.7,52.1,1.1,12131,Gjesdal,2022-07-15
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21233,19693,13882,196,77,71.4,50.4,0.7,27568,Sola,2022-07-15
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9079,8377,6002,186,79.3,73.1,52.4,1.6,11454,Randaberg,2022-07-15
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10318,9533,7139,212,77.8,71.8,53.8,1.6,13268,Strand,2022-07-15
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2028,1892,1379,36,80,74.7,54.4,1.4,2534,Hjelmeland,2022-07-15
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3036,2831,2379,59,80.2,74.8,62.9,1.6,3784,Suldal,2022-07-15
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3670,3414,2668,65,81.1,75.4,59,1.4,4525,Sauda,2022-07-15
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,426,403,342,10,81.5,77.1,65.4,1.9,523,Kvitsøy,2022-07-15
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,711,686,507,22,83.2,80.2,59.3,2.6,855,Bokn,2022-07-15
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8584,7827,5517,117,76.1,69.4,48.9,1,11283,Tysvær,2022-07-15
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32370,30084,22053,744,76.1,70.7,51.8,1.7,42541,Karmøy,2022-07-15
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,173,170,156,14,92,90.4,83,7.4,188,Utsira,2022-07-15
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6776,6306,4795,181,77.2,71.9,54.6,2.1,8775,Vindafjord,2022-07-15
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19844,18945,14893,718,82.6,78.9,62,3,24013,Kristiansund,2022-07-15
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26386,24798,18992,599,82.5,77.5,59.3,1.9,32002,Molde,2022-07-15
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52899,49375,35588,1007,78.8,73.6,53,1.5,67114,Ålesund,2022-07-15
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2562,2465,1950,46,84.1,81,64,1.5,3045,Vanylven,2022-07-15
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1882,1765,1373,16,77.7,72.9,56.7,0.7,2422,Sande,2022-07-15
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6958,6513,4889,170,79.4,74.3,55.8,1.9,8765,Herøy,2022-07-15
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6783,6336,5116,117,79.3,74,59.8,1.4,8557,Ulstein,2022-07-15
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3874,3640,2846,46,75.6,71,55.5,0.9,5126,Hareid,2022-07-15
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8695,8108,6657,134,80.3,74.8,61.5,1.2,10833,Ørsta,2022-07-15
