granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550674,513802,359158,34081,78.7,73.4,51.3,4.9,699827,Oslo,2022-09-08
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372423,346023,253581,40985,76.7,71.2,52.2,8.4,485797,Rogaland,2022-09-08
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214456,201436,155250,23182,80.7,75.8,58.4,8.7,265848,Møre og Romsdal,2022-09-08
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195195,183234,134758,16978,81.3,76.3,56.1,7.1,240190,Nordland,2022-09-08
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001158,931125,695930,110735,78.9,73.4,54.8,8.7,1269230,Viken,2022-09-08
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306276,288225,220408,30123,82.5,77.6,59.4,8.1,371253,Innlandet,2022-09-08
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342125,320218,240950,37117,80.5,75.4,56.7,8.7,424832,Vestfold og Telemark,2022-09-08
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245848,228742,169115,24383,79,73.5,54.4,7.8,311134,Agder,2022-09-08
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506164,470590,352437,53375,78.9,73.4,55,8.3,641292,Vestland,2022-09-08
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385186,361042,271540,33900,81.2,76.1,57.3,7.1,474131,Trøndelag,2022-09-08
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192116,180006,127916,15654,79.5,74.5,52.9,6.5,241736,Troms og Finnmark,2022-09-08
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550666,513795,359154,34080,78.7,73.4,51.3,4.9,699827,Oslo,2022-09-08
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11879,11170,9245,1888,79.9,75.2,62.2,12.7,14860,Eigersund,2022-09-08
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113011,105082,76196,11135,78.1,72.6,52.7,7.7,144699,Stavanger,2022-09-08
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28722,26716,19179,2019,76.7,71.3,51.2,5.4,37444,Haugesund,2022-09-08
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60608,56464,42752,7675,74.5,69.4,52.6,9.4,81305,Sandnes,2022-09-08
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2504,2356,1803,402,76.3,71.8,55,12.3,3281,Sokndal,2022-09-08
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2425,2290,1794,274,76.3,72.1,56.5,8.6,3178,Lund,2022-09-08
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2194,2058,1530,200,78.7,73.8,54.9,7.2,2789,Bjerkreim,2022-09-08
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14057,12944,9157,1812,72.8,67.1,47.5,9.4,19296,Hå,2022-09-08
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15111,13922,9311,1750,74.9,69,46.2,8.7,20163,Klepp,2022-09-08
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14715,13646,9186,1950,76,70.5,47.5,10.1,19353,Time,2022-09-08
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8814,8168,6297,806,72.7,67.3,51.9,6.6,12131,Gjesdal,2022-09-08
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21195,19662,13925,1287,76.9,71.3,50.5,4.7,27568,Sola,2022-09-08
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9078,8381,6036,692,79.3,73.2,52.7,6,11454,Randaberg,2022-09-08
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10307,9516,7151,969,77.7,71.7,53.9,7.3,13268,Strand,2022-09-08
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2026,1893,1383,322,80,74.7,54.6,12.7,2534,Hjelmeland,2022-09-08
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3029,2823,2387,449,80,74.6,63.1,11.9,3784,Suldal,2022-09-08
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3666,3408,2687,433,81,75.3,59.4,9.6,4525,Sauda,2022-09-08
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,430,404,344,69,82.2,77.2,65.8,13.2,523,Kvitsøy,2022-09-08
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,709,684,514,124,82.9,80,60.1,14.5,855,Bokn,2022-09-08
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8577,7835,5565,1097,76,69.4,49.3,9.7,11283,Tysvær,2022-09-08
