granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,tag_outcome,n,date_of_publishing
total,nation,norge,2020,0-39,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,2,2021-03-01
total,nation,norge,2020,0-39,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,1,2021-03-01
total,nation,norge,2020,0-39,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,3,2021-03-01
total,nation,norge,2020,40-49,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,2,2021-03-01
total,nation,norge,2020,40-49,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,4,2021-03-01
total,nation,norge,2020,40-49,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,6,2021-03-01
total,nation,norge,2020,50-59,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,3,2021-03-01
total,nation,norge,2020,50-59,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,18,2021-03-01
total,nation,norge,2020,50-59,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,21,2021-03-01
total,nation,norge,2020,60-69,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,17,2021-03-01
total,nation,norge,2020,60-69,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,46,2021-03-01
total,nation,norge,2020,60-69,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,63,2021-03-01
total,nation,norge,2020,70-79,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,46,2021-03-01
total,nation,norge,2020,70-79,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,85,2021-03-01
total,nation,norge,2020,70-79,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,131,2021-03-01
total,nation,norge,2020,80-89,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,104,2021-03-01
total,nation,norge,2020,80-89,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,121,2021-03-01
total,nation,norge,2020,80-89,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,225,2021-03-01
total,nation,norge,2020,90+,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,118,2021-03-01
total,nation,norge,2020,90+,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,56,2021-03-01
total,nation,norge,2020,90+,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,174,2021-03-01
total,nation,norge,2020,total,female,1900,1,1900-01,1899/1900,24,1900-01-01,death,292,2021-03-01
total,nation,norge,2020,total,male,1900,1,1900-01,1899/1900,24,1900-01-01,death,331,2021-03-01
total,nation,norge,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,death,623,2021-03-01
