granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,489084,264281,70.2,37.9,697010,Oslo,2021-08-12
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,316545,165192,65.6,34.2,482645,Rogaland,2021-08-12
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,181505,100718,68.4,37.9,265544,Møre og Romsdal,2021-08-12
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,165161,93922,68.7,39.1,240345,Nordland,2021-08-12
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,871724,481141,69.6,38.4,1252384,Viken,2021-08-12
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,266133,150536,71.8,40.6,370603,Innlandet,2021-08-12
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,299066,172136,70.9,40.8,421882,Vestfold og Telemark,2021-08-12
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,210701,131405,68.2,42.5,308843,Agder,2021-08-12
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,436014,262384,68.3,41.1,638821,Vestland,2021-08-12
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,332293,174552,70.5,37.1,471124,Trøndelag,2021-08-12
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,164139,91211,67.8,37.7,242168,Troms og Finnmark,2021-08-12
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,489077,264275,70.2,37.9,697010,Oslo,2021-08-12
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9907,5393,67,36.5,14787,Eigersund,2021-08-12
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,97056,48438,67.3,33.6,144147,Stavanger,2021-08-12
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,23473,12550,62.9,33.6,37323,Haugesund,2021-08-12
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52306,26892,65,33.4,80450,Sandnes,2021-08-12
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2138,1569,65.6,48.2,3257,Sokndal,2021-08-12
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2109,1196,66.4,37.7,3174,Lund,2021-08-12
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1843,1263,66,45.3,2791,Bjerkreim,2021-08-12
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11722,6532,61.3,34.2,19120,Hå,2021-08-12
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12355,6398,62.2,32.2,19848,Klepp,2021-08-12
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12250,6079,64.1,31.8,19106,Time,2021-08-12
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7360,3953,61,32.8,12064,Gjesdal,2021-08-12
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17855,8130,65,29.6,27457,Sola,2021-08-12
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7561,3692,66.8,32.6,11315,Randaberg,2021-08-12
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8758,4425,67,33.9,13070,Strand,2021-08-12
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1765,1167,68.4,45.2,2580,Hjelmeland,2021-08-12
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2611,1352,68.5,35.5,3809,Suldal,2021-08-12
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3207,1562,70.3,34.2,4561,Sauda,2021-08-12
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,376,278,74.2,54.8,507,Kvitsøy,2021-08-12
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,608,405,70.8,47.1,859,Bokn,2021-08-12
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7138,4289,63.9,38.4,11178,Tysvær,2021-08-12
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28150,16537,66.5,39.1,42345,Karmøy,2021-08-12
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,153,114,79.7,59.4,192,Utsira,2021-08-12
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5836,2972,67,34.1,8705,Vindafjord,2021-08-12
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17129,10205,71.1,42.3,24099,Kristiansund,2021-08-12
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22651,11331,71.1,35.6,31870,Molde,2021-08-12
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,43761,22659,65.6,34,66670,Ålesund,2021-08-12
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2301,1367,74.6,44.3,3083,Vanylven,2021-08-12
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1622,1126,66.3,46.1,2445,Sande,2021-08-12
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5823,3394,65.7,38.3,8858,Herøy,2021-08-12
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5748,3232,67,37.7,8575,Ulstein,2021-08-12
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3324,1896,64.7,36.9,5140,Hareid,2021-08-12
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7399,3905,68.3,36.1,10830,Ørsta,2021-08-12
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3193,1859,71.2,41.5,4482,Stranda,2021-08-12
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5377,3613,70.8,47.6,7596,Sykkylven,2021-08-12
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6379,4378,67.8,46.5,9409,Sula,2021-08-12
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5474,2967,64.4,34.9,8506,Giske,2021-08-12
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4900,2679,70.4,38.5,6958,Vestnes,2021-08-12
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4653,2523,66.2,35.9,7026,Rauma,2021-08-12
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2456,1710,69.7,48.6,3522,Aukra,2021-08-12
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3995,1974,68.8,34,5808,Averøy,2021-08-12
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1830,1283,68.8,48.3,2658,Gjemnes,2021-08-12
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2196,1335,73.6,44.7,2985,Tingvoll,2021-08-12
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4967,2469,71.4,35.5,6956,Sunndal,2021-08-12
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4269,2290,72.7,39,5872,Surnadal,2021-08-12
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1414,889,66.4,41.8,2128,Smøla,2021-08-12
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2399,1331,69.2,38.4,3468,Aure,2021-08-12
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7385,3778,68.5,35,10781,Volda,2021-08-12
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1895,1452,75.7,58,2502,Fjord,2021-08-12
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8965,5072,67.3,38.1,13317,Hustadvika,2021-08-12
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,36803,19789,70,37.7,52560,Bodø,2021-08-12
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14819,8468,68.4,39.1,21661,Narvik,2021-08-12
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,900,526,64.4,37.7,1397,Bindal,2021-08-12
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1416,672,71.2,33.8,1990,Sømna,2021-08-12
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5609,2667,71.9,34.2,7803,Brønnøy,2021-08-12
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,827,479,70,40.5,1182,Vega,2021-08-12
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,314,184,67.5,39.6,465,Vevelstad,2021-08-12
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1133,642,63.2,35.8,1793,Herøy,2021-08-12
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5068,3231,68.5,43.7,7394,Alstahaug,2021-08-12
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1426,806,62.6,35.4,2278,Leirfjord,2021-08-12
total,municip,municip1824,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9226,5221,69.5,39.4,13268,Vefsn,2021-08-12
total,municip,municip1825,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1008,589,69.4,40.5,1453,Grane,2021-08-12
total,municip,municip1826,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,952,465,75.1,36.7,1267,Hattfjelldal,2021-08-12
total,municip,municip1827,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,968,659,70.6,48.1,1371,Dønna,2021-08-12
total,municip,municip1828,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1115,743,65.5,43.7,1701,Nesna,2021-08-12
total,municip,municip1832,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2938,1768,66.4,39.9,4428,Hemnes,2021-08-12
total,municip,municip1833,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17701,9095,67.9,34.9,26083,Rana,2021-08-12
total,municip,municip1834,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1050,636,56,33.9,1876,Lurøy,2021-08-12
total,municip,municip1835,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,295,181,66.7,41,442,Træna,2021-08-12
total,municip,municip1836,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,731,385,60.6,31.9,1206,Rødøy,2021-08-12
total,municip,municip1837,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4221,2488,67.6,39.8,6247,Meløy,2021-08-12
total,municip,municip1838,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1333,911,69.4,47.4,1920,Gildeskål,2021-08-12
total,municip,municip1839,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,773,515,77.4,51.6,999,Beiarn,2021-08-12
total,municip,municip1840,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3051,1866,65.9,40.3,4632,Saltdal,2021-08-12
total,municip,municip1841,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6958,4194,72.2,43.5,9640,Fauske,2021-08-12
total,municip,municip1845,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1354,708,70.8,37,1912,Sørfold,2021-08-12
total,municip,municip1848,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1758,959,68,37.1,2586,Steigen,2021-08-12
total,municip,municip1851,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1441,906,71.9,45.2,2003,Lødingen,2021-08-12
total,municip,municip1853,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,925,612,69.9,46.2,1324,Evenes,2021-08-12
total,municip,municip1856,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,377,197,77.3,40.4,488,Røst,2021-08-12
total,municip,municip1857,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,460,268,65.9,38.4,698,Værøy,2021-08-12
total,municip,municip1859,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,864,565,69.8,45.6,1238,Flakstad,2021-08-12
total,municip,municip1860,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7696,4005,66.8,34.8,11521,Vestvågøy,2021-08-12
total,municip,municip1865,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6243,3825,64.6,39.6,9670,Vågan,2021-08-12
total,municip,municip1866,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5513,3872,68.4,48,8065,Hadsel,2021-08-12
total,municip,municip1867,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1883,1109,73.1,43.1,2576,Bø,2021-08-12
total,municip,municip1868,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3005,1768,68,40,4416,Øksnes,2021-08-12
total,municip,municip1870,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7209,4291,68.6,40.8,10514,Sortland,2021-08-12
total,municip,municip1871,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3237,2059,70.6,44.9,4588,Andøy,2021-08-12
total,municip,municip1874,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,683,487,69.1,49.2,989,Moskenes,2021-08-12
total,municip,municip1875,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1874,1108,69.4,41,2701,Hamarøy,2021-08-12
total,municip,municip3001,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,22100,12887,70.4,41.1,31387,Halden,2021-08-12
total,municip,municip3002,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,36216,20839,72.9,42,49668,Moss,2021-08-12
total,municip,municip3003,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,41824,27435,72.9,47.8,57372,Sarpsborg,2021-08-12
total,municip,municip3004,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,59133,35645,71.1,42.8,83193,Fredrikstad,2021-08-12
total,municip,municip3005,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,69920,33011,68.6,32.4,101859,Drammen,2021-08-12
total,municip,municip3006,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19418,11222,70.1,40.5,27694,Kongsberg,2021-08-12
total,municip,municip3007,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21946,12855,71.2,41.7,30835,Ringerike,2021-08-12
total,municip,municip3011,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3652,2200,77.8,46.9,4694,Hvaler,2021-08-12
total,municip,municip3012,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1006,707,75.9,53.4,1325,Aremark,2021-08-12
total,municip,municip3013,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2719,1604,75.5,44.5,3601,Marker,2021-08-12
total,municip,municip3014,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,30197,16643,66.8,36.8,45201,Indre Østfold,2021-08-12
total,municip,municip3015,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2693,1769,70.4,46.2,3825,Skiptvet,2021-08-12
total,municip,municip3016,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5855,3797,71.2,46.2,8222,Rakkestad,2021-08-12
total,municip,municip3017,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5390,3032,71.2,40.1,7568,Råde,2021-08-12
total,municip,municip3018,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3916,2074,67.5,35.7,5805,Våler,2021-08-12
total,municip,municip3019,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,12283,6730,67.2,36.8,18290,Vestby,2021-08-12
