granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,18954,3384,2.73311665277565,0.487963846839338,693494,Oslo
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,9753,1868,2.03233227476182,0.389254248872663,479892,Rogaland
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6261,1422,2.36052149390359,0.536122275088788,265238,Møre og Romsdal
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6940,1636,2.87686281012291,0.678176881464133,241235,Nordland
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,28111,6457,2.26488823000971,0.520237035365967,1241165,Viken
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,12204,3175,3.28607778989458,0.854907979589913,371385,Innlandet
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,13017,2701,3.10374920123225,0.644021402206983,419396,Vestfold og Telemark
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,7185,1673,2.33863119281583,0.544541403699497,307231,Agder
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,15894,3683,2.49697186782733,0.578604969750099,636531,Vestland
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,11192,2645,2.38787118467598,0.564324453490704,468702,Trøndelag
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5820,1405,2.39200036167703,0.577450259133372,243311,Troms og Finnmark
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,18843,3363,2.71711074645202,0.484935702399732,693494,Oslo
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,307,67,2.07278374181352,0.452366484369725,14811,Eigersund
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3010,567,2.09647986404224,0.394918299970747,143574,Stavanger
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,938,132,2.51090826351152,0.353347431538935,37357,Haugesund
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1472,296,1.85071098985378,0.372153840351032,79537,Sandnes
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,92,16,2.80487804878049,0.487804878048781,3280,Sokndal
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,64,14,1.99875078076202,0.437226733291693,3202,Lund
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,87,18,3.1216361679225,0.645855758880517,2787,Bjerkreim
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,401,78,2.11152651255858,0.410720867779474,18991,Hå
total,municip,municip1120,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,315,73,1.60812742495405,0.372677149275066,19588,Klepp
total,municip,municip1121,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,339,62,1.79213364347642,0.32776485514908,18916,Time
total,municip,municip1122,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,146,27,1.21646392267955,0.224962506248959,12002,Gjesdal
total,municip,municip1124,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,488,90,1.7972231429308,0.331455087835598,27153,Sola
total,municip,municip1127,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,235,39,2.09428749665805,0.347562605828358,11221,Randaberg
total,municip,municip1130,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,190,47,1.46514497223936,0.362430598396052,12968,Strand
total,municip,municip1133,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,96,16,3.72960372960373,0.621600621600622,2574,Hjelmeland
total,municip,municip1134,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,78,0,2.05047318611987,0,3804,Suldal
total,municip,municip1135,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,79,16,1.71926006528836,0.348204570184984,4595,Sauda
total,municip,municip1144,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,36,10,6.96324951644101,1.93423597678917,517,Kvitsøy
total,municip,municip1145,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,19,3,2.23004694835681,0.352112676056338,852,Bokn
total,municip,municip1146,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,208,35,1.87980117487573,0.316312697695436,11065,Tysvær
total,municip,municip1149,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,945,216,2.24007964727635,0.512018205091737,42186,Karmøy
total,municip,municip1151,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,32,12,16.1616161616162,6.06060606060606,198,Utsira
