granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_dose_1,n_dose_2,pr100_dose_1,pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,34860,14358,5.02671976974566,2.07038561256478,693494,Oslo,2021-02-23
total,county,county11,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,20586,6831,4.28971518591683,1.42344527518692,479892,Rogaland,2021-02-23
total,county,county15,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,14517,4877,5.4731976564444,1.83872597440789,265238,Møre og Romsdal,2021-02-23
total,county,county18,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,16026,5283,6.64331461023483,2.18998072419011,241235,Nordland,2021-02-23
total,county,county30,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,65243,20886,5.25659360359018,1.68277384554028,1241165,Viken,2021-02-23
total,county,county34,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,25219,8792,6.79052735032379,2.36735463198568,371385,Innlandet,2021-02-23
total,county,county38,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,27054,8755,6.45070530000286,2.08752587053763,419396,Vestfold og Telemark,2021-02-23
total,county,county42,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,16847,5275,5.48349613157526,1.71694913599214,307231,Agder,2021-02-23
total,county,county46,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,33571,11895,5.27405578047259,1.86872281161483,636531,Vestland,2021-02-23
total,county,county50,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,26338,8123,5.61934875464581,1.73308413448204,468702,Trøndelag,2021-02-23
total,county,county54,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,12786,4414,5.25500285642655,1.81413910591794,243311,Troms og Finnmark,2021-02-23
total,municip,municip0301,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,34612,14277,4.99095882588746,2.05870562686916,693494,Oslo,2021-02-23
total,municip,municip1101,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,665,206,4.48990615083384,1.39085814597259,14811,Eigersund,2021-02-23
total,municip,municip1103,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,6050,2140,4.21385487623107,1.49052056779083,143574,Stavanger,2021-02-23
total,municip,municip1106,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1932,725,5.17172149797896,1.94073399898279,37357,Haugesund,2021-02-23
total,municip,municip1108,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2938,972,3.69387832078152,1.22207274601758,79537,Sandnes,2021-02-23
total,municip,municip1111,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,160,39,4.87804878048781,1.1890243902439,3280,Sokndal,2021-02-23
total,municip,municip1112,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,152,50,4.74703310430981,1.56152404747033,3202,Lund,2021-02-23
total,municip,municip1114,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,128,49,4.59275206315034,1.75816289917474,2787,Bjerkreim,2021-02-23
total,municip,municip1119,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,709,184,3.7333473750724,0.968879995787478,18991,Hå,2021-02-23
total,municip,municip1120,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,668,213,3.41025117418828,1.08740044925465,19588,Klepp,2021-02-23
total,municip,municip1121,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,776,252,4.10234721928526,1.33220554028336,18916,Time,2021-02-23
total,municip,municip1122,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,406,132,3.38276953841027,1.09981669721713,12002,Gjesdal,2021-02-23
total,municip,municip1124,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1012,337,3.72702832099584,1.24111516222885,27153,Sola,2021-02-23
total,municip,municip1127,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,435,155,3.87665983423937,1.38133856162552,11221,Randaberg,2021-02-23
total,municip,municip1130,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,550,170,4.24120913016656,1.31091918568785,12968,Strand,2021-02-23
total,municip,municip1133,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,157,45,6.0994560994561,1.74825174825175,2574,Hjelmeland,2021-02-23
total,municip,municip1134,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,219,38,5.75709779179811,0.998948475289169,3804,Suldal,2021-02-23
total,municip,municip1135,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,235,65,5.11425462459195,1.4145810663765,4595,Sauda,2021-02-23
total,municip,municip1144,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,52,20,10.0580270793037,3.86847195357834,517,Kvitsøy,2021-02-23
total,municip,municip1145,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,49,18,5.75117370892019,2.11267605633803,852,Bokn,2021-02-23
total,municip,municip1146,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,493,173,4.45549028468143,1.5634884771803,11065,Tysvær,2021-02-23
total,municip,municip1149,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2232,678,5.29085478594794,1.60716825487128,42186,Karmøy,2021-02-23
total,municip,municip1151,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,45,25,22.7272727272727,12.6262626262626,198,Utsira,2021-02-23
total,municip,municip1160,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,417,109,4.78540280009181,1.25086068395685,8714,Vindafjord,2021-02-23
total,municip,municip1505,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1544,525,6.38570660490508,2.17130567848133,24179,Kristiansund,2021-02-23
total,municip,municip1506,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1930,623,6.03747614727688,1.94888478743704,31967,Molde,2021-02-23
total,municip,municip1507,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3236,1169,4.88393854327025,1.76431525249781,66258,Ålesund,2021-02-23
total,municip,municip1511,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,218,67,6.99390439525184,2.14950272698107,3117,Vanylven,2021-02-23
total,municip,municip1514,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,137,28,5.56684274685087,1.13774888256806,2461,Sande,2021-02-23
total,municip,municip1515,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,446,148,5.01123595505618,1.66292134831461,8900,Herøy,2021-02-23
total,municip,municip1516,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,373,118,4.35188426087971,1.37673550344184,8571,Ulstein,2021-02-23
total,municip,municip1517,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,241,85,4.65700483091787,1.64251207729469,5175,Hareid,2021-02-23
total,municip,municip1520,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,579,206,5.34872979214781,1.90300230946882,10825,Ørsta,2021-02-23
total,municip,municip1525,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,244,80,5.39464956887022,1.76873756356401,4523,Stranda,2021-02-23
total,municip,municip1528,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,407,134,5.33770491803279,1.75737704918033,7625,Sykkylven,2021-02-23
total,municip,municip1531,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,433,155,4.65091299677766,1.66487647690655,9310,Sula,2021-02-23
total,municip,municip1532,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,414,130,4.8924604112503,1.53627983928149,8462,Giske,2021-02-23
total,municip,municip1535,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,326,115,4.99081445192897,1.76056338028169,6532,Vestnes,2021-02-23
total,municip,municip1539,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,425,121,5.69094804499197,1.62024638457418,7468,Rauma,2021-02-23
total,municip,municip1547,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,190,67,5.41464804787689,1.90937589056711,3509,Aukra,2021-02-23
total,municip,municip1554,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,339,104,5.85694540428473,1.79682100898411,5788,Averøy,2021-02-23
total,municip,municip1557,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,164,41,6.23811335108406,1.55952833777102,2629,Gjemnes,2021-02-23
total,municip,municip1560,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,224,76,7.40495867768595,2.51239669421488,3025,Tingvoll,2021-02-23
total,municip,municip1563,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,386,140,5.48607163160887,1.98976691301876,7036,Sunndal,2021-02-23
total,municip,municip1566,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,339,100,5.72635135135135,1.68918918918919,5920,Surnadal,2021-02-23
total,municip,municip1573,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,130,39,6.04651162790698,1.81395348837209,2150,Smøla,2021-02-23
total,municip,municip1576,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,218,78,6.21613915027089,2.22412318220701,3507,Aure,2021-02-23
total,municip,municip1577,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,637,209,6.08230688436933,1.99560775327031,10473,Volda,2021-02-23
total,municip,municip1578,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,161,58,6.3162024323264,2.27540211847783,2549,Fjord,2021-02-23
total,municip,municip1579,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,680,234,5.12086753520596,1.76218088711499,13279,Hustadvika,2021-02-23
total,municip,municip1804,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3536,1127,6.75363370704968,2.15252974769372,52357,Bodø,2021-02-23
total,municip,municip1806,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1317,446,6.02883955138476,2.04165712977798,21845,Narvik,2021-02-23
total,municip,municip1811,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,120,41,8.41514726507714,2.87517531556802,1426,Bindal,2021-02-23
total,municip,municip1812,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,120,37,6.07594936708861,1.87341772151899,1975,Sømna,2021-02-23
total,municip,municip1813,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,461,147,5.82291271946444,1.85676392572944,7917,Brønnøy,2021-02-23
total,municip,municip1815,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,97,32,8.08333333333333,2.66666666666667,1200,Vega,2021-02-23
total,municip,municip1816,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,42,16,9.09090909090909,3.46320346320346,462,Vevelstad,2021-02-23
total,municip,municip1818,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,120,33,6.75295441755768,1.85706246482836,1777,Herøy,2021-02-23
total,municip,municip1820,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,523,197,7.02296226668457,2.64536054787163,7447,Alstahaug,2021-02-23
total,municip,municip1822,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,143,61,6.23365300784656,2.65911072362685,2294,Leirfjord,2021-02-23
total,municip,municip1824,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,885,293,6.66516041572526,2.20665762916102,13278,Vefsn,2021-02-23
total,municip,municip1825,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,108,41,7.28744939271255,2.76653171390014,1482,Grane,2021-02-23
total,municip,municip1826,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,109,39,8.40400925212028,3.00693909020817,1297,Hattfjelldal,2021-02-23
total,municip,municip1827,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,119,34,8.67979576951131,2.4799416484318,1371,Dønna,2021-02-23
total,municip,municip1828,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,82,23,4.65644520159001,1.3060760931289,1761,Nesna,2021-02-23
total,municip,municip1832,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,327,87,7.34171531207903,1.95330040413112,4454,Hemnes,2021-02-23
total,municip,municip1833,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1542,491,5.8890925756187,1.8751909563092,26184,Rana,2021-02-23
total,municip,municip1834,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,148,51,7.83068783068783,2.6984126984127,1890,Lurøy,2021-02-23
total,municip,municip1835,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,44,23,10.1149425287356,5.28735632183908,435,Træna,2021-02-23
total,municip,municip1836,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,62,22,5.11129431162407,1.81368507831822,1213,Rødøy,2021-02-23
total,municip,municip1837,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,373,119,5.93193384223919,1.89249363867684,6288,Meløy,2021-02-23
total,municip,municip1838,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,153,55,7.84615384615385,2.82051282051282,1950,Gildeskål,2021-02-23
total,municip,municip1839,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,96,30,9.43952802359882,2.94985250737463,1017,Beiarn,2021-02-23
total,municip,municip1840,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,353,116,7.55726825090987,2.48340826375508,4671,Saltdal,2021-02-23
total,municip,municip1841,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,649,218,6.66392853475716,2.23842283602013,9739,Fauske,2021-02-23
total,municip,municip1845,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,143,48,7.42471443406023,2.49221183800623,1926,Sørfold,2021-02-23
total,municip,municip1848,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,197,65,7.55368098159509,2.49233128834356,2608,Steigen,2021-02-23
total,municip,municip1851,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,152,31,7.47295968534907,1.52409046214356,2034,Lødingen,2021-02-23
total,municip,municip1853,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,118,42,8.75370919881306,3.11572700296736,1348,Evenes,2021-02-23
total,municip,municip1856,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,37,19,7.42971887550201,3.81526104417671,498,Røst,2021-02-23
total,municip,municip1857,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,55,25,7.55494505494506,3.43406593406593,728,Værøy,2021-02-23
total,municip,municip1859,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,105,37,8.25471698113208,2.90880503144654,1272,Flakstad,2021-02-23
total,municip,municip1860,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,740,294,6.47249190938511,2.57150354237733,11433,Vestvågøy,2021-02-23
total,municip,municip1865,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,589,200,6.13030807660283,2.08159866777685,9608,Vågan,2021-02-23
total,municip,municip1866,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,647,146,8.02629946656742,1.81118967869991,8061,Hadsel,2021-02-23
total,municip,municip1867,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,120,41,4.67107824056053,1.59595173219151,2569,Bø,2021-02-23
total,municip,municip1868,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,215,80,4.87528344671202,1.8140589569161,4410,Øksnes,2021-02-23
total,municip,municip1870,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,614,224,5.81109218247208,2.12000757145561,10566,Sortland,2021-02-23
total,municip,municip1871,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,318,98,6.81964400600472,2.101651297448,4663,Andøy,2021-02-23
total,municip,municip1874,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,74,24,7.29064039408867,2.36453201970443,1015,Moskenes,2021-02-23
total,municip,municip1875,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,216,68,7.80911062906725,2.45842371655821,2766,Hamarøy,2021-02-23
total,municip,municip3001,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1841,513,5.86810314601728,1.63516399451758,31373,Halden,2021-02-23
total,municip,municip3002,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2694,784,5.46749741237595,1.59113510441824,49273,Moss,2021-02-23
total,municip,municip3003,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3989,1422,7.03130508355073,2.5065218924064,56732,Sarpsborg,2021-02-23
total,municip,municip3004,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5709,2074,6.92965952539904,2.5174485646659,82385,Fredrikstad,2021-02-23
total,municip,municip3005,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,4686,1682,4.62193991280847,1.6590061744225,101386,Drammen,2021-02-23
total,municip,municip3006,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1339,421,4.82992461133355,1.51859466868665,27723,Kongsberg,2021-02-23
total,municip,municip3007,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1618,535,5.28050651088411,1.74602656571261,30641,Ringerike,2021-02-23
total,municip,municip3011,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,457,152,9.79005998286204,3.25621251071123,4668,Hvaler,2021-02-23
total,municip,municip3012,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,85,25,6.41509433962264,1.88679245283019,1325,Aremark,2021-02-23
total,municip,municip3013,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,280,88,7.78859527121001,2.44784422809458,3595,Marker,2021-02-23
total,municip,municip3014,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,2513,730,5.61037685300947,1.62975531344883,44792,Indre Østfold,2021-02-23
total,municip,municip3015,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,195,53,5.12483574244415,1.39290407358739,3805,Skiptvet,2021-02-23
total,municip,municip3016,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,430,130,5.20896426408237,1.5748031496063,8255,Rakkestad,2021-02-23
total,municip,municip3017,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,478,160,6.36654235482152,2.13106020245072,7508,Råde,2021-02-23
total,municip,municip3018,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,280,91,4.88145048814505,1.58647140864714,5736,Våler,2021-02-23
total,municip,municip3019,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,964,287,5.34308834940694,1.59073273473007,18042,Vestby,2021-02-23
total,municip,municip3020,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,3038,915,5.12413979220078,1.54331399271353,59288,Nordre Follo,2021-02-23
total,municip,municip3021,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,892,245,4.36420568520965,1.19868878125153,20439,Ås,2021-02-23
total,municip,municip3022,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,942,223,5.93311078919191,1.40454745858789,15877,Frogn,2021-02-23
total,municip,municip3023,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,1062,288,5.41394779771615,1.46818923327896,19616,Nesodden,2021-02-23
total,municip,municip3024,2020,total,total,1900,1,1900-01,1899/1900,24,1900-01-01,5146,1591,4.02877923135339,1.24558642772702,127731,Bærum,2021-02-23
