granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550497,513587,358722,23900,78.7,73.4,51.3,3.4,699827,Oslo,2022-08-24
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372555,346128,252975,25799,76.7,71.2,52.1,5.3,485797,Rogaland,2022-08-24
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214463,201438,155057,13429,80.7,75.8,58.3,5.1,265848,Møre og Romsdal,2022-08-24
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,195292,183331,134543,9153,81.3,76.3,56,3.8,240190,Nordland,2022-08-24
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1001292,931178,694792,72507,78.9,73.4,54.7,5.7,1269230,Viken,2022-08-24
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306288,288233,220078,16525,82.5,77.6,59.3,4.5,371253,Innlandet,2022-08-24
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342219,320277,240600,23390,80.6,75.4,56.6,5.5,424832,Vestfold og Telemark,2022-08-24
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245716,228588,168744,15147,79,73.5,54.2,4.9,311134,Agder,2022-08-24
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,506165,470550,351793,35121,78.9,73.4,54.9,5.5,641292,Vestland,2022-08-24
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,385139,360978,271116,20882,81.2,76.1,57.2,4.4,474131,Trøndelag,2022-08-24
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,192123,179991,127656,9627,79.5,74.5,52.8,4,241736,Troms og Finnmark,2022-08-24
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550489,513580,358718,23900,78.7,73.4,51.3,3.4,699827,Oslo,2022-08-24
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11881,11173,9231,912,80,75.2,62.1,6.1,14860,Eigersund,2022-08-24
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,113045,105114,76055,5848,78.1,72.6,52.6,4,144699,Stavanger,2022-08-24
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28690,26683,19119,1131,76.6,71.3,51.1,3,37444,Haugesund,2022-08-24
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60624,56471,42485,6034,74.6,69.5,52.3,7.4,81305,Sandnes,2022-08-24
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2506,2358,1800,330,76.4,71.9,54.9,10.1,3281,Sokndal,2022-08-24
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2428,2294,1796,154,76.4,72.2,56.5,4.8,3178,Lund,2022-08-24
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2198,2063,1535,180,78.8,74,55,6.5,2789,Bjerkreim,2022-08-24
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14067,12953,9129,1061,72.9,67.1,47.3,5.5,19296,Hå,2022-08-24
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15124,13932,9292,399,75,69.1,46.1,2,20163,Klepp,2022-08-24
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14706,13636,9168,1816,76,70.5,47.4,9.4,19353,Time,2022-08-24
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8822,8177,6297,317,72.7,67.4,51.9,2.6,12131,Gjesdal,2022-08-24
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21208,19671,13900,533,76.9,71.4,50.4,1.9,27568,Sola,2022-08-24
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9077,8377,6025,469,79.2,73.1,52.6,4.1,11454,Randaberg,2022-08-24
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10312,9523,7145,439,77.7,71.8,53.9,3.3,13268,Strand,2022-08-24
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2033,1897,1384,197,80.2,74.9,54.6,7.8,2534,Hjelmeland,2022-08-24
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3034,2827,2385,323,80.2,74.7,63,8.5,3784,Suldal,2022-08-24
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3671,3414,2682,121,81.1,75.4,59.3,2.7,4525,Sauda,2022-08-24
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,428,402,342,52,81.8,76.9,65.4,9.9,523,Kvitsøy,2022-08-24
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,709,684,510,83,82.9,80,59.6,9.7,855,Bokn,2022-08-24
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8592,7845,5561,699,76.1,69.5,49.3,6.2,11283,Tysvær,2022-08-24
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32322,30037,22128,4168,76,70.6,52,9.8,42541,Karmøy,2022-08-24
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,172,169,155,27,91.5,89.9,82.4,14.4,188,Utsira,2022-08-24
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6755,6286,4801,506,77,71.6,54.7,5.8,8775,Vindafjord,2022-08-24
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19839,18944,14930,2154,82.6,78.9,62.2,9,24013,Kristiansund,2022-08-24
