location_code,date,n,granularity_time,granularity_geo,border,age,sex,yrwk,season,year,week,x,pop,pr100000,location_name,date_of_publishing
county03,1900-01-01,39758,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,697010,5704.07885109252,Oslo,2021-08-19
county11,1900-01-01,8669,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,482645,1796.14416393001,Rogaland,2021-08-19
county15,1900-01-01,2839,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,265544,1069.1260205465,Møre og Romsdal,2021-08-19
county18,1900-01-01,2107,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,240345,876.656472986748,Nordland,2021-08-19
county30,1900-01-01,46852,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,1252384,3741.02511689705,Viken,2021-08-19
county34,1900-01-01,6385,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,370603,1722.86786669293,Innlandet,2021-08-19
county38,1900-01-01,9519,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,421882,2256.31811738827,Vestfold og Telemark,2021-08-19
county42,1900-01-01,5889,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,308843,1906.79406688835,Agder,2021-08-19
county46,1900-01-01,12573,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,638821,1968.15696415741,Vestland,2021-08-19
county50,1900-01-01,6053,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,471124,1284.79975547839,Trøndelag,2021-08-19
county54,1900-01-01,2932,total,county,2020,total,total,1900-01,1899/1900,1900,1,24,242168,1210.72974133659,Troms og Finnmark,2021-08-19
municip0301,1900-01-01,39750,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,697010,5702.93109137602,Oslo,2021-08-19
municip1101,1900-01-01,157,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,14787,1061.7434232772,Eigersund,2021-08-19
municip1103,1900-01-01,3298,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,144147,2287.94217014575,Stavanger,2021-08-19
municip1106,1900-01-01,980,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,37323,2625.7267636578,Haugesund,2021-08-19
municip1108,1900-01-01,1365,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,80450,1696.70602858919,Sandnes,2021-08-19
municip1111,1900-01-01,15,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3257,460.546515198035,Sokndal,2021-08-19
municip1112,1900-01-01,28,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3174,882.167611846251,Lund,2021-08-19
municip1114,1900-01-01,25,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2791,895.736295234683,Bjerkreim,2021-08-19
municip1119,1900-01-01,249,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19120,1302.30125523013,Hå,2021-08-19
municip1120,1900-01-01,294,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19848,1481.25755743652,Klepp,2021-08-19
municip1121,1900-01-01,268,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,19106,1402.70072228619,Time,2021-08-19
municip1122,1900-01-01,156,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,12064,1293.10344827586,Gjesdal,2021-08-19
municip1124,1900-01-01,502,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,27457,1828.31336271261,Sola,2021-08-19
municip1127,1900-01-01,193,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11315,1705.70039770217,Randaberg,2021-08-19
municip1130,1900-01-01,135,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13070,1032.89977046672,Strand,2021-08-19
municip1133,1900-01-01,30,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2580,1162.79069767442,Hjelmeland,2021-08-19
municip1134,1900-01-01,33,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3809,866.369125754791,Suldal,2021-08-19
municip1135,1900-01-01,18,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4561,394.650295987722,Sauda,2021-08-19
municip1144,1900-01-01,3,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,507,591.715976331361,Kvitsøy,2021-08-19
municip1145,1900-01-01,4,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,859,465.657741559954,Bokn,2021-08-19
municip1146,1900-01-01,176,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11178,1574.52138128467,Tysvær,2021-08-19
municip1149,1900-01-01,617,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,42345,1457.07875782265,Karmøy,2021-08-19
municip1151,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,192,0,Utsira,2021-08-19
municip1160,1900-01-01,118,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8705,1355.54279149914,Vindafjord,2021-08-19
municip1505,1900-01-01,228,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,24099,946.097348437695,Kristiansund,2021-08-19
municip1506,1900-01-01,262,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,31870,822.089739566991,Molde,2021-08-19
municip1507,1900-01-01,877,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,66670,1315.43422828859,Ålesund,2021-08-19
municip1511,1900-01-01,22,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3083,713.590658449562,Vanylven,2021-08-19
municip1514,1900-01-01,45,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2445,1840.49079754601,Sande,2021-08-19
municip1515,1900-01-01,43,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8858,485.436893203884,Herøy,2021-08-19
municip1516,1900-01-01,125,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8575,1457.72594752187,Ulstein,2021-08-19
municip1517,1900-01-01,33,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5140,642.023346303502,Hareid,2021-08-19
municip1520,1900-01-01,170,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10830,1569.71375807941,Ørsta,2021-08-19
municip1525,1900-01-01,47,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4482,1048.63900044623,Stranda,2021-08-19
municip1528,1900-01-01,25,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7596,329.120589784097,Sykkylven,2021-08-19
municip1531,1900-01-01,172,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9409,1828.0369858646,Sula,2021-08-19
municip1532,1900-01-01,96,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8506,1128.6150952269,Giske,2021-08-19
municip1535,1900-01-01,163,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6958,2342.62719172176,Vestnes,2021-08-19
municip1539,1900-01-01,43,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7026,612.012524907487,Rauma,2021-08-19
municip1547,1900-01-01,27,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3522,766.609880749574,Aukra,2021-08-19
municip1554,1900-01-01,47,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5808,809.228650137741,Averøy,2021-08-19
municip1557,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2658,413.844996237773,Gjemnes,2021-08-19
municip1560,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2985,167.50418760469,Tingvoll,2021-08-19
municip1563,1900-01-01,35,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6956,503.16273720529,Sunndal,2021-08-19
municip1566,1900-01-01,19,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,5872,323.569482288828,Surnadal,2021-08-19
municip1573,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2128,328.947368421053,Smøla,2021-08-19
municip1576,1900-01-01,25,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,3468,720.876585928489,Aure,2021-08-19
municip1577,1900-01-01,163,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10781,1511.91911696503,Volda,2021-08-19
municip1578,1900-01-01,59,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2502,2358.11350919265,Fjord,2021-08-19
municip1579,1900-01-01,85,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13317,638.281895321769,Hustadvika,2021-08-19
municip1804,1900-01-01,633,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,52560,1204.33789954338,Bodø,2021-08-19
municip1806,1900-01-01,131,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,21661,604.773556160842,Narvik,2021-08-19
municip1811,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1397,501.073729420186,Bindal,2021-08-19
municip1812,1900-01-01,21,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1990,1055.27638190955,Sømna,2021-08-19
municip1813,1900-01-01,81,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7803,1038.06228373702,Brønnøy,2021-08-19
municip1815,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1182,930.626057529611,Vega,2021-08-19
municip1816,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,465,0,Vevelstad,2021-08-19
municip1818,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1793,613.496932515337,Herøy,2021-08-19
municip1820,1900-01-01,25,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,7394,338.111982688667,Alstahaug,2021-08-19
municip1822,1900-01-01,8,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2278,351.185250219491,Leirfjord,2021-08-19
municip1824,1900-01-01,51,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,13268,384.383479047332,Vefsn,2021-08-19
municip1825,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1453,344.115622849277,Grane,2021-08-19
municip1826,1900-01-01,2,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1267,157.85319652723,Hattfjelldal,2021-08-19
municip1827,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1371,802.334062727936,Dønna,2021-08-19
municip1828,1900-01-01,4,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1701,235.155790711346,Nesna,2021-08-19
municip1832,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4428,158.084914182475,Hemnes,2021-08-19
municip1833,1900-01-01,365,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,26083,1399.37890580071,Rana,2021-08-19
municip1834,1900-01-01,8,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1876,426.439232409382,Lurøy,2021-08-19
municip1835,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,442,1131.22171945701,Træna,2021-08-19
municip1836,1900-01-01,20,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1206,1658.37479270315,Rødøy,2021-08-19
municip1837,1900-01-01,22,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,6247,352.169041139747,Meløy,2021-08-19
municip1838,1900-01-01,2,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1920,104.166666666667,Gildeskål,2021-08-19
municip1839,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,999,1101.1011011011,Beiarn,2021-08-19
municip1840,1900-01-01,42,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4632,906.735751295337,Saltdal,2021-08-19
municip1841,1900-01-01,70,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9640,726.141078838174,Fauske,2021-08-19
municip1845,1900-01-01,23,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1912,1202.92887029289,Sørfold,2021-08-19
municip1848,1900-01-01,17,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2586,657.38592420727,Steigen,2021-08-19
municip1851,1900-01-01,7,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2003,349.475786320519,Lødingen,2021-08-19
municip1853,1900-01-01,5,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1324,377.643504531722,Evenes,2021-08-19
municip1856,1900-01-01,0,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,488,0,Røst,2021-08-19
municip1857,1900-01-01,3,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,698,429.799426934097,Værøy,2021-08-19
municip1859,1900-01-01,11,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,1238,888.529886914378,Flakstad,2021-08-19
municip1860,1900-01-01,84,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,11521,729.103376443017,Vestvågøy,2021-08-19
municip1865,1900-01-01,59,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,9670,610.134436401241,Vågan,2021-08-19
municip1866,1900-01-01,72,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,8065,892.746435213887,Hadsel,2021-08-19
municip1867,1900-01-01,20,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,2576,776.39751552795,Bø,2021-08-19
municip1868,1900-01-01,79,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,4416,1788.94927536232,Øksnes,2021-08-19
municip1870,1900-01-01,85,total,municip,2020,total,total,1900-01,1899/1900,1900,1,24,10514,808.445881681567,Sortland,2021-08-19
