granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3_all,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3_all,pop,location_name,date_of_publishing
total,municip,municip1160,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6688,6141,2196,76.8,70.5,25.2,8705,Vindafjord,2021-12-23
total,municip,municip1505,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,19578,18118,8059,81.2,75.2,33.4,24099,Kristiansund,2021-12-23
total,municip,municip1506,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,26172,24289,10080,82.1,76.2,31.6,31870,Molde,2021-12-23
total,municip,municip1507,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52213,48062,16739,78.3,72.1,25.1,66670,Ålesund,2021-12-23
total,municip,municip1511,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2556,2416,1113,82.9,78.4,36.1,3083,Vanylven,2021-12-23
total,municip,municip1514,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1869,1736,968,76.4,71,39.6,2445,Sande,2021-12-23
total,municip,municip1515,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6852,6306,2533,77.4,71.2,28.6,8858,Herøy,2021-12-23
total,municip,municip1516,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6671,6141,2476,77.8,71.6,28.9,8575,Ulstein,2021-12-23
total,municip,municip1517,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3814,3524,1302,74.2,68.6,25.3,5140,Hareid,2021-12-23
total,municip,municip1520,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8599,7931,3004,79.4,73.2,27.7,10830,Ørsta,2021-12-23
total,municip,municip1525,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3617,3357,1418,80.7,74.9,31.6,4482,Stranda,2021-12-23
total,municip,municip1528,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6180,5676,2460,81.4,74.7,32.4,7596,Sykkylven,2021-12-23
total,municip,municip1531,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7311,6703,2161,77.7,71.2,23,9409,Sula,2021-12-23
total,municip,municip1532,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6518,5888,2065,76.6,69.2,24.3,8506,Giske,2021-12-23
total,municip,municip1535,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5552,5174,1944,79.8,74.4,27.9,6958,Vestnes,2021-12-23
total,municip,municip1539,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5603,5164,1691,79.7,73.5,24.1,7026,Rauma,2021-12-23
total,municip,municip1547,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2860,2601,1105,81.2,73.9,31.4,3522,Aukra,2021-12-23
total,municip,municip1554,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4723,4372,1728,81.3,75.3,29.8,5808,Averøy,2021-12-23
total,municip,municip1557,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2115,1957,871,79.6,73.6,32.8,2658,Gjemnes,2021-12-23
total,municip,municip1560,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2477,2327,1217,83,78,40.8,2985,Tingvoll,2021-12-23
total,municip,municip1563,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5874,5514,2143,84.4,79.3,30.8,6956,Sunndal,2021-12-23
total,municip,municip1566,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4952,4649,1990,84.3,79.2,33.9,5872,Surnadal,2021-12-23
total,municip,municip1573,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1743,1638,715,81.9,77,33.6,2128,Smøla,2021-12-23
total,municip,municip1576,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2771,2590,1011,79.9,74.7,29.2,3468,Aure,2021-12-23
total,municip,municip1577,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8768,8075,2821,81.3,74.9,26.2,10781,Volda,2021-12-23
total,municip,municip1578,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2084,1923,701,83.3,76.9,28,2502,Fjord,2021-12-23
total,municip,municip1579,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10432,9608,4050,78.3,72.1,30.4,13317,Hustadvika,2021-12-23
total,municip,municip1804,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,42604,39130,14889,81.1,74.4,28.3,52560,Bodø,2021-12-23
total,municip,municip1806,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,17425,16165,6255,80.4,74.6,28.9,21661,Narvik,2021-12-23
total,municip,municip1811,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1156,1058,477,82.7,75.7,34.1,1397,Bindal,2021-12-23
total,municip,municip1812,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1673,1532,506,84.1,77,25.4,1990,Sømna,2021-12-23
total,municip,municip1813,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6339,5797,1914,81.2,74.3,24.5,7803,Brønnøy,2021-12-23
total,municip,municip1815,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,993,914,427,84,77.3,36.1,1182,Vega,2021-12-23
total,municip,municip1816,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,382,360,137,82.2,77.4,29.5,465,Vevelstad,2021-12-23
total,municip,municip1818,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1381,1280,574,77,71.4,32,1793,Herøy,2021-12-23
total,municip,municip1820,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,5977,5585,2680,80.8,75.5,36.2,7394,Alstahaug,2021-12-23
total,municip,municip1822,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1768,1617,667,77.6,71,29.3,2278,Leirfjord,2021-12-23
total,municip,municip1824,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10838,10075,4122,81.7,75.9,31.1,13268,Vefsn,2021-12-23
total,municip,municip1825,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1206,1126,441,83,77.5,30.4,1453,Grane,2021-12-23
total,municip,municip1826,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1087,1011,414,85.8,79.8,32.7,1267,Hattfjelldal,2021-12-23
total,municip,municip1827,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1110,1025,522,81,74.8,38.1,1371,Dønna,2021-12-23
total,municip,municip1828,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1343,1215,502,79,71.4,29.5,1701,Nesna,2021-12-23
total,municip,municip1832,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3515,3274,1270,79.4,73.9,28.7,4428,Hemnes,2021-12-23
total,municip,municip1833,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21103,19445,6953,80.9,74.6,26.7,26083,Rana,2021-12-23
total,municip,municip1834,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1479,1373,510,78.8,73.2,27.2,1876,Lurøy,2021-12-23
total,municip,municip1835,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,354,325,125,80.1,73.5,28.3,442,Træna,2021-12-23
total,municip,municip1836,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,912,829,259,75.6,68.7,21.5,1206,Rødøy,2021-12-23
total,municip,municip1837,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,4906,4497,1668,78.5,72,26.7,6247,Meløy,2021-12-23
total,municip,municip1838,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1517,1426,664,79,74.3,34.6,1920,Gildeskål,2021-12-23
total,municip,municip1839,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,871,824,348,87.2,82.5,34.8,999,Beiarn,2021-12-23
total,municip,municip1840,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3725,3490,1558,80.4,75.3,33.6,4632,Saltdal,2021-12-23
total,municip,municip1841,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7938,7411,2925,82.3,76.9,30.3,9640,Fauske,2021-12-23
total,municip,municip1845,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1561,1471,591,81.6,76.9,30.9,1912,Sørfold,2021-12-23
total,municip,municip1848,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2073,1904,781,80.2,73.6,30.2,2586,Steigen,2021-12-23
total,municip,municip1851,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1646,1555,692,82.2,77.6,34.5,2003,Lødingen,2021-12-23
total,municip,municip1853,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1079,1015,457,81.5,76.7,34.5,1324,Evenes,2021-12-23
total,municip,municip1856,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,422,390,130,86.5,79.9,26.6,488,Røst,2021-12-23
total,municip,municip1857,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,536,500,259,76.8,71.6,37.1,698,Værøy,2021-12-23
total,municip,municip1859,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,996,932,362,80.5,75.3,29.2,1238,Flakstad,2021-12-23
total,municip,municip1860,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9008,8329,3082,78.2,72.3,26.8,11521,Vestvågøy,2021-12-23
total,municip,municip1865,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,7640,6936,2685,79,71.7,27.8,9670,Vågan,2021-12-23
total,municip,municip1866,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,6411,5904,2130,79.5,73.2,26.4,8065,Hadsel,2021-12-23
total,municip,municip1867,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2077,1952,870,80.6,75.8,33.8,2576,Bø,2021-12-23
