granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,cum_pr100_dose_1,cum_pr100_dose_2,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,491673,296045,70.5,42.5,697010,Oslo,2021-08-18
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,318837,181344,66.1,37.6,482645,Rogaland,2021-08-18
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,185270,107863,69.8,40.6,265544,Møre og Romsdal,2021-08-18
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,167598,99557,69.7,41.4,240345,Nordland,2021-08-18
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,876137,537211,70,42.9,1252384,Viken,2021-08-18
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,269275,159461,72.7,43,370603,Innlandet,2021-08-18
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,300720,191044,71.3,45.3,421882,Vestfold og Telemark,2021-08-18
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,213510,144716,69.1,46.9,308843,Agder,2021-08-18
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,440431,285478,68.9,44.7,638821,Vestland,2021-08-18
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,336415,190088,71.4,40.3,471124,Trøndelag,2021-08-18
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,166016,98697,68.6,40.8,242168,Troms og Finnmark,2021-08-18
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,491666,296039,70.5,42.5,697010,Oslo,2021-08-18
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10024,5929,67.8,40.1,14787,Eigersund,2021-08-18
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,97651,54303,67.7,37.7,144147,Stavanger,2021-08-18
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,23877,13784,64,36.9,37323,Haugesund,2021-08-18
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,52494,29212,65.3,36.3,80450,Sandnes,2021-08-18
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2138,1571,65.6,48.2,3257,Sokndal,2021-08-18
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2111,1337,66.5,42.1,3174,Lund,2021-08-18
