granularity_time,granularity_geo,location_code,border,age,sex,year,week,yrwk,season,x,date,n_icu,n_hospital_main_cause,n_hospital_all_causes,date_of_publishing
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-19,6,38,43,2022-03-15
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-20,9,32,41,2022-03-15
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-21,6,28,33,2022-03-15
day,nation,norge,2020,total,total,2020,12,2020-12,2019/2020,35,2020-03-22,8,28,31,2022-03-15
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-23,11,43,49,2022-03-15
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-24,14,46,49,2022-03-15
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-25,17,60,63,2022-03-15
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-26,9,45,54,2022-03-15
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-27,13,36,40,2022-03-15
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-28,7,34,37,2022-03-15
day,nation,norge,2020,total,total,2020,13,2020-13,2019/2020,36,2020-03-29,6,24,28,2022-03-15
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-30,9,33,40,2022-03-15
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-03-31,7,38,42,2022-03-15
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-01,4,27,32,2022-03-15
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-02,4,37,41,2022-03-15
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-03,5,21,24,2022-03-15
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-04,3,27,32,2022-03-15
day,nation,norge,2020,total,total,2020,14,2020-14,2019/2020,37,2020-04-05,4,14,15,2022-03-15
day,nation,norge,2020,total,total,2020,15,2020-15,2019/2020,38,2020-04-06,1,19,25,2022-03-15
