granularity_time,granularity_geo,location_code,border,age,sex,date,year,week,yrwk,season,x,n_dose_1,n_dose_2,n_dose_3,n_dose_4,cum_pr100_dose_1,cum_pr100_dose_2,cum_pr100_dose_3,cum_pr100_dose_4,pop,location_name,date_of_publishing
total,county,county03,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550719,514041,361143,66778,78.7,73.5,51.6,9.5,699827,Oslo,2022-11-14
total,county,county11,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,372128,345796,254416,58594,76.6,71.2,52.4,12.1,485797,Rogaland,2022-11-14
total,county,county15,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,214356,201330,155759,41563,80.6,75.7,58.6,15.6,265848,Møre og Romsdal,2022-11-14
total,county,county18,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,194785,182874,135344,34152,81.1,76.1,56.3,14.2,240190,Nordland,2022-11-14
total,county,county30,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,1002034,932129,699920,183439,78.9,73.4,55.1,14.5,1269230,Viken,2022-11-14
total,county,county34,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,306279,288240,221508,62890,82.5,77.6,59.7,16.9,371253,Innlandet,2022-11-14
total,county,county38,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,342281,320405,242092,68169,80.6,75.4,57,16,424832,Vestfold og Telemark,2022-11-14
total,county,county42,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,245996,228920,169934,43584,79.1,73.6,54.6,14,311134,Agder,2022-11-14
total,county,county46,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,505991,470521,353863,85678,78.9,73.4,55.2,13.4,641292,Vestland,2022-11-14
total,county,county50,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,384985,360888,272763,63968,81.2,76.1,57.5,13.5,474131,Trøndelag,2022-11-14
total,county,county54,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,191759,179682,128314,28426,79.3,74.3,53.1,11.8,241736,Troms og Finnmark,2022-11-14
total,municip,municip0301,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,550711,514034,361139,66777,78.7,73.5,51.6,9.5,699827,Oslo,2022-11-14
total,municip,municip1101,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,11848,11144,9231,2299,79.7,75,62.1,15.5,14860,Eigersund,2022-11-14
total,municip,municip1103,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,112774,104912,76458,17265,77.9,72.5,52.8,11.9,144699,Stavanger,2022-11-14
total,municip,municip1106,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,28694,26692,19282,4242,76.6,71.3,51.5,11.3,37444,Haugesund,2022-11-14
total,municip,municip1108,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,60601,56455,42859,8834,74.5,69.4,52.7,10.9,81305,Sandnes,2022-11-14
total,municip,municip1111,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2508,2360,1808,507,76.4,71.9,55.1,15.5,3281,Sokndal,2022-11-14
total,municip,municip1112,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2418,2283,1796,424,76.1,71.8,56.5,13.3,3178,Lund,2022-11-14
total,municip,municip1114,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2193,2052,1538,583,78.6,73.6,55.1,20.9,2789,Bjerkreim,2022-11-14
total,municip,municip1119,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14028,12923,9166,2302,72.7,67,47.5,11.9,19296,Hå,2022-11-14
total,municip,municip1120,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,15145,13947,9334,2216,75.1,69.2,46.3,11,20163,Klepp,2022-11-14
total,municip,municip1121,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,14733,13659,9247,2309,76.1,70.6,47.8,11.9,19353,Time,2022-11-14
total,municip,municip1122,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8805,8155,6300,1227,72.6,67.2,51.9,10.1,12131,Gjesdal,2022-11-14
total,municip,municip1124,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,21213,19677,14012,3002,76.9,71.4,50.8,10.9,27568,Sola,2022-11-14
total,municip,municip1127,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,9053,8362,6082,1358,79,73,53.1,11.9,11454,Randaberg,2022-11-14
total,municip,municip1130,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,10323,9533,7177,1646,77.8,71.8,54.1,12.4,13268,Strand,2022-11-14
total,municip,municip1133,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,2025,1894,1388,432,79.9,74.7,54.8,17,2534,Hjelmeland,2022-11-14
total,municip,municip1134,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3032,2821,2400,761,80.1,74.6,63.4,20.1,3784,Suldal,2022-11-14
total,municip,municip1135,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,3670,3417,2697,688,81.1,75.5,59.6,15.2,4525,Sauda,2022-11-14
total,municip,municip1144,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,431,406,344,119,82.4,77.6,65.8,22.8,523,Kvitsøy,2022-11-14
total,municip,municip1145,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,712,687,515,164,83.3,80.4,60.2,19.2,855,Bokn,2022-11-14
total,municip,municip1146,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,8568,7822,5564,1352,75.9,69.3,49.3,12,11283,Tysvær,2022-11-14
total,municip,municip1149,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,32317,30037,22203,5641,76,70.6,52.2,13.3,42541,Karmøy,2022-11-14
total,municip,municip1151,2020,total,total,1900-01-01,1900,1,1900-01,1899/1900,24,175,171,157,58,93.1,91,83.5,30.9,188,Utsira,2022-11-14
